Glottocode,Language,Family,Ergon_ID,Feature,Value,Source_comment,Comment,curated,curated_comment,final_value
akun1241,Akuntsu,Language isolate,GB409_1,Is there an overt marker for the absolutive?,1,Aragon 2014: 204,"Dependent pronoun clitics (o=, e=, i=) function as absolutive markers cross-referenced on the verb.",,"Akuntsu (akun1241, ISO aqz, language isolate, Rondonia Brazil) shows pronominal split ergativity per Aragon (2014). Independent pronouns (on/en/te) mark transitive A (ergative); dependent clitics (o=/e=/i=) mark S and P (absolutive). GB409_4=0 (3rd person is three-way, not clean ERG-ABS). GB409_5=0 (full NPs have no case marking). GB409_15 corrected from 1 to 0: experiencer predicates (fear, hear) are intransitive in Akuntsu and their single argument takes the absolutive clitic, not the ergative independent pronoun. GB409_21 remains '?' (Aragon 2014: 205 fn.114 explicitly states complex sentence ergativity is still under investigation). GB409_22=1 (split ergativity conditioned by pronoun/NP status, person, animacy, and mood). Glottocode akun1241 is correct.",1
akun1241,Akuntsu,Language isolate,GB409_2,Is there ergative alignment of flagging on first person pronouns?,1,Aragon 2014: 178-182,1sg: on (independent/ERG) vs. o= (dependent/ABS); ergative alignment on 1st person.,,,1
akun1241,Akuntsu,Language isolate,GB409_3,Is there ergative alignment of flagging on second person pronouns?,1,Aragon 2014: 178-182,2sg: en (independent/ERG) vs. e= (dependent/ABS); ergative alignment on 2nd person.,,,1
akun1241,Akuntsu,Language isolate,GB409_4,Is there ergative alignment of flagging on third person pronouns?,0,"Aragon 2014: 178-182, 204-206",3rd person is three-way: independent te for A; dependent i= for P; coreferential te= for S. No clean ERG-ABS split.,,,0
akun1241,Akuntsu,Language isolate,GB409_5,Is there ergative alignment of flagging on full NPs?,0,"Aragon 2014: 153, 194, 198, 202","Explicitly stated: 'there are no nominative, ergative or absolutive case markers as affixes on nouns' (p.153). Full NPs carry zero case marking.",,,0
akun1241,Akuntsu,Language isolate,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,1,Aragon 2014: 223-224,Imperfective (marked -ra) clauses maintain ERG-ABS alignment with pronominal arguments.,,,1
akun1241,Akuntsu,Language isolate,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,1,Aragon 2014: 222-231,Perfective (unmarked verb) clauses also maintain ERG-ABS alignment.,,,1
akun1241,Akuntsu,Language isolate,GB409_8,Is there ergative alignment of flagging in the past tense?,1,Aragon 2014: 222,Past events expressed with unmarked verb form; ERG-ABS alignment maintained.,,,1
akun1241,Akuntsu,Language isolate,GB409_9,Is there ergative alignment of flagging in non-past tenses?,1,Aragon 2014: 226-228,Future clauses (projective marker kom) maintain ERG alignment.,,,1
akun1241,Akuntsu,Language isolate,GB409_10,Is there ergative alignment of flagging in the indicative mood?,1,Aragon 2014: 233,Indicative clauses maintain ERG-ABS alignment.,,,1
akun1241,Akuntsu,Language isolate,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,1,Aragon 2014: 234-235,Interrogative mood maintains ERG alignment; imperative shifts to NOM-ACC pattern (absolutive-clitic subjects).,,,1
akun1241,Akuntsu,Language isolate,GB409_12,Is there ergative alignment of flagging in the realis status?,1,Aragon 2014: 232,Realis clauses are consistently ERG-ABS.,,,1
akun1241,Akuntsu,Language isolate,GB409_13,Is there ergative alignment of flagging in the irrealis status?,1,"Aragon 2014: 226, 334",Future tense (irrealis) and interrogatives (irrealis-like) maintain ERG alignment.,,,1
akun1241,Akuntsu,Language isolate,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,1,"Aragon 2014: 182, 286",Agentive A arguments take independent ergative pronouns (on/en/te); S and P take dependent absolutive clitics.,,,1
akun1241,Akuntsu,Language isolate,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,0,"Aragon 2014: 181, 196","Experiencer/non-agentive predicates (fear, hear) are INTRANSITIVE in Akuntsu; their single argument takes the absolutive dependent clitic, not the ergative independent pronoun (e=pip 'you are afraid', o=apinom 'I hear'). Corrected from original value of 1.",0,,0
akun1241,Akuntsu,Language isolate,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,1,Aragon 2014: 181-182,Topical A (1st/2nd person) take independent ERG pronouns consistently.,,,1
akun1241,Akuntsu,Language isolate,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?,1,Aragon 2014: 254-255,Non-topical A in transitive clauses also uses independent pronouns.,,,1
akun1241,Akuntsu,Language isolate,GB409_18,Is there ergative alignment of flagging in the context of an animate A?,1,"Aragon 2014: 181-182, 201",Animate pronominal A (humans) take independent ERG pronouns.,,,1
akun1241,Akuntsu,Language isolate,GB409_19,Is there ergative alignment of flagging in the context of an inanimate A?,0,Aragon 2014: 153,Ergativity is limited to pronominal arguments; inanimate A (full NPs) follow neutral alignment.,,,0
akun1241,Akuntsu,Language isolate,GB409_20,Is there ergative alignment of flagging in main clauses?,1,Aragon 2014: 181-182,Main clause transitive constructions consistently show ERG-ABS alignment.,,,1
akun1241,Akuntsu,Language isolate,GB409_21,Is there ergative alignment of flagging in non-main clauses?,?,Aragon 2014: 205 fn.114,"Aragon (2014: 205, fn.114) explicitly states: 'Additional aspects of ergativity, particularly in complex sentences, is still under investigation.'",,,?
akun1241,Akuntsu,Language isolate,GB409_22,Is ergative alignment of flagging conditioned by any other factor?,1,"Aragon 2014: 153, 179, 205, 234","Split ergativity conditioned by: (1) pronoun vs. full NP status, (2) person hierarchy (1/2 > 3), (3) patient animacy, (4) verbal mood.",,,1
akun1241,Akuntsu,Language isolate,GB409_23,Are the ergative and the genitive expressed by the same marker?,0,"Aragon 2014: 160, 178-179, 201, 204",Ergative = independent pronouns (on/en/te); genitive = dependent pronouns (o=/e=/i=). Different paradigm sets.,,,0
akun1241,Akuntsu,Language isolate,GB409_24,Are the ergative and the instrumental/comitative expressed by the same marker?,0,"Aragon 2014: 154, 156, 159","Instrumental = oblique clitic =(b)o (p.154); comitative = postposition ete (pp.156, 159). Both distinct from independent ERG pronouns.",,,0
