Glottocode,Language,Family,Ergon_ID,Feature,Source_comment,Value,Comment
haka1240,Haka Chin,Trans-Himalayan,GB409_1,Is there an overt marker for the absolutive?,"Peterson, 2017, p. 261",0,
haka1240,Haka Chin,Trans-Himalayan,GB409_2,Is there ergative alignment of flagging on first person pronouns?,"Peterson, 2017, p. 272",1,
haka1240,Haka Chin,Trans-Himalayan,GB409_3,Is there ergative alignment of flagging on second person pronouns?,,?,
haka1240,Haka Chin,Trans-Himalayan,GB409_4,Is there ergative alignment of flagging on third person pronouns?,"Peterson, 2017, p. 262",1,
haka1240,Haka Chin,Trans-Himalayan,GB409_5,Is there ergative alignment of flagging on full NPs?,"Peterson, 2017, p. 262",1,
haka1240,Haka Chin,Trans-Himalayan,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,,?,
haka1240,Haka Chin,Trans-Himalayan,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,"Peterson, 2017, p. 262",1,
haka1240,Haka Chin,Trans-Himalayan,GB409_8,Is there ergative alignment of flagging in the past tense?,"Peterson, 2017, p. 262",1,
haka1240,Haka Chin,Trans-Himalayan,GB409_9,Is there ergative alignment of flagging in non-past tenses?,,?,
haka1240,Haka Chin,Trans-Himalayan,GB409_10,Is there ergative alignment of flagging in the indicative mood?,"Peterson, 2017, p. 262",1,
haka1240,Haka Chin,Trans-Himalayan,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,,?,
haka1240,Haka Chin,Trans-Himalayan,GB409_12,Is there ergative alignment of flagging in the realis status?,"Peterson, 2017, p. 262",1,
haka1240,Haka Chin,Trans-Himalayan,GB409_13,Is there ergative alignment of flagging in the irrealis status?,,?,
haka1240,Haka Chin,Trans-Himalayan,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,"Peterson, 2017, p. 262",1,
haka1240,Haka Chin,Trans-Himalayan,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,,?,
haka1240,Haka Chin,Trans-Himalayan,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,"Peterson, 2017, p. 262",1,
haka1240,Haka Chin,Trans-Himalayan,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?,,?,
haka1240,Haka Chin,Trans-Himalayan,GB409_18,Is there ergative alignment of flagging in the context of an animate A?,"Peterson, 2017, p. 262",1,
haka1240,Haka Chin,Trans-Himalayan,GB409_19,Is there ergative alignment of flagging in the context of an inanimate A?,,?,
haka1240,Haka Chin,Trans-Himalayan,GB409_20,Is there ergative alignment of flagging in main clauses?,"Peterson, 2017, p. 262",1,
haka1240,Haka Chin,Trans-Himalayan,GB409_21,Is there ergative alignment of flagging in non-main clauses?,,?,
haka1240,Haka Chin,Trans-Himalayan,GB409_22,Is ergative alignment of flagging conditioned by any other factor?,,?,
haka1240,Haka Chin,Trans-Himalayan,GB409_23,Are the ergative and the genitive expressed by the same marker?,,?,
haka1240,Haka Chin,Trans-Himalayan,GB409_24,Are the ergative and the instrumental/comitative expressed by the same marker?,"Peterson, 2017, p. 261",1,
