Glottocode,Language,Family,Ergon_ID,Feature,Value,Source,Comment,,,,
nort2745,Tundra Yukaghir,Yukaghir,GB409_1,Is there an overt marker for the absolutive?,1,Schmalz 2013:81-82,Absolutive marker gets blocked by the possessive -gi/-da suffix.,,,,
nort2745,Tundra Yukaghir,Yukaghir,GB409_2,Is there ergative alignment of flagging on first person pronouns?,1,Schmalz 2013:204,Example 524a.,,,,
nort2745,Tundra Yukaghir,Yukaghir,GB409_3,Is there ergative alignment of flagging on second person pronouns?,1,Schmalz 2013:168,Example 405.,,,,
nort2745,Tundra Yukaghir,Yukaghir,GB409_4,Is there ergative alignment of flagging on third person pronouns?,1,Schmalz 2013:304,,,,,
nort2745,Tundra Yukaghir,Yukaghir,GB409_5,Is there ergative alignment of flagging on full NPs?,1,Schmalz 2013:81-82,,,,,
nort2745,Tundra Yukaghir,Yukaghir,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,1,Schmalz 2013:82,Example 138c,,,,
nort2745,Tundra Yukaghir,Yukaghir,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,1,Schmalz 2013:102,Example 206.,,,,
nort2745,Tundra Yukaghir,Yukaghir,GB409_8,Is there ergative alignment of flagging in the past tense?,1,Schmalz 2013:80,Example 129.,,,,
nort2745,Tundra Yukaghir,Yukaghir,GB409_9,Is there ergative alignment of flagging in non-past tenses?,1,Schmalz 2013:80,Example 130.,,,,
nort2745,Tundra Yukaghir,Yukaghir,GB409_10,Is there ergative alignment of flagging in the indicative mood?,1,Schmalz 2013:35,Example 10.,,,,
nort2745,Tundra Yukaghir,Yukaghir,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,1,Schmalz 2013:143,Example 314.,,,,
nort2745,Tundra Yukaghir,Yukaghir,GB409_12,Is there ergative alignment of flagging in the realis status?,1,Schmalz 2013:80,Example 129.,,,,
nort2745,Tundra Yukaghir,Yukaghir,GB409_13,Is there ergative alignment of flagging in the irrealis status?,1,Schmalz 2013:136,Example 289.,,,,
nort2745,Tundra Yukaghir,Yukaghir,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,1,Schmalz 2013:148,Example 336a.,,,,
nort2745,Tundra Yukaghir,Yukaghir,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,1,Schmalz 2013:152,Example 346b.,,,,
nort2745,Tundra Yukaghir,Yukaghir,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,1,Schmalz 2013:35,Example 10.,,,,
nort2745,Tundra Yukaghir,Yukaghir,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?,0,,,,,,
nort2745,Tundra Yukaghir,Yukaghir,GB409_18,Is there ergative alignment of flagging in the context of an animate A?,1,Schmalz 2013:152,Example 346b.,,,,
nort2745,Tundra Yukaghir,Yukaghir,GB409_19,Is there ergative alignment of flagging in the context of an inanimate A?,1,Schmalz 2013:159,Example 370.,,,,
nort2745,Tundra Yukaghir,Yukaghir,GB409_20,Is there ergative alignment of flagging in main clauses?,1,Schmalz 2013:156,Example 360.,,,,
nort2745,Tundra Yukaghir,Yukaghir,GB409_21,Is there ergative alignment of flagging in non-main clauses?,0,,,,,,
nort2745,Tundra Yukaghir,Yukaghir,GB409_22,Is ergative alignment of flagging conditioned by any other factor?,0,,,,,,
nort2745,Tundra Yukaghir,Yukaghir,GB409_23,Are the ergative and the genitive expressed by the same marker?,0,,,,,,
nort2745,Tundra Yukaghir,Yukaghir,GB409_24,Are the ergative and the instrumental/comitative expressed by the same marker?,0,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
