Glottocode,Language,Family,Ergon_ID,,Source_comment,Value,Comment
ilon1239,Ilongot,Austronesian,GB409_1,Is there an overt marker for the absolutive?,"Liao, 2008",?,La información en insuficiente para si quiera determinar si la lengua es ergativa
ilon1239,Ilongot,Austronesian,GB409_2,Is there ergative alignment of flagging on first person pronouns?,"Liao, 2008",?,
ilon1239,Ilongot,Austronesian,GB409_3,Is there ergative alignment of flagging on second person pronouns?,"Liao, 2008",?,
ilon1239,Ilongot,Austronesian,GB409_4,Is there ergative alignment of flagging on third person pronouns?,"Liao, 2008",?,
ilon1239,Ilongot,Austronesian,GB409_5,Is there ergative alignment of flagging on full NPs?,"Liao, 2008",?,
ilon1239,Ilongot,Austronesian,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,"Liao, 2008",?,
ilon1239,Ilongot,Austronesian,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,"Liao, 2008",?,
ilon1239,Ilongot,Austronesian,GB409_8,Is there ergative alignment of flagging in the past tense?,"Liao, 2008",?,
ilon1239,Ilongot,Austronesian,GB409_9,Is there ergative alignment of flagging in non-past tenses?,"Liao, 2008",?,
ilon1239,Ilongot,Austronesian,GB409_10,Is there ergative alignment of flagging in the indicative mood?,"Liao, 2008",?,
ilon1239,Ilongot,Austronesian,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,"Liao, 2008",?,
ilon1239,Ilongot,Austronesian,GB409_12,Is there ergative alignment of flagging in the realis status?,"Liao, 2008",?,
ilon1239,Ilongot,Austronesian,GB409_13,Is there ergative alignment of flagging in the irrealis status?,"Liao, 2008",?,
ilon1239,Ilongot,Austronesian,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,"Liao, 2008",?,
ilon1239,Ilongot,Austronesian,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,"Liao, 2008",?,
ilon1239,Ilongot,Austronesian,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,"Liao, 2008",?,
ilon1239,Ilongot,Austronesian,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?,"Liao, 2008",?,
ilon1239,Ilongot,Austronesian,GB409_18,Is there ergative alignment of flagging in the context of an animate A?,"Liao, 2008",?,
ilon1239,Ilongot,Austronesian,GB409_19,Is there ergative alignment of flagging in the context of an inanimate A?,"Liao, 2008",?,
ilon1239,Ilongot,Austronesian,GB409_20,Is there ergative alignment of flagging in main clauses?,"Liao, 2008",?,
ilon1239,Ilongot,Austronesian,GB409_21,Is there ergative alignment of flagging in non-main clauses?,"Liao, 2008",?,
ilon1239,Ilongot,Austronesian,GB409_22,Is ergative alignment of flagging conditioned by any other factor?,"Liao, 2008",?,
ilon1239,Ilongot,Austronesian,GB409_23,Are the ergative and the genitive expressed by the same marker?,"Liao, 2008",?,
ilon1239,Ilongot,Austronesian,GB409_24,Are the ergative and the instrumental/comitative expressed by the same marker?,"Liao, 2008",?,
