Glottocode,Language,Family,Ergon_ID,Feature,Value,Source,Comment,curated,curated_comment,final_value
natc1249,Natchez,Natchez,GB409_1,Is there an overt marker for the absolutive?,1,"Kimball 2005:430, 442",It has two forms: -Ø and -n; the latter is rarer and can only be found with nouns with an article.,,,1
natc1249,Natchez,Natchez,GB409_2,Is there ergative alignment of flagging on first person pronouns?,?,Kimball 2005:407-408; 413; 426; 442,There is no explicit mention or examples found.,,"Resuelto ?->0. Natchez no tiene pronombres personales libres: la persona se indiza en el verbo (prefijos de sujeto, Tabla 7; prefijos de objeto, Tabla 10). El caso ergativo -c es estrictamente nominal (Kimball 2005:426 §9.1; 442 §12.2) y nunca aparece sobre una forma de 1a persona. No hay marcado ergativo de bandera sobre pronombres de 1a persona porque la lengua es de marcacion en el nucleo.",0
natc1249,Natchez,Natchez,GB409_3,Is there ergative alignment of flagging on second person pronouns?,?,Kimball 2005:407-408; 413; 426; 442,There is no explicit mention or examples found.,,"Resuelto ?->0. Identico a GB409_2: la 2a persona se indiza en el verbo (prefijos de sujeto 'pan-/pen-', de objeto '-p-'), no hay pronombre libre que porte el ergativo nominal -c (Kimball 2005:413, Tabla 10; 442).",0
natc1249,Natchez,Natchez,GB409_4,Is there ergative alignment of flagging on third person pronouns?,?,Kimball 2005:407-408; 426; 437; 442,There is no explicit mention or examples found.,,"Resuelto ?->0. No hay pronombre de 3a persona libre que porte caso; la 3a persona es cero o SN pleno, o se indiza en el verbo. Los deicticos (ka' 'this', ya', ma') son prenominales y no portan -c (Kimball 2005:437 §10). El ergativo -c se da solo en SN plenos (cf. GB409_5=1).",0
natc1249,Natchez,Natchez,GB409_5,Is there ergative alignment of flagging on full NPs?,1,Kimball 2005:442,Found in example (182).,,,1
natc1249,Natchez,Natchez,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,1,Kimball 2005:429-430,Found in example (140).,,,1
natc1249,Natchez,Natchez,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,?,Kimball 2005:in passim,There is no explicit mention or examples found.,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
natc1249,Natchez,Natchez,GB409_8,Is there ergative alignment of flagging in the past tense?,1,Kimball 2005:443,Found in example (184).,,,1
natc1249,Natchez,Natchez,GB409_9,Is there ergative alignment of flagging in non-past tenses?,?,Kimball 2005:in passim,There is no explicit mention or examples found.,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
natc1249,Natchez,Natchez,GB409_10,Is there ergative alignment of flagging in the indicative mood?,?,Kimball 2005:in passim,There is no explicit mention or examples found.,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
natc1249,Natchez,Natchez,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,?,Kimball 2005:in passim,There is no explicit mention or examples found.,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
natc1249,Natchez,Natchez,GB409_12,Is there ergative alignment of flagging in the realis status?,?,Kimball 2005:in passim,,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
natc1249,Natchez,Natchez,GB409_13,Is there ergative alignment of flagging in the irrealis status?,?,Kimball 2005:in passim,,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
natc1249,Natchez,Natchez,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,1,Kimball 2005:442,,,,1
natc1249,Natchez,Natchez,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,0,Kimball 2005:442,,,,0
natc1249,Natchez,Natchez,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,1,Kimball 2005:448,Found in example (201).,,,1
natc1249,Natchez,Natchez,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?,1,Kimball 2005:448,Found in example (202).,,,1
natc1249,Natchez,Natchez,GB409_18,Is there ergative alignment of flagging in the context of an animate A?,1,Kimball 2005:442,,,,1
natc1249,Natchez,Natchez,GB409_19,Is there ergative alignment of flagging in the context of an inanimate A?,0,Kimball 2005:441-442,,,,0
natc1249,Natchez,Natchez,GB409_20,Is there ergative alignment of flagging in main clauses?,1,Kimball 2005:442,,,,1
natc1249,Natchez,Natchez,GB409_21,Is there ergative alignment of flagging in non-main clauses?,1,Kimball 2005:445,Found in example (195).,,,1
natc1249,Natchez,Natchez,GB409_22,Is ergative alignment of flagging conditioned by any other factor?,1,Kimball 2005:443,"There are several factors; for more details, see the reference.",,,1
natc1249,Natchez,Natchez,GB409_23,Are the ergative and the genitive expressed by the same marker?,0,Kimball 2005:426,,,,0
natc1249,Natchez,Natchez,GB409_24,Are the ergative and the instrumental/comitative expressed by the same marker?,1,Kimball 2005:429,,,,1
