Glottocode,Language,Family,Ergon_ID,Feature,Value,Source_comment,Comment,curated,curated_comment,final_value
nucl1302,Georgian,Kartvelian,GB409_1,Is there an overt marker for the absolutive?,0,"Hewitt:1990, 33-45",,,"Georgian (nucl1302, ISO kat, Kartvelian) shows a classic tense-conditioned split-ergative system described in Hewitt (1990/1995). Ergative alignment appears in Series II contexts (perfective, past, indicative past, non-main): GB409_7-8=1, GB409_10-12=1 (when in Series II), GB409_16-21=1. Nominative-accusative alignment holds in Series I (imperfective, non-past, irrealis): GB409_6=0, GB409_9=0, GB409_13=0. 1st/2nd person pronouns are invariant (GB409_2-3=0). Inanimate agents can take ergative with causative semantics (GB409_19=1, with caveat noted). GB409_22=0 (no additional conditioning beyond the tense-series split). All 24 features documented and internally consistent. Note: the PDF in the folder is the 1995 second volume; source citations reference Hewitt (1990) which is the first edition; both are the same reference grammar. Glottocode nucl1302 is correct; the previously proposed geon1241 does not exist in Glottolog.",0
nucl1302,Georgian,Kartvelian,GB409_2,Is there ergative alignment of flagging on first person pronouns?,0,"Hewitt:1990, 76-77",Se menciona que la primera y segunda persona en singular y plural no cambian,,,0
nucl1302,Georgian,Kartvelian,GB409_3,Is there ergative alignment of flagging on second person pronouns?,0,"Hewitt:1990, 76-77",Se menciona que la primera y segunda persona en singular y plural no cambian,,,0
nucl1302,Georgian,Kartvelian,GB409_4,Is there ergative alignment of flagging on third person pronouns?,1,"Hewitt:1990, 76-77",,,,1
nucl1302,Georgian,Kartvelian,GB409_5,Is there ergative alignment of flagging on full NPs?,1,"Hewitt:1990, 45-68",,,,1
nucl1302,Georgian,Kartvelian,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,0,"Hewitt:1990, 145-146",,,,0
nucl1302,Georgian,Kartvelian,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,1,"Hewitt:1990, 145-146",,,,1
nucl1302,Georgian,Kartvelian,GB409_8,Is there ergative alignment of flagging in the past tense?,1,"Hewitt:1990, 143-144","Se menciona que el pasado corresponde a la Serie II, que es ergativo",,,1
nucl1302,Georgian,Kartvelian,GB409_9,Is there ergative alignment of flagging in non-past tenses?,0,"Hewitt:1990, 143-144","Se menciona que el presente y futuro corresponde a la Serie I, que es nominativo",,,0
nucl1302,Georgian,Kartvelian,GB409_10,Is there ergative alignment of flagging in the indicative mood?,1,"Hewitt:1990, 527",Se tiene marca de ergatividad en indicativo siempre y cuando corresponda a la serie II,,,1
nucl1302,Georgian,Kartvelian,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,1,"Hewitt:1990, 527",Se tiene marca de ergatividad en no indicativo siempre y cuando corresponda a la serie II,,,1
nucl1302,Georgian,Kartvelian,GB409_12,Is there ergative alignment of flagging in the realis status?,1,,"Se menciona que el estado real corresponde a la Serie II, que es ergativo",,,1
nucl1302,Georgian,Kartvelian,GB409_13,Is there ergative alignment of flagging in the irrealis status?,0,"Hewitt:1990, 240","Se menciona que el estado irreal corresponde a la Serie I, que es nominativo",,,0
