Glottocode,Language,Family,Ergon_ID,Feature,Value,Source_comment,Comment
mayk1239,Mayi-Kulan,Pama-Nyungan,GB409_1,Is there an overt marker for the absolutive?,0,Breen 1981:39-40,
mayk1239,Mayi-Kulan,Pama-Nyungan,GB409_2,Is there ergative alignment of flagging on first person pronouns?,0,Breen 1981:46,
mayk1239,Mayi-Kulan,Pama-Nyungan,GB409_3,Is there ergative alignment of flagging on second person pronouns?,0,Breen 1981:46,
mayk1239,Mayi-Kulan,Pama-Nyungan,GB409_4,Is there ergative alignment of flagging on third person pronouns?,0,Breen 1981:46,
mayk1239,Mayi-Kulan,Pama-Nyungan,GB409_5,Is there ergative alignment of flagging on full NPs?,1,Breen 1981:38,Example 22
mayk1239,Mayi-Kulan,Pama-Nyungan,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,1,Breen 1981:38,Example 22
mayk1239,Mayi-Kulan,Pama-Nyungan,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,1,Breen 1981:39,Example 25
mayk1239,Mayi-Kulan,Pama-Nyungan,GB409_8,Is there ergative alignment of flagging in the past tense?,1,Breen 1981:39,Example 25
mayk1239,Mayi-Kulan,Pama-Nyungan,GB409_9,Is there ergative alignment of flagging in non-past tenses?,1,Breen 1981:38,Example 22
mayk1239,Mayi-Kulan,Pama-Nyungan,GB409_10,Is there ergative alignment of flagging in the indicative mood?,1,Breen 1981:38,Example 22
mayk1239,Mayi-Kulan,Pama-Nyungan,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,?,,
mayk1239,Mayi-Kulan,Pama-Nyungan,GB409_12,Is there ergative alignment of flagging in the realis status?,1,Breen 1981:38,Example 22
mayk1239,Mayi-Kulan,Pama-Nyungan,GB409_13,Is there ergative alignment of flagging in the irrealis status?,1,Breen 1981:38,Example 23
mayk1239,Mayi-Kulan,Pama-Nyungan,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,1,Breen 1981:38,Example 22
mayk1239,Mayi-Kulan,Pama-Nyungan,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,1,Breen 1981:42,Example 34
mayk1239,Mayi-Kulan,Pama-Nyungan,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,1,,
mayk1239,Mayi-Kulan,Pama-Nyungan,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?,1,,
mayk1239,Mayi-Kulan,Pama-Nyungan,GB409_18,Is there ergative alignment of flagging in the context of an animate A?,1,Breen 1981:38,Example 22
mayk1239,Mayi-Kulan,Pama-Nyungan,GB409_19,Is there ergative alignment of flagging in the context of an inanimate A?,1,Breen 1981:42,Example 34
mayk1239,Mayi-Kulan,Pama-Nyungan,GB409_20,Is there ergative alignment of flagging in main clauses?,1,Breen 1981:38,Example 22
mayk1239,Mayi-Kulan,Pama-Nyungan,GB409_21,Is there ergative alignment of flagging in non-main clauses?,?,,
mayk1239,Mayi-Kulan,Pama-Nyungan,GB409_22,Is ergative alignment of flagging conditioned by any other factor?,0,,
mayk1239,Mayi-Kulan,Pama-Nyungan,GB409_23,Are the ergative and the genitive expressed by the same marker?,0,,
mayk1239,Mayi-Kulan,Pama-Nyungan,GB409_24,Are the ergative and the instrumental/comitative expressed by the same marker?,1,Breen 1981:40,
