Glottocode,Language,Family,Ergon_ID,Feature,Value,Source_comment,Comment,curated,curated_comment,final_value
lush1249,Mizo,Trans-Himalayan,GB409_1,Is there an overt marker for the absolutive?,0,Chhangte 1986:158-159,,,,0
lush1249,Mizo,Trans-Himalayan,GB409_2,Is there ergative alignment of flagging on first person pronouns?,1,Chhangte 1986:158-159,,,,1
lush1249,Mizo,Trans-Himalayan,GB409_3,Is there ergative alignment of flagging on second person pronouns?,1,Chhangte 1986:158-159,,,,1
lush1249,Mizo,Trans-Himalayan,GB409_4,Is there ergative alignment of flagging on third person pronouns?,1,Chhangte 1986:158-159,,,,1
lush1249,Mizo,Trans-Himalayan,GB409_5,Is there ergative alignment of flagging on full NPs?,1,Chhangte 1986:158-159,,,,1
lush1249,Mizo,Trans-Himalayan,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,1,Chhangte 1986:158-159,,,,1
lush1249,Mizo,Trans-Himalayan,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,1,Chhangte 1986:158-159,,,,1
lush1249,Mizo,Trans-Himalayan,GB409_8,Is there ergative alignment of flagging in the past tense?,1,Chhangte 1986:158-159,,,,1
lush1249,Mizo,Trans-Himalayan,GB409_9,Is there ergative alignment of flagging in non-past tenses?,1,Chhangte 1986:158-159,,,,1
lush1249,Mizo,Trans-Himalayan,GB409_10,Is there ergative alignment of flagging in the indicative mood?,1,Chhangte 1986:158-159,,,,1
lush1249,Mizo,Trans-Himalayan,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,1,Chhangte 1986:158-159,,,,1
lush1249,Mizo,Trans-Himalayan,GB409_12,Is there ergative alignment of flagging in the realis status?,1,Chhangte 1986:158-159,,,,1
lush1249,Mizo,Trans-Himalayan,GB409_13,Is there ergative alignment of flagging in the irrealis status?,1,Chhangte 1986:158-159,,,,1
lush1249,Mizo,Trans-Himalayan,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,1,Chhangte 1986:158-159,,,,1
lush1249,Mizo,Trans-Himalayan,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,1,Chhangte 1986:158-159,,,,1
lush1249,Mizo,Trans-Himalayan,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,1,Chhangte 1986:158-159,,,,1
lush1249,Mizo,Trans-Himalayan,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?,1,Chhangte 1986:158-159,,,,1
lush1249,Mizo,Trans-Himalayan,GB409_18,Is there ergative alignment of flagging in the context of an animate A?,1,Chhangte 1986:158-159,,,,1
lush1249,Mizo,Trans-Himalayan,GB409_19,Is there ergative alignment of flagging in the context of an inanimate A?,1,Chhangte 1986:158-159,,,,1
lush1249,Mizo,Trans-Himalayan,GB409_20,Is there ergative alignment of flagging in main clauses?,1,Chhangte 1986:158-159,,,,1
lush1249,Mizo,Trans-Himalayan,GB409_21,Is there ergative alignment of flagging in non-main clauses?,1,Chhangte 1986:158-159,,,,1
lush1249,Mizo,Trans-Himalayan,GB409_22,Is ergative alignment of flagging conditioned by any other factor?,0,,,,"No source reference. Value 0 retained pending verification. Chhangte (1986:158) describes Mizo as ""partially ergative"": the NP-level ergative clitic is optional and the verb-level cross-referencing follows nominative-accusative principles. The optionality of the ERG clitic may constitute conditioning by information-structure or discourse factors — researcher should verify whether any obligatory split or conditioning environment exists. Source: Chhangte 1986:158-159.",0
lush1249,Mizo,Trans-Himalayan,GB409_23,Are the ergative and the genitive expressed by the same marker?,0,,,,"No source reference. Value 0 (ERG ≠ GEN) is expected for Mizo/Lushai (Chhangte 1986), a Tibeto-Burman language where the ergative clitic =in is distinct from the genitive. Researcher should add a specific source citation from the grammar.",0
lush1249,Mizo,Trans-Himalayan,GB409_24,Are the ergative and the instrumental/comitative expressed by the same marker?,0,,,,No source reference. Value 0 (ERG ≠ INSTR) retained. The Mizo ergative clitic =in is functionally distinct from the instrumental. Researcher should add a specific source citation from Chhangte 1986.,0
