Glottocode,Language,Family,Ergon_ID,Feature,Value,Source,Comment,
amam1246,Amam,Trans-New Guinea,GB409_1,Is there an overt marker for the absolutive?,0,"Aki and Pennington 2013: 40, 45",There is no explicit marker for the absolutive case.,
amam1246,Amam,Trans-New Guinea,GB409_2,Is there ergative alignment of flagging on first person pronouns?,1,"Aki and Pennington 2013: 10-11, 14-15, 30, 32",There is an ergative-absolutive alignment in first person pronouns.,
amam1246,Amam,Trans-New Guinea,GB409_3,Is there ergative alignment of flagging on second person pronouns?,1,"Aki and Pennington 2013: 11, 14, 29-30",There is an ergative-absolutive alignment in second person pronouns.,
amam1246,Amam,Trans-New Guinea,GB409_4,Is there ergative alignment of flagging on third person pronouns?,1,"Aki and Pennington 2013: 11, 14-15, 28, 30",There is an ergative-absolutive alignment in third person pronouns.,
amam1246,Amam,Trans-New Guinea,GB409_5,Is there ergative alignment of flagging on full NPs?,1,"Aki and Pennington 2013: 38-40, 45",Full NP's exhibit an ergative-absolutive marking system.,
amam1246,Amam,Trans-New Guinea,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,0,"Aki and Pennington 2013: 32, 34, 38",There is a split alignment conditioned by the verbal aspect. The nominative-accusative alignment occurs in clauses with  imperfective aspect.,
amam1246,Amam,Trans-New Guinea,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,1,"Aki and Pennington 2013: 15, 33, 38-39",The ergative-absolutive alignment occurs in clauses with perfective aspect or past tense.,
amam1246,Amam,Trans-New Guinea,GB409_8,Is there ergative alignment of flagging in the past tense?,1,"Aki and Pennington 2013: 15, 28, 31, 39",Ergative alignment is present in past tense clauses.,
amam1246,Amam,Trans-New Guinea,GB409_9,Is there ergative alignment of flagging in non-past tenses?,1,"Aki and Pennington 2013: 30, 32, 38","A split ergativity system is shown where the future aligns with the past using an ergative system, while the present uses a nominative-accusative system.",
amam1246,Amam,Trans-New Guinea,GB409_10,Is there ergative alignment of flagging in the indicative mood?,1,"Aki and Pennington 2013: 15, 32, 38-39","Ergative alignment is used in the indicative mood, but is conditioned by the time and aspect of the clause.",
amam1246,Amam,Trans-New Guinea,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,1,"Aki and Pennington 2013: 49, 52","In the interrogative mood, there is ergative alignment, whereas in the imperative mood, there is no ergative alignment.",
amam1246,Amam,Trans-New Guinea,GB409_12,Is there ergative alignment of flagging in the realis status?,1,"Aki and Pennington 2013: 15, 32, 35, 39",Ergative alignment is presented in a split way in status realis and depends on which of these two tenses is used.,
amam1246,Amam,Trans-New Guinea,GB409_13,Is there ergative alignment of flagging in the irrealis status?,1,"Aki and Pennington 2013: 30, 35, 45-46",An ergative-absolutive alignment is presented in clauses with irrealis status.,
amam1246,Amam,Trans-New Guinea,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,1,"Aki and Pennington 2013: 15, 39",Ergative alignment applies to agentive A arguments.,
amam1246,Amam,Trans-New Guinea,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,1,"Aki and Pennington 2013: 39, 41",Ergative alignment applies to some non-agentive A arguments.,
amam1246,Amam,Trans-New Guinea,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,0,Aki and Pennington 2013: 38-39,The ergative marker is omitted when argument A is topical. ,
amam1246,Amam,Trans-New Guinea,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?,1,Aki and Pennington 2013: 38-39,"Ergative-absolutive alignment is not only used with non-topical A arguments, but its use is mandatory in this context, especially when the A argument is in focus.",
amam1246,Amam,Trans-New Guinea,GB409_18,Is there ergative alignment of flagging in the context of an animate A?,1,"Aki and Pennington 2013: 15, 39",Ergative alignment applies to animated A arguments.,
amam1246,Amam,Trans-New Guinea,GB409_19,Is there ergative alignment of flagging in the context of an inanimate A?,1,Aki and Pennington 2013: 39,Ergative-absolutive alignment applies to inanimate A arguments.,
amam1246,Amam,Trans-New Guinea,GB409_20,Is there ergative alignment of flagging in main clauses?,1,"Aki and Pennington 2013: 14-15, 38-39, 52",Ergative-absolutive alignment occurs in main clauses.,
amam1246,Amam,Trans-New Guinea,GB409_21,Is there ergative alignment of flagging in non-main clauses?,0,Aki and Pennington 2013: 59,Ergative-absolutive alignment is not used in subordinate clauses.,
amam1246,Amam,Trans-New Guinea,GB409_22,Is ergative alignment of flagging conditioned by any other factor?,1,Aki and Pennington 2013: 38-39,Ergative alignment in the market is conditioned by pragmatic factors such as topicality and subject focus.,
amam1246,Amam,Trans-New Guinea,GB409_23,Are the ergative and the genitive expressed by the same marker?,0,"Aki and Pennington 2013: 14, 27, 38, 41-42",The ergative marker and the genitive marker are not expressed with the same morpheme.,
amam1246,Amam,Trans-New Guinea,GB409_24,Are the ergative and the instrumental/comitative expressed by the same marker?,0,"Aki and Pennington 2013: 38, 43-44",The ergative case does not have the same marker as the instrumental or comitative marker.,
