Glottocode,Language,Family,Ergon_ID,Feature,Value,Source_comment,Comment,curated,curated_comment,final_value
dhar1248,Dharumbal,Pama-Nyungan,GB409_1,Is there an overt marker for the absolutive?,0,Terrill 2002: 31,"Absolutive (NOM for S, ACC for non-human O) is zero-marked.",,"Dharumbal (dhar1248, ISO xgm, Pama-Nyungan, Queensland) is a consistently ergative language per Terrill (2002). ERG suffix -ru/-ngu/-u/-Cu marks all transitive subjects regardless of tense, mood, animacy, agentivity, or clause type. GB409_6-7 (aspect) and GB409_12-13 (realis/irrealis) are marked '?' because these grammatical categories do not exist in Dharumbal: the verbal system distinguishes Non-Past, Past, Far-Past, Imperative, Purposive, but not perfective/imperfective or realis/irrealis. GB409_16-17 resolved to 1 (no topicality split documented; consistent ergative). GB409_22 corrected to 0: the 'unknown conditioning' in the source (Terrill §4.1.3) refers to the overt accusative marker on human O, not to conditioning of ERG marking on A. ERG=INST syncretism confirmed (GB409_24=1). Glottocode dhar1248 is correct.",0
dhar1248,Dharumbal,Pama-Nyungan,GB409_2,Is there ergative alignment of flagging on first person pronouns?,1,Terrill 2002: 34-35,"All three persons have distinct ERG pronoun forms: 1sg ngatha, 2sg nginda, 3sg nhula (Terrill §4.2).",,,1
dhar1248,Dharumbal,Pama-Nyungan,GB409_3,Is there ergative alignment of flagging on second person pronouns?,1,Terrill 2002: 34-35,Distinct ERG pronoun forms for all persons.,,,1
dhar1248,Dharumbal,Pama-Nyungan,GB409_4,Is there ergative alignment of flagging on third person pronouns?,1,Terrill 2002: 34-35,Distinct ERG pronoun forms for all persons.,,,1
dhar1248,Dharumbal,Pama-Nyungan,GB409_5,Is there ergative alignment of flagging on full NPs?,1,Terrill 2002: 30,Full NPs take ERG suffix -ru/-ngu/-u/-Cu; example (4) p.30.,,,1
dhar1248,Dharumbal,Pama-Nyungan,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,?,Terrill 2002: in passim,"Perfective/imperfective aspect is not a morphological category in Dharumbal; tense categories are Non-Past, Past, Far-Past (Terrill §5.1).",?,,?
dhar1248,Dharumbal,Pama-Nyungan,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,?,Terrill 2002: in passim,Perfective/imperfective aspect is not a morphological category in Dharumbal.,?,,?
dhar1248,Dharumbal,Pama-Nyungan,GB409_8,Is there ergative alignment of flagging in the past tense?,1,Terrill 2002: 30,Past tense examples (ex.53-57) show ERG on transitive subjects consistently.,,,1
dhar1248,Dharumbal,Pama-Nyungan,GB409_9,Is there ergative alignment of flagging in non-past tenses?,1,Terrill 2002: 40,Non-past examples (ex.49-52) show ERG on transitive subjects.,,,1
dhar1248,Dharumbal,Pama-Nyungan,GB409_10,Is there ergative alignment of flagging in the indicative mood?,1,Terrill 2002: 31,All main clause declaratives show ERG; example (15) p.31.,,,1
dhar1248,Dharumbal,Pama-Nyungan,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,1,Terrill 2002: 33,"Imperative and purposive clauses also show ERG on transitive subjects (ex.18, 27, 80).",,,1
dhar1248,Dharumbal,Pama-Nyungan,GB409_12,Is there ergative alignment of flagging in the realis status?,?,Terrill 2002: in passim,Realis/irrealis is not a morphological category in Dharumbal; tense/mood system has no such distinction.,?,,?
dhar1248,Dharumbal,Pama-Nyungan,GB409_13,Is there ergative alignment of flagging in the irrealis status?,?,Terrill 2002: in passim,Realis/irrealis is not a morphological category in Dharumbal.,?,,?
dhar1248,Dharumbal,Pama-Nyungan,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,1,Terrill 2002: 30,Agentive A takes ERG; example (4) p.30.,,,1
dhar1248,Dharumbal,Pama-Nyungan,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,1,Terrill 2002: 31,"Non-agentive A (e.g., caused events) also takes ERG; causative constructions (§5.2.1) show ERG on causer regardless of volitional control.",,,1
