Glottocode,Language,Family,Ergon_ID,Feature,Value,Source_comment,Comment
maga1263,Mag-anchi Agta,Austronesian,GB409_1,Is there an overt marker for the absolutive?,1,Kitano & Pangilinan 2003:172-174,"Only pronouns are marked, so there is a different set of pronouns for ergative and another one for absolutive."
maga1263,Mag-anchi Agta,Austronesian,GB409_2,Is there ergative alignment of flagging on first person pronouns?,1,Kitano & Pangilinan 2003:172-174,"There is a set of possible forms for the absolutive first person pronoun, and one of them overlaps with one of the two ergative forms for the first person"
maga1263,Mag-anchi Agta,Austronesian,GB409_3,Is there ergative alignment of flagging on second person pronouns?,1,Kitano & Pangilinan 2003:172-174,
maga1263,Mag-anchi Agta,Austronesian,GB409_4,Is there ergative alignment of flagging on third person pronouns?,1,Kitano & Pangilinan 2003:172-174,
maga1263,Mag-anchi Agta,Austronesian,GB409_5,Is there ergative alignment of flagging on full NPs?,0,Kitano & Pangilinan 2003:219,Example 174
maga1263,Mag-anchi Agta,Austronesian,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,1,Kitano & Pangilinan 2003:214,Example 144
maga1263,Mag-anchi Agta,Austronesian,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,1,Kitano & Pangilinan 2003:174,Example 6
maga1263,Mag-anchi Agta,Austronesian,GB409_8,Is there ergative alignment of flagging in the past tense?,1,Kitano & Pangilinan 2003:179,Example 18
maga1263,Mag-anchi Agta,Austronesian,GB409_9,Is there ergative alignment of flagging in non-past tenses?,1,Kitano & Pangilinan 2003:174,Example 6
maga1263,Mag-anchi Agta,Austronesian,GB409_10,Is there ergative alignment of flagging in the indicative mood?,1,Kitano & Pangilinan 2003:174,Example 6
maga1263,Mag-anchi Agta,Austronesian,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,1,Kitano & Pangilinan 2003:213,Example 140
maga1263,Mag-anchi Agta,Austronesian,GB409_12,Is there ergative alignment of flagging in the realis status?,1,Kitano & Pangilinan 2003:174,Example 6
maga1263,Mag-anchi Agta,Austronesian,GB409_13,Is there ergative alignment of flagging in the irrealis status?,1,Kitano & Pangilinan 2003:211,Example 132
maga1263,Mag-anchi Agta,Austronesian,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,1,Kitano & Pangilinan 2003:211,Example 128
maga1263,Mag-anchi Agta,Austronesian,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,1,Kitano & Pangilinan 2003:174,Example 6
maga1263,Mag-anchi Agta,Austronesian,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,?,,
maga1263,Mag-anchi Agta,Austronesian,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?,1,Kitano & Pangilinan 2003:174,Example 6
maga1263,Mag-anchi Agta,Austronesian,GB409_18,Is there ergative alignment of flagging in the context of an animate A?,1,Kitano & Pangilinan 2003:174,Example 6
maga1263,Mag-anchi Agta,Austronesian,GB409_19,Is there ergative alignment of flagging in the context of an inanimate A?,1,Kitano & Pangilinan 2003:211,Example 132
maga1263,Mag-anchi Agta,Austronesian,GB409_20,Is there ergative alignment of flagging in main clauses?,1,Kitano & Pangilinan 2003:174,Example 6
maga1263,Mag-anchi Agta,Austronesian,GB409_21,Is there ergative alignment of flagging in non-main clauses?,?,,
maga1263,Mag-anchi Agta,Austronesian,GB409_22,Is ergative alignment of flagging conditioned by any other factor?,0,,
maga1263,Mag-anchi Agta,Austronesian,GB409_23,Are the ergative and the genitive expressed by the same marker?,1,Kitano & Pangilinan 2003:172,
maga1263,Mag-anchi Agta,Austronesian,GB409_24,Are the ergative and the instrumental/comitative expressed by the same marker?,0,,
