Glottocode,Language,Family,Ergon_ID,Feature,Value,Source,Comment,curated,curated_comment,final_value
pend1242,Pendau,Austronesian,GB409_1,Is there an overt marker for the absolutive?,0,Quick 2008:124,,,,0
pend1242,Pendau,Austronesian,GB409_2,Is there ergative alignment of flagging on first person pronouns?,0,Quick 2008:,The ergative alignment does not occur in pronouns but in common and proper nouns.,,,0
pend1242,Pendau,Austronesian,GB409_3,Is there ergative alignment of flagging on second person pronouns?,0,Quick 2008:,The ergative alignment does not occur in pronouns but in common and proper nouns.,,,0
pend1242,Pendau,Austronesian,GB409_4,Is there ergative alignment of flagging on third person pronouns?,0,Quick 2008:,The ergative alignment does not occur in pronouns but in common and proper nouns.,,,0
pend1242,Pendau,Austronesian,GB409_5,Is there ergative alignment of flagging on full NPs?,1,Quick 2008:124,See example (2),,,1
pend1242,Pendau,Austronesian,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,1,Quick 2008:129,See example (6),,,1
pend1242,Pendau,Austronesian,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,?,Quick 2008:in passim,There is no mention nor evidence of a split based aspect.,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
pend1242,Pendau,Austronesian,GB409_8,Is there ergative alignment of flagging in the past tense?,1,Quick 2008:124,See example (2),,,1
pend1242,Pendau,Austronesian,GB409_9,Is there ergative alignment of flagging in non-past tenses?,?,Quick 2008:in passim,There are no examples in the source in order to corroborate this feature.,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
pend1242,Pendau,Austronesian,GB409_10,Is there ergative alignment of flagging in the indicative mood?,1,Quick 2008:124,See example (2),,,1
pend1242,Pendau,Austronesian,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,?,Quick 2008:in passim,There are no examples in the source in order to corroborate this feature.,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
pend1242,Pendau,Austronesian,GB409_12,Is there ergative alignment of flagging in the realis status?,1,Quick 2008:124,See example (2),,,1
pend1242,Pendau,Austronesian,GB409_13,Is there ergative alignment of flagging in the irrealis status?,1,Quick 2008:in passim,There are no examples in the source in order to corroborate this feature.,,,1
pend1242,Pendau,Austronesian,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,1,Quick 2008:124,See example (2),,,1
pend1242,Pendau,Austronesian,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,1,Quick 2008:208,See example (208),,,1
pend1242,Pendau,Austronesian,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,?,Quick 2008:in passim,There is no mention nor evidence of a split based on topicality.,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
pend1242,Pendau,Austronesian,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?,?,Quick 2008:in passim,There is no mention nor evidence of a split based on topicality.,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
pend1242,Pendau,Austronesian,GB409_18,Is there ergative alignment of flagging in the context of an animate A?,1,Quick 2008:124,See example (2),,,1
pend1242,Pendau,Austronesian,GB409_19,Is there ergative alignment of flagging in the context of an inanimate A?,1,Quick 2008:177,See example (98),,,1
pend1242,Pendau,Austronesian,GB409_20,Is there ergative alignment of flagging in main clauses?,1,Quick 2008:124,See example (2),,,1
pend1242,Pendau,Austronesian,GB409_21,Is there ergative alignment of flagging in non-main clauses?,?,Quick 2008:in passim,There are no examples in the source in order to corroborate this feature.,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
pend1242,Pendau,Austronesian,GB409_22,Is ergative alignment of flagging conditioned by any other factor?,1,"Quick 2008:113,124",An ergative alignment is created when the genitive case marks the agent in an inverted sentence.,,,1
pend1242,Pendau,Austronesian,GB409_23,Are the ergative and the genitive expressed by the same marker?,1,Quick 2008:113,See figure 5.1.,,,1
pend1242,Pendau,Austronesian,GB409_24,Are the ergative and the instrumental/comitative expressed by the same marker?,1,"Quick 2008:113, 144",See figure 5.1. See example (69),,,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
