Glottocode,Language,Family,Ergon_ID,Feature,Value,Source,Comment,
bund1253,Bundeli,Indo-European,GB409_1,Is there an overt marker for the absolutive?,0,"Jaiswal 1962: 99-100, 102, 146",There is not explicit marker for the absolutive case.,
bund1253,Bundeli,Indo-European,GB409_2,Is there ergative alignment of flagging on first person pronouns?,1,"Jaiswal 1962: 69, 71",First-person pronouns show ergative alignment.,
bund1253,Bundeli,Indo-European,GB409_3,Is there ergative alignment of flagging on second person pronouns?,1,Jaiswal 1962: 72-73,Second-person pronouns show ergative alignment.,
bund1253,Bundeli,Indo-European,GB409_4,Is there ergative alignment of flagging on third person pronouns?,1,"Jaiswal 1962: 74-75, 100",Third-person pronouns show ergative alignment.,
bund1253,Bundeli,Indo-European,GB409_5,Is there ergative alignment of flagging on full NPs?,1,"Jaiswal 1962: 65, 99-100",Full NP's exhibit ergative-absolutive alignment.,
bund1253,Bundeli,Indo-European,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,0,"Jaiswal 1962: 76, 99, 144, 149",Clauses with imperfective aspect do  not exhibit ergative alignment.,
bund1253,Bundeli,Indo-European,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,1,"Jaiswal 1962: 65, 76, 99, 146",Clauses with perfective aspect exhibit ergative alignment.,
bund1253,Bundeli,Indo-European,GB409_8,Is there ergative alignment of flagging in the past tense?,1,"Jaiswal 1962: 134, 146, 149",Past-tense clauses exhibit ergative alignment.,
bund1253,Bundeli,Indo-European,GB409_9,Is there ergative alignment of flagging in non-past tenses?,0,"Jaiswal 1962: 65, 76, 134, 144, 147",Clauses in non-past tense do not exhibit ergative alignment.,
bund1253,Bundeli,Indo-European,GB409_10,Is there ergative alignment of flagging in the indicative mood?,1,"Jaiswal 1962: 100, 146",Clauses in indicative mode show an ergative alignment.,
bund1253,Bundeli,Indo-European,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,1,Jaiswal 1962: 151,Clauses in non-indicative mode show an ergative alignment.,
bund1253,Bundeli,Indo-European,GB409_12,Is there ergative alignment of flagging in the realis status?,1,"Jaiswal 1962: 100, 146",Clauses with realis status show ergative alignment.,
bund1253,Bundeli,Indo-European,GB409_13,Is there ergative alignment of flagging in the irrealis status?,1,"Jaiswal 1962: 151, 161-162",Clauses with irrealis status show ergative alignment.,
bund1253,Bundeli,Indo-European,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,1,"Jaiswal 1962: 100, 111, 146","In the context of an agentive A argument, ergative alignment is observed.",
bund1253,Bundeli,Indo-European,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,0,Jaiswal 1962: 111,"In the context of a non-agentive argument A, ergative alignment is not observed.",
bund1253,Bundeli,Indo-European,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,1,"Jaiswal 1962: 65, 99-100","In the context of a topical A, ergative alignment is shown.",
bund1253,Bundeli,Indo-European,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?,1,"Jaiswal 1962: 65, 99-100","In the context of a non-topical A, ergative alignment is shown.",
bund1253,Bundeli,Indo-European,GB409_18,Is there ergative alignment of flagging in the context of an animate A?,1,"Jaiswal 1962: 65, 100, 134",Clauses with animated A arguments do exhibit ergative alignment.,
bund1253,Bundeli,Indo-European,GB409_19,Is there ergative alignment of flagging in the context of an inanimate A?,1,"Jaiswal 1962: 76, 99-100",Clauses with non-animated A arguments exhibit ergative alignment.,
bund1253,Bundeli,Indo-European,GB409_20,Is there ergative alignment of flagging in main clauses?,1,"Jaiswal 1962: 65, 100, 146",Main clauses do exhibit ergative alignment.,
bund1253,Bundeli,Indo-European,GB409_21,Is there ergative alignment of flagging in non-main clauses?,1,"Jaiswal 1962: 78, 161, 163",Non-main clauses exhibit ergative alignment.,
bund1253,Bundeli,Indo-European,GB409_22,Is ergative alignment of flagging conditioned by any other factor?,1,"Jaiswal 1962: 100, 111","The ergative mark is conditioned by the lexical semantics of the verb, specifically manifested in split intransitivity and in lexical exceptions of transitive verbs.",
bund1253,Bundeli,Indo-European,GB409_23,Are the ergative and the genitive expressed by the same marker?,0,"Jaiswal 1962: 100, 104-105",The ergative case does not have the same marker as the genitive case.,
bund1253,Bundeli,Indo-European,GB409_24,Are the ergative and the instrumental/comitative expressed by the same marker?,0,"Jaiswal 1962: 100-101, 103-104",The ergative case does not have the same marker as the instrumental or comitative marker.,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
