Glottocode,Language,Family,Ergon_ID,Feature,Value,Source,Comment,curated,curated_comment,final_value
bujh1238,Bhujel,Trans-Himalayan,GB409_1,Is there an overt marker for the absolutive?,0,"Regmi 2007: 156, 158",There is not an explicit marker for the absolutive case.,,,0
bujh1238,Bhujel,Trans-Himalayan,GB409_2,Is there ergative alignment of flagging on first person pronouns?,1,"Regmi 2007: 156-157, 184",First-person pronouns show ergative alignment.,,,1
bujh1238,Bhujel,Trans-Himalayan,GB409_3,Is there ergative alignment of flagging on second person pronouns?,1,"Regmi 2007: 157, 184",Second-person pronouns show ergative alignment.,,,1
bujh1238,Bhujel,Trans-Himalayan,GB409_4,Is there ergative alignment of flagging on third person pronouns?,1,"Regmi 2007: 156-157, 184",Third-person pronouns show ergative alignment.,,,1
bujh1238,Bhujel,Trans-Himalayan,GB409_5,Is there ergative alignment of flagging on full NPs?,1,"Regmi 2007: 156, 285, 289",Full NP's exhibit ergative alignment.,,,1
bujh1238,Bhujel,Trans-Himalayan,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,1,"Regmi 2007: 156-157, 392",Ergative alignment present in the imperfective aspect.,,,1
bujh1238,Bhujel,Trans-Himalayan,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,1,"Regmi 2007: 156-157, 216",Ergative alignment occurs in the perfective aspect. ,,,1
bujh1238,Bhujel,Trans-Himalayan,GB409_8,Is there ergative alignment of flagging in the past tense?,1,"Regmi 2007: 156-157, 213, 395",Ergative alignment occurs in past tense clauses.,,,1
bujh1238,Bhujel,Trans-Himalayan,GB409_9,Is there ergative alignment of flagging in non-past tenses?,1,Regmi 2007: 156-157,Ergative alignment applied in non-past times.,,,1
bujh1238,Bhujel,Trans-Himalayan,GB409_10,Is there ergative alignment of flagging in the indicative mood?,1,"Regmi 2007: 156, 285",Ergative alignment is presented in indicative mode.,,,1
bujh1238,Bhujel,Trans-Himalayan,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,1,"Regmi 2007: 314, 318, 321",Ergative alignment is presented in non-indicative mode.,,,1
bujh1238,Bhujel,Trans-Himalayan,GB409_12,Is there ergative alignment of flagging in the realis status?,1,"Regmi 2007: 156-157, 395",Ergative alignment is present in the realis status.,,,1
bujh1238,Bhujel,Trans-Himalayan,GB409_13,Is there ergative alignment of flagging in the irrealis status?,1,"Regmi 2007: 156, 161, 318, 322",Ergative alignment is present in the irrealis status.,,,1
bujh1238,Bhujel,Trans-Himalayan,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,1,"Regmi 2007: 156-157, 284-285","In the context of an agentive A argument, ergative alignment is observed.",,,1
bujh1238,Bhujel,Trans-Himalayan,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,1,"Regmi 2007: 162, 165, 426","In the context of a non-agentive argument A, ergative alignment is observed.",,,1
bujh1238,Bhujel,Trans-Himalayan,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,1,"Regmi 2007: 156, 286-287","In the context of a topical A, ergative alignment is shown.",,,1
bujh1238,Bhujel,Trans-Himalayan,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?,1,Regmi 2007: 287,"In the context of a non-topical A, ergative alignment is shown.",,,1
bujh1238,Bhujel,Trans-Himalayan,GB409_18,Is there ergative alignment of flagging in the context of an animate A?,1,Regmi 2007: 156-157,Clauses with animated A arguments exhibit ergative alignment.,,,1
bujh1238,Bhujel,Trans-Himalayan,GB409_19,Is there ergative alignment of flagging in the context of an inanimate A?,1,"Regmi 2007: 156, 171",Clauses with non-animated A arguments exhibit ergative alignment.,,,1
bujh1238,Bhujel,Trans-Himalayan,GB409_20,Is there ergative alignment of flagging in main clauses?,1,Regmi 2007: 285,Main clauses exhibit ergative alignment.,,,1
bujh1238,Bhujel,Trans-Himalayan,GB409_21,Is there ergative alignment of flagging in non-main clauses?,1,"Regmi 2007: 338, 342, 344",Non-main clauses exhibit ergative alignment.,,,1
bujh1238,Bhujel,Trans-Himalayan,GB409_22,Is ergative alignment of flagging conditioned by any other factor?,1,"Regmi 2007: 163, 175, 396","Ergative alignment is conditioned by the semantic properties of the object, specifically humanity and definiteness.",,,1
bujh1238,Bhujel,Trans-Himalayan,GB409_23,Are the ergative and the genitive expressed by the same marker?,0,"Regmi 2007: 158, 166",The ergative case do not have the same mark as the genitive marker.,,,0
bujh1238,Bhujel,Trans-Himalayan,GB409_24,Are the ergative and the instrumental/comitative expressed by the same marker?,1,"Regmi 2007: 158, 161","The ergative case has the same mark as the instrumental case, but is different from the comitative case.",,,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
