Glottocode,Language,Family,Ergon_ID,Source_comment,Value,Comment,curated,curated_comment,final_value
huli1244,Huli,Trans-New Guinea,GB409_1,,,,,,
huli1244,Huli,Trans-New Guinea,GB409_2,"Lomas, 1988, p. 119",1,"la marca suele ser -me, pero en casos de realación cercana (parentesco) cambia a -handa.",,,1
huli1244,Huli,Trans-New Guinea,GB409_3,"Lomas, 1988, p. 178",1,,,,1
huli1244,Huli,Trans-New Guinea,GB409_4,"Lomas, 1988, p. 85, 188",1,"la marca suele ser -me, pero en casos de realación cercana (parentesco) cambia a -handa.",,,1
huli1244,Huli,Trans-New Guinea,GB409_5,"Lomas, 1988, p. 119, 85, 178",1,,,,1
huli1244,Huli,Trans-New Guinea,GB409_6,,?,,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
huli1244,Huli,Trans-New Guinea,GB409_7,"Lomas, 1988, p. 169",1,,,,1
huli1244,Huli,Trans-New Guinea,GB409_8,"Lomas, 1988, p. 208",1,,,,1
huli1244,Huli,Trans-New Guinea,GB409_9,"Lomas, 1988, p. 152",1,,,,1
huli1244,Huli,Trans-New Guinea,GB409_10,"Lomas, 1988, p. 119",1,,,,1
huli1244,Huli,Trans-New Guinea,GB409_11,"Lomas, 1988, p. 183",1,,,,1
huli1244,Huli,Trans-New Guinea,GB409_12,"Lomas, 1988, p. 152",1,,,,1
huli1244,Huli,Trans-New Guinea,GB409_13,,?,,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
huli1244,Huli,Trans-New Guinea,GB409_14,"Lomas, 1988, p. 119, 198",1,,,,1
huli1244,Huli,Trans-New Guinea,GB409_15,,?,,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
huli1244,Huli,Trans-New Guinea,GB409_16,"Lomas, 1988, p. 208",1,,,,1
huli1244,Huli,Trans-New Guinea,GB409_17,,?,,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
huli1244,Huli,Trans-New Guinea,GB409_18,"Lomas, 1988, p. 119",1,,,,1
huli1244,Huli,Trans-New Guinea,GB409_19,,?,,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
huli1244,Huli,Trans-New Guinea,GB409_20,"Lomas, 1988, p. 85, 188",1,,,,1
huli1244,Huli,Trans-New Guinea,GB409_21,,?,,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
huli1244,Huli,Trans-New Guinea,GB409_22,"Lomas, 1988, p. 188",1,Las marcas pueden cambiar según la relación con la persona de la que se está hablando en 3p.,,,1
huli1244,Huli,Trans-New Guinea,GB409_23,,?,,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
huli1244,Huli,Trans-New Guinea,GB409_24,"Lomas, 1988, p. 370",0,,,,0
