Glottocode,Language,Family,Ergon_ID,Feature,Value,Source,Comment,curated,curated_comment,final_value
ersu1241,Ersu,Trans-Himalayan,GB409_1,Is there an overt marker for the absolutive?,1,"Zhang 2013:232, 264","See example (4.74), (4.116)",,,1
ersu1241,Ersu,Trans-Himalayan,GB409_2,Is there ergative alignment of flagging on first person pronouns?,1,"Zhang 2013:232, 265",The ergative marker is not obligatory. See table 4.26,,,1
ersu1241,Ersu,Trans-Himalayan,GB409_3,Is there ergative alignment of flagging on second person pronouns?,1,"Zhang 2013:232, 265",The ergative marker is not obligatory. See table 4.26,,,1
ersu1241,Ersu,Trans-Himalayan,GB409_4,Is there ergative alignment of flagging on third person pronouns?,1,"Zhang 2013:232, 265",The ergative marker is not obligatory. See table 4.26,,,1
ersu1241,Ersu,Trans-Himalayan,GB409_5,Is there ergative alignment of flagging on full NPs?,1,Zhang 2013:263,See example (4.116),,,1
ersu1241,Ersu,Trans-Himalayan,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,?,Zhang 2013: ,There are no examples in the source in order to corroborate this feature.,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
ersu1241,Ersu,Trans-Himalayan,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,1,Zhang 2013:263,See example (4.116),,,1
ersu1241,Ersu,Trans-Himalayan,GB409_8,Is there ergative alignment of flagging in the past tense?,1,Zhang 2013:263,See example (4.116),,,1
ersu1241,Ersu,Trans-Himalayan,GB409_9,Is there ergative alignment of flagging in non-past tenses?,1,Zhang 2013:461,See example (8.69b),,,1
ersu1241,Ersu,Trans-Himalayan,GB409_10,Is there ergative alignment of flagging in the indicative mood?,1,Zhang 2013:263,See example (4.116),,,1
ersu1241,Ersu,Trans-Himalayan,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,?,Zhang 2013:in passim,There is no mention nor evidence of a split based on mood.,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
ersu1241,Ersu,Trans-Himalayan,GB409_12,Is there ergative alignment of flagging in the realis status?,1,Zhang 2013:263,See example (4.116),,,1
ersu1241,Ersu,Trans-Himalayan,GB409_13,Is there ergative alignment of flagging in the irrealis status?,?,Zhang 2013: ,There is no mention nor evidence of a split based on realis-irrealis status.,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
ersu1241,Ersu,Trans-Himalayan,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,1,Zhang 2013:263,See example (4.116),,,1
ersu1241,Ersu,Trans-Himalayan,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,?,Zhang 2013:in passim,There is no mention nor evidence of a split based on agentivity.,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
ersu1241,Ersu,Trans-Himalayan,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,1,Zhang 2013:267,The ergative marker is obligatory. See example (4.120) where it is marked with ergative.,,,1
ersu1241,Ersu,Trans-Himalayan,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?,?,Zhang 2013:in passim,There is no mention nor evidence of a split based on topicality.,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
ersu1241,Ersu,Trans-Himalayan,GB409_18,Is there ergative alignment of flagging in the context of an animate A?,1,Zhang 2013:263,The ergative marker is not obligatory. See example (4.116) where it is marked with ergative.,,,1
ersu1241,Ersu,Trans-Himalayan,GB409_19,Is there ergative alignment of flagging in the context of an inanimate A?,1,Zhang 2013:267,The ergative marker is obligatory. See example (4.119) where it is marked with ergative. ,,,1
ersu1241,Ersu,Trans-Himalayan,GB409_20,Is there ergative alignment of flagging in main clauses?,1,Zhang 2013:263,See example (4.116),,,1
ersu1241,Ersu,Trans-Himalayan,GB409_21,Is there ergative alignment of flagging in non-main clauses?,1,Zhang 2013:267,See example (4.120),,,1
ersu1241,Ersu,Trans-Himalayan,GB409_22,Is ergative alignment of flagging conditioned by any other factor?,?,Zhang 2013:in passim,There are no additional splits.,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
ersu1241,Ersu,Trans-Himalayan,GB409_23,Are the ergative and the genitive expressed by the same marker?,1,"Zhang 2013: 264, 277",The case markers for the ergative and genitive are different.,,,1
ersu1241,Ersu,Trans-Himalayan,GB409_24,Are the ergative and the instrumental/comitative expressed by the same marker?,?,Zhang 2013:in passim,There are no examples in the source in order to corroborate this feature.,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
