Glottocode,Language,Family,Ergon_ID,Feature,Value,Source,Comment,curated,curated_comment,final_value
dura1244,Dura,Trans-Himalayan,GB409_1,Is there an overt marker for the absolutive?,0,Schorer 2016:175,Unmarked. See Table 6.3,,,0
dura1244,Dura,Trans-Himalayan,GB409_2,Is there ergative alignment of flagging on first person pronouns?,1,Schorer 2016:179,"Ergative marking is optional in first and second person pronouns, creating an optional neutral alignment.",,,1
dura1244,Dura,Trans-Himalayan,GB409_3,Is there ergative alignment of flagging on second person pronouns?,1,Schorer 2016:179,"Ergative marking is optional in first and second person pronouns, creating an optional neutral alignment.",,,1
dura1244,Dura,Trans-Himalayan,GB409_4,Is there ergative alignment of flagging on third person pronouns?,1,Schorer 2016:179,Ergative marking is required for third person pronouns.,,,1
dura1244,Dura,Trans-Himalayan,GB409_5,Is there ergative alignment of flagging on full NPs?,1,Schorer 2016:179,"See examples (228), (229).",,,1
dura1244,Dura,Trans-Himalayan,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,0,Schorer 2016:178,,,,0
dura1244,Dura,Trans-Himalayan,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,1,Schorer 2016:178,,,,1
dura1244,Dura,Trans-Himalayan,GB409_8,Is there ergative alignment of flagging in the past tense?,1,Schorer 2016:225,See example (242).,,,1
dura1244,Dura,Trans-Himalayan,GB409_9,Is there ergative alignment of flagging in non-past tenses?,1,Schorer 2016:180,See example (215).,,,1
dura1244,Dura,Trans-Himalayan,GB409_10,Is there ergative alignment of flagging in the indicative mood?,1,Schorer 2016:179,"See examples (228), (229).",,,1
dura1244,Dura,Trans-Himalayan,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,1,Schorer 2016:225,See example (242).,,,1
dura1244,Dura,Trans-Himalayan,GB409_12,Is there ergative alignment of flagging in the realis status?,1,Schorer 2016:179,"See examples (228), (229).",,,1
dura1244,Dura,Trans-Himalayan,GB409_13,Is there ergative alignment of flagging in the irrealis status?,1,Schorer 2016:250,,,,1
dura1244,Dura,Trans-Himalayan,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,1,Schorer 2016:179,"See examples (228), (229).",,,1
dura1244,Dura,Trans-Himalayan,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,1,Schorer 2016:180,See example (329).,,,1
dura1244,Dura,Trans-Himalayan,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,?,Schorer 2016:72-73,"It is stated that there might be a split based on topicality alongside other factors, but the source does not elaborate further.",,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
dura1244,Dura,Trans-Himalayan,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?,?,Schorer 2016:72-73,"It is stated that there might be a split based on topicality alongside other factors, but the source does not elaborate further.",,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
dura1244,Dura,Trans-Himalayan,GB409_18,Is there ergative alignment of flagging in the context of an animate A?,1,Schorer 2016:179,"See examples (228), (229).",,,1
dura1244,Dura,Trans-Himalayan,GB409_19,Is there ergative alignment of flagging in the context of an inanimate A?,1,Schorer 2016:250,See example (247).,,,1
dura1244,Dura,Trans-Himalayan,GB409_20,Is there ergative alignment of flagging in main clauses?,1,Schorer 2016:179,"See examples (228), (229).",,,1
dura1244,Dura,Trans-Himalayan,GB409_21,Is there ergative alignment of flagging in non-main clauses?,?,Schorer 2016:in passim,The source does not discuss non-main clauses.,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
dura1244,Dura,Trans-Himalayan,GB409_22,Is ergative alignment of flagging conditioned by any other factor?,0,Schorer 2016:72-73,,,,0
dura1244,Dura,Trans-Himalayan,GB409_23,Are the ergative and the genitive expressed by the same marker?,0,Schorer 2016:175,See Table 6.3,,,0
dura1244,Dura,Trans-Himalayan,GB409_24,Are the ergative and the instrumental/comitative expressed by the same marker?,?,Schorer 2016:188,"The comitative marker is different from the ergative. It is stated that  instruments are also marked with the ergative, but the only available example has a inanimate cause rather than an instrument per se.",,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
