Glottocode,Language,Family,Ergon_ID,Feature,Value,Source,Comment,
diga1241,Idu Mishmi,Trans-Himalayan,GB409_1,Is there an overt marker for the absolutive?,1,Sastry 1984:83-87,"The ergative alignment will be conditioned by the agentivity of S, which is marked with -wè.",
diga1241,Idu Mishmi,Trans-Himalayan,GB409_2,Is there ergative alignment of flagging on first person pronouns?,?,Sastry 1984:93,Not enough information or examples.,
diga1241,Idu Mishmi,Trans-Himalayan,GB409_3,Is there ergative alignment of flagging on second person pronouns?,?,Sastry 1984:93,Not enough information or examples.,
diga1241,Idu Mishmi,Trans-Himalayan,GB409_4,Is there ergative alignment of flagging on third person pronouns?,?,Sastry 1984:93,Not enough information or examples.,
diga1241,Idu Mishmi,Trans-Himalayan,GB409_5,Is there ergative alignment of flagging on full NPs?,1,Sastry 1984:93,"See examples (37), (38).",
diga1241,Idu Mishmi,Trans-Himalayan,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,?,Sastry 1984:93,Not enough information or examples.,
diga1241,Idu Mishmi,Trans-Himalayan,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,?,Sastry 1984:93,Not enough information or examples.,
diga1241,Idu Mishmi,Trans-Himalayan,GB409_8,Is there ergative alignment of flagging in the past tense?,?,Sastry 1984:93,Not enough information or examples.,
diga1241,Idu Mishmi,Trans-Himalayan,GB409_9,Is there ergative alignment of flagging in non-past tenses?,?,Sastry 1984:93,Not enough information or examples.,
diga1241,Idu Mishmi,Trans-Himalayan,GB409_10,Is there ergative alignment of flagging in the indicative mood?,1,Sastry 1984:93,"See examples (37), (38).",
diga1241,Idu Mishmi,Trans-Himalayan,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,?,Sastry 1984:93,Not enough information or examples.,
diga1241,Idu Mishmi,Trans-Himalayan,GB409_12,Is there ergative alignment of flagging in the realis status?,1,Sastry 1984:93,"See examples (37), (38).",
diga1241,Idu Mishmi,Trans-Himalayan,GB409_13,Is there ergative alignment of flagging in the irrealis status?,?,Sastry 1984:93,Not enough information or examples.,
diga1241,Idu Mishmi,Trans-Himalayan,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,1,Sastry 1984:93,"See examples (37), (38).",
diga1241,Idu Mishmi,Trans-Himalayan,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,?,Sastry 1984:93,Not enough information or examples.,
diga1241,Idu Mishmi,Trans-Himalayan,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,?,Sastry 1984:93,Not enough information or examples.,
diga1241,Idu Mishmi,Trans-Himalayan,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?,1,Sastry 1984:93,"See examples (37), (38).",
diga1241,Idu Mishmi,Trans-Himalayan,GB409_18,Is there ergative alignment of flagging in the context of an animate A?,1,Sastry 1984:93,"See examples (37), (38).",
diga1241,Idu Mishmi,Trans-Himalayan,GB409_19,Is there ergative alignment of flagging in the context of an inanimate A?,?,Sastry 1984:93,Not enough information or examples.,
diga1241,Idu Mishmi,Trans-Himalayan,GB409_20,Is there ergative alignment of flagging in main clauses?,1,Sastry 1984:93,"See examples (37), (38).",
diga1241,Idu Mishmi,Trans-Himalayan,GB409_21,Is there ergative alignment of flagging in non-main clauses?,?,Sastry 1984:93,Not enough information or examples.,
diga1241,Idu Mishmi,Trans-Himalayan,GB409_22,Is ergative alignment of flagging conditioned by any other factor?,1,Sastry 1984:93,Case marking may or may not be ergative-absolutive depending on the agentivity of S or the topicality of A.,
diga1241,Idu Mishmi,Trans-Himalayan,GB409_23,Are the ergative and the genitive expressed by the same marker?,0,Sastry 1984:93; 171,,
diga1241,Idu Mishmi,Trans-Himalayan,GB409_24,Are the ergative and the instrumental/comitative expressed by the same marker?,0,Sastry 1984:92-93,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
