Glottocode,Language,Family,Ergon_ID,Feature,Value,Source,Comment,curated,curated_comment,final_value
moro1289,Marori,Trans-New Guinea,GB409_1,Is there an overt marker for the absolutive?,1,Arka 2012:153,The absolutive mark is =i,verified,"changed to 0.. An overt clitic =i exists, but it marks the UNDERGOER macrorole (P and patientive S), not a canonical absolutive: agentive S is zero-marked (ex.3b). In a split-intransitive system this is an undergoer/objective marker, so the 'absolutive' label is approximate. If Ergon reserves 'absolutive' for ergative-absolutive systems, reconsider as 0/N-A. Arka 2012:153.",0
moro1289,Marori,Trans-New Guinea,GB409_2,Is there ergative alignment of flagging on first person pronouns?,0,Arka 2012:153,"Found in examples 3(a), 5(b), 6(c).",verified,"CORRECTED 1->0. Marori has NO ergative flagging. =i marks the UNDERGOER macrorole only (Patient/Object and patientive S); A and agentive S are zero-marked (Arka 2012:153: ex.1b Nawa[A, bare] payung=i[P]; ex.3a Na=i 'I suffered cold' [patientive S] vs ex.3b Efi '(*=i)' ran [agentive S, bare]). Because S is split (Sp patterns with P, Sa with A), the alignment is split-intransitive/active, not ergative. A is never flagged. The 1st-person token na=i flags an undergoer, not an ergative A. Coding 0.",0
moro1289,Marori,Trans-New Guinea,GB409_3,Is there ergative alignment of flagging on second person pronouns?,0,Arka 2012:in passim,,verified,"CORRECTED 1->0. Same basis as GB409_2. =i flags undergoers (P and patientive S), never A or agentive S; S is split, so the system is active/split-intransitive, not ergative. No ergative flag exists on any 2nd-person form. Coding 0.",0
moro1289,Marori,Trans-New Guinea,GB409_4,Is there ergative alignment of flagging on third person pronouns?,0,Arka 2012:in passim,,verified,"CORRECTED 1->0. Same basis. 3rd-person U arguments (Albert=i, Robertus=i, Maria=i) carry the undergoer clitic =i, while 3rd-person A (Efi purfam 'that person', ex.5b) is zero-marked. =i is an undergoer marker, not an ergative flag; with split S the alignment is active, not ergative. Coding 0.",0
moro1289,Marori,Trans-New Guinea,GB409_5,Is there ergative alignment of flagging on full NPs?,0,Arka 2012:154,"Found in examples 1(a), 5(a), 6.",verified,"CORRECTED 1->0. Full-NP A is zero-marked (ex.5b Efi purfam [A], bare); full-NP P/recipient takes =i (Albert=i, Robertus=i, Maria=i). The curator's cited ex.1a (Ka ku=ndo, intransitive) actually shows a bare agentive S. With split S (Sp=i, Sa bare) the system is split-intransitive/active, not ergative. No ergative flagging on full NPs. Coding 0.",0
moro1289,Marori,Trans-New Guinea,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,0,Arka 2012:in passim,,verified,"Set to 0 (Marori is non-ergative). The clitic =i marks the UNDERGOER macrorole (Patient/Object and patientive S) in a split-intransitive/active system; A and agentive S are always zero-marked, so there is no ergative flagging anywhere. Ergative alignment is absent from the language and therefore absent in the imperfective aspect. See GB409_2-5; Arka 2012:153-154.",0
moro1289,Marori,Trans-New Guinea,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,0,Arka 2012:in passim,,verified,"Set to 0 (Marori is non-ergative). The clitic =i marks the UNDERGOER macrorole (Patient/Object and patientive S) in a split-intransitive/active system; A and agentive S are always zero-marked, so there is no ergative flagging anywhere. Ergative alignment is absent from the language and therefore absent in the perfective aspect. See GB409_2-5; Arka 2012:153-154.",0
moro1289,Marori,Trans-New Guinea,GB409_8,Is there ergative alignment of flagging in the past tense?,0,Arka 2012:154,"Found in examples 1, 3, 5 and others.",verified,"Set to 0 (Marori is non-ergative). The clitic =i marks the UNDERGOER macrorole (Patient/Object and patientive S) in a split-intransitive/active system; A and agentive S are always zero-marked, so there is no ergative flagging anywhere. Ergative alignment is absent from the language and therefore absent in the past tense. See GB409_2-5; Arka 2012:153-154.",0
moro1289,Marori,Trans-New Guinea,GB409_9,Is there ergative alignment of flagging in non-past tenses?,0,Arka 2012:in passim,,verified,"Set to 0 (Marori is non-ergative). The clitic =i marks the UNDERGOER macrorole (Patient/Object and patientive S) in a split-intransitive/active system; A and agentive S are always zero-marked, so there is no ergative flagging anywhere. Ergative alignment is absent from the language and therefore absent in non-past tenses. See GB409_2-5; Arka 2012:153-154.",0
moro1289,Marori,Trans-New Guinea,GB409_10,Is there ergative alignment of flagging in the indicative mood?,0,Arka 2012:in passim,,verified,"Set to 0 (Marori is non-ergative). The clitic =i marks the UNDERGOER macrorole (Patient/Object and patientive S) in a split-intransitive/active system; A and agentive S are always zero-marked, so there is no ergative flagging anywhere. Ergative alignment is absent from the language and therefore absent in the indicative mood. See GB409_2-5; Arka 2012:153-154.",0
moro1289,Marori,Trans-New Guinea,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,0,Arka 2012:in passim,,verified,"Set to 0 (Marori is non-ergative). The clitic =i marks the UNDERGOER macrorole (Patient/Object and patientive S) in a split-intransitive/active system; A and agentive S are always zero-marked, so there is no ergative flagging anywhere. Ergative alignment is absent from the language and therefore absent in non-indicative moods. See GB409_2-5; Arka 2012:153-154.",0
moro1289,Marori,Trans-New Guinea,GB409_12,Is there ergative alignment of flagging in the realis status?,0,Arka 2012:in passim,,verified,"Set to 0 (Marori is non-ergative). The clitic =i marks the UNDERGOER macrorole (Patient/Object and patientive S) in a split-intransitive/active system; A and agentive S are always zero-marked, so there is no ergative flagging anywhere. Ergative alignment is absent from the language and therefore absent in the realis status. See GB409_2-5; Arka 2012:153-154.",0
moro1289,Marori,Trans-New Guinea,GB409_13,Is there ergative alignment of flagging in the irrealis status?,0,Arka 2012:in passim,,verified,"Set to 0 (Marori is non-ergative). The clitic =i marks the UNDERGOER macrorole (Patient/Object and patientive S) in a split-intransitive/active system; A and agentive S are always zero-marked, so there is no ergative flagging anywhere. Ergative alignment is absent from the language and therefore absent in the irrealis status. See GB409_2-5; Arka 2012:153-154.",0
moro1289,Marori,Trans-New Guinea,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,0,Arka 2012:in passim,,verified,"Set to 0 (Marori is non-ergative). The clitic =i marks the UNDERGOER macrorole (Patient/Object and patientive S) in a split-intransitive/active system; A and agentive S are always zero-marked, so there is no ergative flagging anywhere. Ergative alignment is absent from the language and therefore absent in the context of an agentive A. See GB409_2-5; Arka 2012:153-154.",0
moro1289,Marori,Trans-New Guinea,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,0,Arka 2012:in passim,,verified,"Set to 0 (Marori is non-ergative). The clitic =i marks the UNDERGOER macrorole (Patient/Object and patientive S) in a split-intransitive/active system; A and agentive S are always zero-marked, so there is no ergative flagging anywhere. Ergative alignment is absent from the language and therefore absent in the context of a non-agentive A. See GB409_2-5; Arka 2012:153-154.",0
