Glottocode,Language,Family,Ergon_ID,language ID,Feature,Value,Source,Comment,,,,
caca1251,Kakataibo,Panoan,GB409_1,caca1251,Is there an overt marker for the absolutive?,0,"Zariquiey 2018: §6.7.1.3, p. 252; §15.2, p. 571",The absolutive is the unmarked case in Kakataibo. Both full NPs and pronouns in P function bear no case marker.,,,,
caca1251,Kakataibo,Panoan,GB409_2,caca1251,Is there ergative alignment of flagging on first person pronouns?,0,"Zariquiey 2018: §5.1.1.1, p. 175; §1.3.6, p. 44","Pronouns follow tripartite alignment: A==(a)n, S==x, P=∅. This is NOT ergative alignment (S and P are not treated alike).",,,,
caca1251,Kakataibo,Panoan,GB409_3,caca1251,Is there ergative alignment of flagging on second person pronouns?,0,"Zariquiey 2018: §5.1.1.1, p. 175; §1.3.6, p. 44",Same as 1st person: tripartite alignment on pronouns. S and P are not treated alike.,,,,
caca1251,Kakataibo,Panoan,GB409_4,caca1251,Is there ergative alignment of flagging on third person pronouns?,0,"Zariquiey 2018: §5.1.1.1, p. 175; §1.3.6, p. 44; ex. (4), p. 44",Same as 1st and 2nd person: tripartite alignment on pronouns.,,,,
caca1251,Kakataibo,Panoan,GB409_5,caca1251,Is there ergative alignment of flagging on full NPs?,1,"Zariquiey 2018: §6.7.1.1, p. 250; §1.3.6, p. 44; ex. (5), p. 44; Table 26, p. 116","Full NPs follow ergative alignment: A marked with =(a)n / =nën (ERG), S and P unmarked (ABS).",,,,
caca1251,Kakataibo,Panoan,GB409_6,caca1251,Is there ergative alignment of flagging in the imperfective aspect?,1,"Zariquiey 2018: §6.7.1.1, p. 250; §15.2, p. 571",No aspect-based split is documented. Ergative alignment on full NPs applies regardless of aspect.,,,,
caca1251,Kakataibo,Panoan,GB409_7,caca1251,Is there ergative alignment of flagging in the perfective aspect?,1,"Zariquiey 2018: §6.7.1.1, p. 250; §15.2, p. 571",No aspect-based split is documented. Ergative alignment on full NPs applies regardless of aspect.,,,,
caca1251,Kakataibo,Panoan,GB409_8,caca1251,Is there ergative alignment of flagging in the past tense?,1,"Zariquiey 2018: §6.7.1.1, p. 250; §15.2, p. 571",No tense-based split is documented. Ergative alignment on full NPs applies regardless of tense.,,,,
caca1251,Kakataibo,Panoan,GB409_9,caca1251,Is there ergative alignment of flagging in non-past tenses?,1,"Zariquiey 2018: §6.7.1.1, p. 250; §15.2, p. 571",No tense-based split is documented. Ergative alignment on full NPs applies regardless of tense.,,,,
caca1251,Kakataibo,Panoan,GB409_10,caca1251,Is there ergative alignment of flagging in the indicative mood?,1,"Zariquiey 2018: §6.7.1.1, p. 250; §15.2, p. 571",No mood-based split is documented. Ergative alignment on full NPs applies regardless of mood.,,,,
caca1251,Kakataibo,Panoan,GB409_11,caca1251,Is there ergative alignment of flagging in non-indicative moods?,1,"Zariquiey 2018: §6.7.1.1, p. 250; §15.2, p. 571",No mood-based split is documented. Ergative alignment on full NPs applies regardless of mood.,,,,
caca1251,Kakataibo,Panoan,GB409_12,caca1251,Is there ergative alignment of flagging in the realis status?,1,"Zariquiey 2018: §6.7.1.1, p. 250; §15.2, p. 571",No realis/irrealis split is documented for case marking. Ergative alignment on full NPs applies in realis contexts.,,,,
caca1251,Kakataibo,Panoan,GB409_13,caca1251,Is there ergative alignment of flagging in the irrealis status?,1,"Zariquiey 2018: §6.7.1.1, p. 250; §15.2, p. 571",No realis/irrealis split is documented for case marking. Ergative alignment on full NPs applies in irrealis contexts.,,,,
caca1251,Kakataibo,Panoan,GB409_14,caca1251,Is there ergative alignment of flagging in the context of an agentive A?,1,"Zariquiey 2018: §6.7.1.1, p. 250; §15.2, p. 571",No agentivity-based split is documented. Ergative alignment on full NPs applies with agentive A.,,,,
caca1251,Kakataibo,Panoan,GB409_15,caca1251,Is there ergative alignment of flagging in the context of a non-agentive A?,1,"Zariquiey 2018: §6.7.1.1, p. 250; §15.2, p. 571",No agentivity-based split is documented. Ergative alignment on full NPs applies with non-agentive A.,,,,
caca1251,Kakataibo,Panoan,GB409_16,caca1251,Is there ergative alignment of flagging in the context of a topical A?,1,"Zariquiey 2018: §6.7.1.1, p. 250; §16.5","No topicality-based split in basic case marking. Note: §16.5 documents discourse-level variation where NPs may follow tripartite alignment, but the default is ergative.",,,,
caca1251,Kakataibo,Panoan,GB409_17,caca1251,Is there ergative alignment of flagging in the context of a non-topical A?,1,"Zariquiey 2018: §6.7.1.1, p. 250; §16.5",No topicality-based split in basic case marking. Ergative alignment on full NPs applies with non-topical A.,,,,
caca1251,Kakataibo,Panoan,GB409_18,caca1251,Is there ergative alignment of flagging in the context of an animate A?,1,"Zariquiey 2018: §6.7.1.1, p. 250; §15.2, p. 571",No animacy-based split is documented. Ergative alignment on full NPs applies with animate A.,,,,
caca1251,Kakataibo,Panoan,GB409_19,caca1251,Is there ergative alignment of flagging in the context of an inanimate A?,1,"Zariquiey 2018: §6.7.1.1, p. 250; §15.2, p. 571",No animacy-based split is documented. Ergative alignment on full NPs applies with inanimate A.,,,,
caca1251,Kakataibo,Panoan,GB409_20,caca1251,Is there ergative alignment of flagging in main clauses?,1,"Zariquiey 2018: §6.7.1.1, p. 250; §15.2, p. 571",Ergative alignment on full NPs is documented in main clauses.,,,,
caca1251,Kakataibo,Panoan,GB409_21,caca1251,Is there ergative alignment of flagging in non-main clauses?,1,"Zariquiey 2018: §6.7.1.1, p. 250; §15.2, p. 571; §14 (nominalization)",Ergative alignment on full NPs also applies in dependent/nominalized clauses.,,,,
caca1251,Kakataibo,Panoan,GB409_22,caca1251,Is ergative alignment of flagging conditioned by any other factor?,1,"Zariquiey 2018: §1.3.6, p. 44; §5.1.1.1, p. 175; §16.5",§16.5 documents discourse-level variation where NPs may follow tripartite alignment if referring to previously introduced topics.,,,,
caca1251,Kakataibo,Panoan,GB409_23,caca1251,Are the ergative and the genitive expressed by the same marker?,1,"Zariquiey 2018: Table 26, p. 116; §6.7.1.1, p. 250","Yes. The marker =(a)n expresses ergative, genitive, instrumental, and temporal locative functions (multifunctional marker).",,,,
caca1251,Kakataibo,Panoan,GB409_24,caca1251,Are the ergative and the instrumental/comitative expressed by the same marker?,1,"Zariquiey 2018: Table 26, p. 116; §6.7.1.1, p. 250; §6.7.1.4",Yes for instrumental: =(a)n marks both ergative and instrumental. No for comitative: comitative has distinct markers -bë(ton) and -këñun.,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
