Glottocode,Language,Family,Ergon_ID,Feature,Source_comment,Value,Comment,curated,curated_comment,final_value
haka1240,Haka Chin,Trans-Himalayan,GB409_1,Is there an overt marker for the absolutive?,"Peterson, 2017, p. 261",0,,,,0
haka1240,Haka Chin,Trans-Himalayan,GB409_2,Is there ergative alignment of flagging on first person pronouns?,"Peterson, 2017, p. 272",1,,,,1
haka1240,Haka Chin,Trans-Himalayan,GB409_3,Is there ergative alignment of flagging on second person pronouns?,,?,,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
haka1240,Haka Chin,Trans-Himalayan,GB409_4,Is there ergative alignment of flagging on third person pronouns?,"Peterson, 2017, p. 262",1,,,,1
haka1240,Haka Chin,Trans-Himalayan,GB409_5,Is there ergative alignment of flagging on full NPs?,"Peterson, 2017, p. 262",1,,,,1
haka1240,Haka Chin,Trans-Himalayan,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,,?,,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
haka1240,Haka Chin,Trans-Himalayan,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,"Peterson, 2017, p. 262",1,,,,1
haka1240,Haka Chin,Trans-Himalayan,GB409_8,Is there ergative alignment of flagging in the past tense?,"Peterson, 2017, p. 262",1,,,,1
haka1240,Haka Chin,Trans-Himalayan,GB409_9,Is there ergative alignment of flagging in non-past tenses?,,?,,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
haka1240,Haka Chin,Trans-Himalayan,GB409_10,Is there ergative alignment of flagging in the indicative mood?,"Peterson, 2017, p. 262",1,,,,1
haka1240,Haka Chin,Trans-Himalayan,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,,?,,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
haka1240,Haka Chin,Trans-Himalayan,GB409_12,Is there ergative alignment of flagging in the realis status?,"Peterson, 2017, p. 262",1,,,,1
haka1240,Haka Chin,Trans-Himalayan,GB409_13,Is there ergative alignment of flagging in the irrealis status?,,?,,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
haka1240,Haka Chin,Trans-Himalayan,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,"Peterson, 2017, p. 262",1,,,,1
haka1240,Haka Chin,Trans-Himalayan,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,,?,,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
haka1240,Haka Chin,Trans-Himalayan,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,"Peterson, 2017, p. 262",1,,,,1
haka1240,Haka Chin,Trans-Himalayan,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?,,?,,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
haka1240,Haka Chin,Trans-Himalayan,GB409_18,Is there ergative alignment of flagging in the context of an animate A?,"Peterson, 2017, p. 262",1,,,,1
haka1240,Haka Chin,Trans-Himalayan,GB409_19,Is there ergative alignment of flagging in the context of an inanimate A?,,?,,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
haka1240,Haka Chin,Trans-Himalayan,GB409_20,Is there ergative alignment of flagging in main clauses?,"Peterson, 2017, p. 262",1,,,,1
haka1240,Haka Chin,Trans-Himalayan,GB409_21,Is there ergative alignment of flagging in non-main clauses?,,?,,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
haka1240,Haka Chin,Trans-Himalayan,GB409_22,Is ergative alignment of flagging conditioned by any other factor?,,?,,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
haka1240,Haka Chin,Trans-Himalayan,GB409_23,Are the ergative and the genitive expressed by the same marker?,,?,,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
haka1240,Haka Chin,Trans-Himalayan,GB409_24,Are the ergative and the instrumental/comitative expressed by the same marker?,"Peterson, 2017, p. 261",1,,,,1
