Glottocode,Language,Family,Ergon_ID,Feature,Value,Source,Comment,curated,curated_comment,final_value
athp1241,Athpare,Trans-Himalayan,GB409_1,Is there an overt marker for the absolutive?,0,Ebert 1997: 120,There is no explicit marker for the absolutive case.,,,0
athp1241,Athpare,Trans-Himalayan,GB409_2,Is there ergative alignment of flagging on first person pronouns?,0,"Ebert 1997: 114, 120","There is a person-based ergativity split. First-person pronouns (singular, dual, and plural, both inclusive and exclusive) are never combined with the oblique/ergative case marker (-ŋa).",,,0
athp1241,Athpare,Trans-Himalayan,GB409_3,Is there ergative alignment of flagging on second person pronouns?,1,Ebert 1997: 120-121,Second-person pronouns show ergative alignment.,,,1
athp1241,Athpare,Trans-Himalayan,GB409_4,Is there ergative alignment of flagging on third person pronouns?,1,Ebert 1997: 120-121,Third-person pronouns show ergative alignment.,,,1
athp1241,Athpare,Trans-Himalayan,GB409_5,Is there ergative alignment of flagging on full NPs?,1,"Ebert 1997: 117, 120",Full NP's exhibit ergative alignment.,,,1
athp1241,Athpare,Trans-Himalayan,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,1,"Ebert 1997: 46, 50, 122",Ergative alignment is present in the imperfective aspect.,,,1
athp1241,Athpare,Trans-Himalayan,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,1,"Ebert 1997: 53, 120",Ergative alignment occurs in the perfective aspect. ,,,1
athp1241,Athpare,Trans-Himalayan,GB409_8,Is there ergative alignment of flagging in the past tense?,1,Ebert 1997: 120,Ergative alignment occurs in past tense clauses.,,,1
athp1241,Athpare,Trans-Himalayan,GB409_9,Is there ergative alignment of flagging in non-past tenses?,1,"Ebert 1997: 46, 50, 122",Ergative alignment apply in non-past times.,,,1
athp1241,Athpare,Trans-Himalayan,GB409_10,Is there ergative alignment of flagging in the indicative mood?,1,"Ebert 1997: 120, 123",Ergative alignment occur in sentences in the indicative mood.,,,1
athp1241,Athpare,Trans-Himalayan,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,1,"Ebert 1997: 117, 121, 131",Ergative alignment occurs in non-indicative moods.,,,1
athp1241,Athpare,Trans-Himalayan,GB409_12,Is there ergative alignment of flagging in the realis status?,1,"Ebert 1997: 53, 120",Ergative alignment occurs in clauses with real status.,,,1
athp1241,Athpare,Trans-Himalayan,GB409_13,Is there ergative alignment of flagging in the irrealis status?,1,"Ebert 1997: 107, 122-123",Ergative alignment occurs in clauses with irrealis status.,,,1
