Glottocode,Language,Family,Ergon_ID,Feature,Value,Source,Comment,curated,curated_comment,final_value
bina1277,Binahari,Trans-New Guinea,GB409_1,Is there an overt marker for the absolutive?,0,"Wilson 2002: 11, 13, 44",There is not an explicit marker for the absolutive case.,,,0
bina1277,Binahari,Trans-New Guinea,GB409_2,Is there ergative alignment of flagging on first person pronouns?,1,"Wilson 2002: 13, 30",First-person pronouns follow an ergative alignment pattern.,,,1
bina1277,Binahari,Trans-New Guinea,GB409_3,Is there ergative alignment of flagging on second person pronouns?,1,"Wilson 2002: 13, 16, 38",Second-person pronouns follow an ergative alignment pattern.,,,1
bina1277,Binahari,Trans-New Guinea,GB409_4,Is there ergative alignment of flagging on third person pronouns?,1,"Wilson 2002: 12, 39, 46",Third-person pronouns follow an ergative alignment pattern.,,,1
bina1277,Binahari,Trans-New Guinea,GB409_5,Is there ergative alignment of flagging on full NPs?,1,"Wilson 2002: 27, 36, 44",Full NP's exhibit ergative alignment.,,,1
bina1277,Binahari,Trans-New Guinea,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,1,"Wilson 2002: 23, 27",Clauses with imperfective aspect exhibit ergative alignment.,,,1
bina1277,Binahari,Trans-New Guinea,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,1,"Wilson 2002: 23, 44",Clauses with perfective aspect exhibit ergative alignment.,,,1
bina1277,Binahari,Trans-New Guinea,GB409_8,Is there ergative alignment of flagging in the past tense?,1,"Wilson 2002: 12, 23, 44",Past-tense clauses exhibit ergative alignment.,,,1
bina1277,Binahari,Trans-New Guinea,GB409_9,Is there ergative alignment of flagging in non-past tenses?,1,"Wilson 2002: 13, 27",Clauses in non-past tense exhibit ergative alignment.,,,1
bina1277,Binahari,Trans-New Guinea,GB409_10,Is there ergative alignment of flagging in the indicative mood?,1,"Wilson 2002: 23, 27",Clauses in indicative mode show an ergative alignment.,,,1
bina1277,Binahari,Trans-New Guinea,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,0,Wilson 2002: 32,Clauses in non-indicative mode do not show an ergative alignment.,,,0
bina1277,Binahari,Trans-New Guinea,GB409_12,Is there ergative alignment of flagging in the realis status?,1,"Wilson 2002: 14, 27, 44",Clauses with realis status show ergative alignment.,,,1
bina1277,Binahari,Trans-New Guinea,GB409_13,Is there ergative alignment of flagging in the irrealis status?,1,"Wilson 2002: 13, 38",Clauses with irrealis status show ergative alignment.,,,1
bina1277,Binahari,Trans-New Guinea,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,1,"Wilson 2002: 12, 37, 44","In the context of an agentive A argument, ergative alignment is observed.",,,1
bina1277,Binahari,Trans-New Guinea,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,0,"Wilson 2002: 10, 15, 23","In the context of a non-agentive argument A, ergative alignment is not observed.",,,0
bina1277,Binahari,Trans-New Guinea,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,0,"Wilson 2002: 13, 24, 44","In the context of a topical A, ergative alignment is not shown.",,,0
bina1277,Binahari,Trans-New Guinea,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?,1,"Wilson 2002: 12-13, 23","In the context of a topical A, ergative alignment is shown.",,,1
bina1277,Binahari,Trans-New Guinea,GB409_18,Is there ergative alignment of flagging in the context of an animate A?,1,"Wilson 2002: 23, 27, 44",Clauses with animated A arguments exhibit ergative alignment.,,,1
bina1277,Binahari,Trans-New Guinea,GB409_19,Is there ergative alignment of flagging in the context of an inanimate A?,0,Wilson 2002: 23,Clauses with non-animated A arguments do not exhibit ergative alignment.,,,0
bina1277,Binahari,Trans-New Guinea,GB409_20,Is there ergative alignment of flagging in main clauses?,1,"Wilson 2002: 23, 27, 44",Main clauses exhibit ergative alignment.,,,1
bina1277,Binahari,Trans-New Guinea,GB409_21,Is there ergative alignment of flagging in non-main clauses?,1,"Wilson 2002: 12, 46",Non-main clauses exhibit ergative alignment.,,,1
bina1277,Binahari,Trans-New Guinea,GB409_22,Is ergative alignment of flagging conditioned by any other factor?,0,Wilson 2002: in passim,Ergative alignment is not conditioned by any other factor.,,,0
bina1277,Binahari,Trans-New Guinea,GB409_23,Are the ergative and the genitive expressed by the same marker?,0,"Wilson 2002: 10, 12, 44",The ergative case has the same mark as the genitive marker.,,,0
bina1277,Binahari,Trans-New Guinea,GB409_24,Are the ergative and the instrumental/comitative expressed by the same marker?,1,"Wilson 2002: 11, 23, 46","The ergative case has the same mark as the instrumental case, but is different from the comitative case.",,,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
