Glottocode,Language,Family,Ergon_ID,Feature,Value,Source_comment,Comment,curated,curated_comment,final_value
bara1357,Baram Thangmi,Trans-Himalayan,GB409_1,Is there an overt marker for the absolutive?,0,Dhakal 2014: 54,There is no explicit marker for the absolutive case.,,"Baram Thangmi (bara1357, Trans-Himalayan, Nepal) shows ergative alignment documented in Dhakal (2014). The ergative marker is -e/-i, which is syncretic with the instrumental marker (GB409_24=1), while comitative uses -səŋ. All 24 features verified against Dhakal (2014). GB409_22=1 confirmed: a NOM-ACC pattern can emerge with highly affected/definite objects (p.54), constituting additional conditioning. GB409_15 citation in original xlsx (pp.63-64) covers clause syntax rather than agentivity, but the value 1 is retained as no agentivity split is documented. Glottocode bara1357 is correct; the previously proposed than1259 (Thangmi) corresponds to a different Thangmi variety (Dolakha/Sindhupalchok), not Baram Thangmi.",0
bara1357,Baram Thangmi,Trans-Himalayan,GB409_2,Is there ergative alignment of flagging on first person pronouns?,1,"Dhakal 2014: 54-55, 62",First-person pronouns show ergative alignment.,,,1
bara1357,Baram Thangmi,Trans-Himalayan,GB409_3,Is there ergative alignment of flagging on second person pronouns?,1,"Dhakal 2014: 53, 55",Second-person pronouns show ergative alignment.,,,1
bara1357,Baram Thangmi,Trans-Himalayan,GB409_4,Is there ergative alignment of flagging on third person pronouns?,1,Dhakal 2014: 55,Third-person pronouns show ergative alignment.,,,1
bara1357,Baram Thangmi,Trans-Himalayan,GB409_5,Is there ergative alignment of flagging on full NPs?,1,Dhakal 2014: 54,Full NPs exhibit ergative-absolutive alignment.,,,1
bara1357,Baram Thangmi,Trans-Himalayan,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,1,Dhakal 2014: 58,Clauses with imperfective aspect exhibit ergative alignment.,,,1
bara1357,Baram Thangmi,Trans-Himalayan,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,1,"Dhakal 2014: 54, 62",Clauses with perfective aspect exhibit ergative alignment.,,,1
bara1357,Baram Thangmi,Trans-Himalayan,GB409_8,Is there ergative alignment of flagging in the past tense?,1,"Dhakal 2014: 54, 62",Past-tense clauses exhibit ergative alignment.,,,1
bara1357,Baram Thangmi,Trans-Himalayan,GB409_9,Is there ergative alignment of flagging in non-past tenses?,1,Dhakal 2014: 59,Clauses in non-past tense exhibit ergative alignment.,,,1
bara1357,Baram Thangmi,Trans-Himalayan,GB409_10,Is there ergative alignment of flagging in the indicative mood?,1,"Dhakal 2014: 54, 59",Clauses in indicative mood show ergative alignment.,,,1
bara1357,Baram Thangmi,Trans-Himalayan,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,1,"Dhakal 2014: 55, 64",Clauses in non-indicative mood show ergative alignment.,,,1
bara1357,Baram Thangmi,Trans-Himalayan,GB409_12,Is there ergative alignment of flagging in the realis status?,1,"Dhakal 2014: 54, 59, 62",Clauses with realis status show ergative alignment.,,,1
bara1357,Baram Thangmi,Trans-Himalayan,GB409_13,Is there ergative alignment of flagging in the irrealis status?,1,"Dhakal 2014: 59-60, 64",Clauses with irrealis status show ergative alignment.,,,1
bara1357,Baram Thangmi,Trans-Himalayan,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,1,"Dhakal 2014: 54, 62","In the context of an agentive A argument, ergative alignment is observed.",,,1
bara1357,Baram Thangmi,Trans-Himalayan,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,1,Dhakal 2014: 63-64,Ergative alignment is observed for non-agentive A. Note: original citation (pp.63-64) covers clause syntax rather than agentivity per se; the value 1 is supported by the absence of any documented agentivity split in Dhakal (2014) and the consistent ergative marking across all documented clause types.,,,1
bara1357,Baram Thangmi,Trans-Himalayan,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,1,Dhakal 2014: 54-55,"In the context of a topical A, ergative alignment is shown.",,,1
bara1357,Baram Thangmi,Trans-Himalayan,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?,1,"Dhakal 2014: 55, 58","In the context of a non-topical A, ergative alignment is shown.",,,1
bara1357,Baram Thangmi,Trans-Himalayan,GB409_18,Is there ergative alignment of flagging in the context of an animate A?,1,"Dhakal 2014: 54, 58, 62",Clauses with animate A arguments exhibit ergative alignment.,,,1
bara1357,Baram Thangmi,Trans-Himalayan,GB409_19,Is there ergative alignment of flagging in the context of an inanimate A?,1,Dhakal 2014: 55,Clauses with inanimate A arguments exhibit ergative alignment.,,,1
bara1357,Baram Thangmi,Trans-Himalayan,GB409_20,Is there ergative alignment of flagging in main clauses?,1,"Dhakal 2014: 54, 59",Main clauses exhibit ergative alignment.,,,1
bara1357,Baram Thangmi,Trans-Himalayan,GB409_21,Is there ergative alignment of flagging in non-main clauses?,1,Dhakal 2014: 64,Non-main clauses exhibit ergative alignment.,,,1
bara1357,Baram Thangmi,Trans-Himalayan,GB409_22,Is ergative alignment of flagging conditioned by any other factor?,1,Dhakal 2014: 54,"Ergative marking is conditioned by differential object marking: when the object is highly affected/definite, the NOM-ACC pattern can emerge; the ergative marker is -e/-i (also used as instrumental). This split is based on transitivity scale / object properties.",,,1
bara1357,Baram Thangmi,Trans-Himalayan,GB409_23,Are the ergative and the genitive expressed by the same marker?,0,Dhakal 2014: 54-55,The ergative case does not have the same marker as the genitive case.,,,0
bara1357,Baram Thangmi,Trans-Himalayan,GB409_24,Are the ergative and the instrumental/comitative expressed by the same marker?,1,Dhakal 2014: 54,The ergative marker -e/-i is also the instrumental marker. Comitative uses a different marker (-səŋ). ERG=INST confirmed.,,,1
