Glottocode,Language,Family,Ergon_ID,Feature,Value,Source,Comment,curated,curated_comment,final_value
amdo1237,Amdo Tibetan,Trans-Himalayan,GB409_1,Is there an overt marker for the absolutive?,0,"Haller 2004: 62, 74, 81",There is no explicit marker for the absolutive case.,,,0
amdo1237,Amdo Tibetan,Trans-Himalayan,GB409_2,Is there ergative alignment of flagging on first person pronouns?,1,Haller 2004: 62,First-person pronouns show ergative alignment.,,,1
amdo1237,Amdo Tibetan,Trans-Himalayan,GB409_3,Is there ergative alignment of flagging on second person pronouns?,1,Haller 2004: 62,Second-person pronouns show ergative alignment.,,,1
amdo1237,Amdo Tibetan,Trans-Himalayan,GB409_4,Is there ergative alignment of flagging on third person pronouns?,1,Haller 2004: 62,Third-person pronouns show ergative alignment.,,,1
amdo1237,Amdo Tibetan,Trans-Himalayan,GB409_5,Is there ergative alignment of flagging on full NPs?,1,"Haller 2004: 62, 81",Full NP's exhibit ergative alignment.,,,1
amdo1237,Amdo Tibetan,Trans-Himalayan,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,1,"Haller 2004: 76, 81, 137",Ergative alignment is present in the imperfective aspect.,,,1
amdo1237,Amdo Tibetan,Trans-Himalayan,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,1,"Haller 2004: 74, 82, 141",Ergative alignment occurs in the perfective aspect. The ergative marking system is independent of the verbal aspect.,,,1
amdo1237,Amdo Tibetan,Trans-Himalayan,GB409_8,Is there ergative alignment of flagging in the past tense?,1,"Haller 2004: 74, 82, 141",Ergative alignment occurs in past tense clauses.,,,1
amdo1237,Amdo Tibetan,Trans-Himalayan,GB409_9,Is there ergative alignment of flagging in non-past tenses?,1,"Haller 2004: 76, 81, 137",Ergative alignment is applied in non-past times.,,,1
amdo1237,Amdo Tibetan,Trans-Himalayan,GB409_10,Is there ergative alignment of flagging in the indicative mood?,1,"Haller 2004: 74, 81",Ergative alignment occurs in sentences in the indicative mood.,,,1
amdo1237,Amdo Tibetan,Trans-Himalayan,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,1,"Haller 2004: 70, 148, 150",Ergative alignment occurs in non-indicative moods.,,,1
amdo1237,Amdo Tibetan,Trans-Himalayan,GB409_12,Is there ergative alignment of flagging in the realis status?,1,"Haller 2004: 74, 76, 81-82",Ergative alignment occurs in clauses with real status.,,,1
amdo1237,Amdo Tibetan,Trans-Himalayan,GB409_13,Is there ergative alignment of flagging in the irrealis status?,1,"Haller 2004: 145, 147-148, 161",Ergative alignment occurs in clauses with irrealis status.,,,1
amdo1237,Amdo Tibetan,Trans-Himalayan,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,1,"Haller 2004: 74-75, 135",Ergative alignment exists in the context of an agentive A argument.,,,1
amdo1237,Amdo Tibetan,Trans-Himalayan,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,1,"Haller 2004: 111, 128","Ergative alignment is present in the context of a non-agentive A, specifically with transitive verb experiencers.",,,1
amdo1237,Amdo Tibetan,Trans-Himalayan,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,1,Haller 2004: 81,Ergative alignment applies to topic arguments A.,,,1
amdo1237,Amdo Tibetan,Trans-Himalayan,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?,1,Haller 2004: 157,Ergative alignment occurs when argument A is not the main topic of the sentence.,,,1
amdo1237,Amdo Tibetan,Trans-Himalayan,GB409_18,Is there ergative alignment of flagging in the context of an animate A?,1,"Haller 2004: 74, 76, 81, 94","Ergative alignment occurs in clauses with an animate argument A, whether human or non-human.",,,1
amdo1237,Amdo Tibetan,Trans-Himalayan,GB409_19,Is there ergative alignment of flagging in the context of an inanimate A?,1,"Haller 2004: 63, 112","Ergative alignment also occurs in clauses with an inanimate argument A, although these cases typically express the cause or instrument of an action rather than a volitional agent.",,,1
amdo1237,Amdo Tibetan,Trans-Himalayan,GB409_20,Is there ergative alignment of flagging in main clauses?,1,"Haller 2004: 74, 81",Ergative alignment occurs in main clauses.,,,1
amdo1237,Amdo Tibetan,Trans-Himalayan,GB409_21,Is there ergative alignment of flagging in non-main clauses?,1,"Haller 2004: 137, 157",Ergative alignment is maintained in non-main clauses.,,,1
amdo1237,Amdo Tibetan,Trans-Himalayan,GB409_22,Is ergative alignment of flagging conditioned by any other factor?,1,"Haller 2004: 74, 81","Ergative alignment is conditioned by the semantic class of the verb. Verbs are divided into ""controllable"" and ""uncontrollable,"" and the case marking of arguments depends on this classification.",,,1
amdo1237,Amdo Tibetan,Trans-Himalayan,GB409_23,Are the ergative and the genitive expressed by the same marker?,1,Haller 2004: 62,The ergative and genitive markers are expressed with the same marker.,,,1
amdo1237,Amdo Tibetan,Trans-Himalayan,GB409_24,Are the ergative and the instrumental/comitative expressed by the same marker?,1,Haller 2004: 63,The ergative case has the same mark as the instrumental and comitative marker.,,,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
