Glottocode,Language,Family,Ergon_ID,,Source_comment,Value,Comment
kala1399,Kalaallisut,Eskimo-Aleut,GB409_1,Is there an overt marker for the absolutive?,"Sadock, 2003, p. 74",1,
kala1399,Kalaallisut,Eskimo-Aleut,GB409_2,Is there ergative alignment of flagging on first person pronouns?,"Sadock, 2003, p. 66",1,
kala1399,Kalaallisut,Eskimo-Aleut,GB409_3,Is there ergative alignment of flagging on second person pronouns?,"Sadock, 2003, p. 66",1,
kala1399,Kalaallisut,Eskimo-Aleut,GB409_4,Is there ergative alignment of flagging on third person pronouns?,"Sadock, 2003, p. 66",1,
kala1399,Kalaallisut,Eskimo-Aleut,GB409_5,Is there ergative alignment of flagging on full NPs?,"Sadock, 2003, p. 66",1,
kala1399,Kalaallisut,Eskimo-Aleut,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,"Sadock, 2003, p. 54",1,
kala1399,Kalaallisut,Eskimo-Aleut,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,"Sadock, 2003, p. 54",1,
kala1399,Kalaallisut,Eskimo-Aleut,GB409_8,Is there ergative alignment of flagging in the past tense?,"Sadock, 2003, p. 54",1,
kala1399,Kalaallisut,Eskimo-Aleut,GB409_9,Is there ergative alignment of flagging in non-past tenses?,,?,
kala1399,Kalaallisut,Eskimo-Aleut,GB409_10,Is there ergative alignment of flagging in the indicative mood?,"Sadock, 2003, p. 54, 41",1,
kala1399,Kalaallisut,Eskimo-Aleut,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,"Sadock, 2003, p. 54",1,
kala1399,Kalaallisut,Eskimo-Aleut,GB409_12,Is there ergative alignment of flagging in the realis status?,"Sadock, 2003, p. 54, 41",1,
kala1399,Kalaallisut,Eskimo-Aleut,GB409_13,Is there ergative alignment of flagging in the irrealis status?,"Sadock, 2003, p. 54",1,
kala1399,Kalaallisut,Eskimo-Aleut,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,"Sadock, 2003, p. 54",,
kala1399,Kalaallisut,Eskimo-Aleut,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,,?,
kala1399,Kalaallisut,Eskimo-Aleut,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,"Sadock, 2003, p. 54",1,
kala1399,Kalaallisut,Eskimo-Aleut,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?,,?,
kala1399,Kalaallisut,Eskimo-Aleut,GB409_18,Is there ergative alignment of flagging in the context of an animate A?,"Sadock, 2003, p. 54",1,
kala1399,Kalaallisut,Eskimo-Aleut,GB409_19,Is there ergative alignment of flagging in the context of an inanimate A?,,?,
kala1399,Kalaallisut,Eskimo-Aleut,GB409_20,Is there ergative alignment of flagging in main clauses?,"Sadock, 2003, p. 54",1,
kala1399,Kalaallisut,Eskimo-Aleut,GB409_21,Is there ergative alignment of flagging in non-main clauses?,,?,
kala1399,Kalaallisut,Eskimo-Aleut,GB409_22,Is ergative alignment of flagging conditioned by any other factor?,,?,
kala1399,Kalaallisut,Eskimo-Aleut,GB409_23,Are the ergative and the genitive expressed by the same marker?,,?,
kala1399,Kalaallisut,Eskimo-Aleut,GB409_24,Are the ergative and the instrumental/comitative expressed by the same marker?,"Sadock, 2003, p. 57",0,
