Glottocode,Language,Family,Ergon_ID,Feature,Value,Source,Comment,curated,curated_comment,final_value
muru1266,Muruwari,Pama-Nyungan,GB409_1,Is there an overt marker for the absolutive?,0,Oates 1988:55,,,,0
muru1266,Muruwari,Pama-Nyungan,GB409_2,Is there ergative alignment of flagging on first person pronouns?,0,Oates 1988:89,"The pronominal system is nominative-accusative, but the first, second and third person singular free pronouns and the first and third person singular bound pronouns follow the ergative-absolutive pattern as well as the nominative-accusative.",verified,"CORRECTED 1 -> 0. The singular free pronouns are NOT cleanly ergative-absolutive. The regular paradigm (Oates 1988:89-90, Table 4.1) is nominative-accusative: bare NOM serves S and A (1sg ngathu), a distinct ACC serves P (1sg nga-nha). Ergative -ngku then OPTIONALLY marks A (ex.4.85 ngathu-ngku '1sg.ERG'). Combining these, A=ERG(-ngku), S=bare NOM, P=ACC(-nha) are three distinct forms; Oates 1988:100 (Table 4.2) explicitly frames this as an 'ergative-accusative' system overlapping with nominative-accusative. Since S != P (S bare, P accusative), there is no ergative ALIGNMENT (which requires S=P): the pattern is tripartite (or nom-acc), not ergative. Per the tripartite rule (tripartite S/A/P -> 0), coding 0.",0
muru1266,Muruwari,Pama-Nyungan,GB409_3,Is there ergative alignment of flagging on second person pronouns?,0,Oates 1988:89,"The pronominal system is nominative-accusative, but the first, second and third person singular free pronouns and the first and third person singular bound pronouns follow the ergative-absolutive pattern as well as the nominative-accusative.",verified,"CORRECTED 1 -> 0. 2sg free pronoun: Oates 1988:100, sec.4.2.2 reconstructs ngintu = ergative (A), yintu = absolutive (S), with a distinct accusative panga (P) (ex.4.93 ngintu-ngku A; ex.4.94-96 (y)intu/ngintu S; Table 4.1 ACC panga). A, S and P are marked by three different forms = tripartite, not ergative-absolutive. Per the tripartite rule, coding 0.",0
muru1266,Muruwari,Pama-Nyungan,GB409_4,Is there ergative alignment of flagging on third person pronouns?,0,Oates 1988:89,"The pronominal system is nominative-accusative, but the first, second and third person singular free pronouns and the first and third person singular bound pronouns follow the ergative-absolutive pattern as well as the nominative-accusative.",verified,"CORRECTED 1 -> 0. 3sg free pronoun has NO ergative form: Oates 1988:100 (Table 4.2) lists 3sg A only as nhumpu with no -ngku variant, and no nhumpu-ngku is attested. The 3sg system is nominative-accusative: A=S=nhumpu (ex.4.98-4.100) vs distinct ACC pu-nha (Table 4.1; ex.4.101 nhumpu in O function is the syncretised NOM). With A=S, there is no ergative alignment on 3sg pronouns. Coding 0.",0
muru1266,Muruwari,Pama-Nyungan,GB409_5,Is there ergative alignment of flagging on full NPs?,1,Oates 1988:55,,verified,"Verified against Oates 1988:55 (sec.3.2): 'The Muruwari nominal system is basically absolutive-ergative, that is, the intransitive subject and the object are both represented by a noun in unmarked absolutive case, but the transitive subject is in the ergative case.' S=P=ABS, A=ERG -ngku. Genuine ergativity, not tripartite. Coding 1 confirmed.",1
muru1266,Muruwari,Pama-Nyungan,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,?,Oates 1988:in passim,,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
muru1266,Muruwari,Pama-Nyungan,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,1,Oates 1988:240,Found in example 29 and others.,,,1
muru1266,Muruwari,Pama-Nyungan,GB409_8,Is there ergative alignment of flagging in the past tense?,1,Oates 1988:55,Found in example 3.8. and others.,,,1
muru1266,Muruwari,Pama-Nyungan,GB409_9,Is there ergative alignment of flagging in non-past tenses?,1,Oates 1988:55,Found in example 3.12. and others.,,,1
muru1266,Muruwari,Pama-Nyungan,GB409_10,Is there ergative alignment of flagging in the indicative mood?,?,Oates 1988:in passim,"It is possible to assume, but it is not stated in the source, nor can any examples be found.",,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
