Glottocode,Language,Family,Ergon_ID,Feature,Value,Source_comment,Comment,curated,curated_comment,final_value
gana1278,Ganai,Pama-Nyungan,GB409_1,Is there an overt marker for the absolutive?,0,Fesl 1985: p.112,PDF source (Fesl 1985) is corrupted and unreadable; value retained from original annotation.,,"Ganai (gana1278, also Kurnai, ISO xgu, Pama-Nyungan, Victoria, Australia) — WARNING: The PDF source file (gana1278_fesl_ganai1985.pdf) has a corrupted cross-reference table and is completely unreadable with any available PDF processing tool (pdftotext, qpdf, ghostscript all fail). PDF verification was not possible. All 14 annotated values and all 10 '?' values from the original xlsx are retained as-is without independent verification. The source is Fesl (1985), which appears to be a pedagogical/descriptive sketch. Recommend obtaining a readable copy of the source for full verification. Glottocode gana1278 is correct.",0
gana1278,Ganai,Pama-Nyungan,GB409_2,Is there ergative alignment of flagging on first person pronouns?,?,,PDF source unreadable; original annotation uncertain.,,,?
gana1278,Ganai,Pama-Nyungan,GB409_3,Is there ergative alignment of flagging on second person pronouns?,?,,PDF source unreadable; original annotation uncertain.,,,?
gana1278,Ganai,Pama-Nyungan,GB409_4,Is there ergative alignment of flagging on third person pronouns?,1,Fesl 1985: p. INDEX II: 6,PDF source unreadable; value retained from original annotation.,,,1
gana1278,Ganai,Pama-Nyungan,GB409_5,Is there ergative alignment of flagging on full NPs?,1,Fesl 1985: p. INDEX II: 6,PDF source unreadable; value retained from original annotation.,,,1
gana1278,Ganai,Pama-Nyungan,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,1,Fesl 1985: p. INDEX II: 6,PDF source unreadable; value retained from original annotation.,,,1
gana1278,Ganai,Pama-Nyungan,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,1,Fesl 1985: p. INDEX II: 6,PDF source unreadable; value retained from original annotation.,,,1
gana1278,Ganai,Pama-Nyungan,GB409_8,Is there ergative alignment of flagging in the past tense?,1,Fesl 1985: p. INDEX II: 6,PDF source unreadable; value retained from original annotation.,,,1
gana1278,Ganai,Pama-Nyungan,GB409_9,Is there ergative alignment of flagging in non-past tenses?,?,,PDF source unreadable; original annotation uncertain.,,,?
gana1278,Ganai,Pama-Nyungan,GB409_10,Is there ergative alignment of flagging in the indicative mood?,1,Fesl 1985: p. INDEX II: 6,PDF source unreadable; value retained from original annotation.,,,1
gana1278,Ganai,Pama-Nyungan,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,?,,PDF source unreadable; original annotation uncertain.,,,?
gana1278,Ganai,Pama-Nyungan,GB409_12,Is there ergative alignment of flagging in the realis status?,1,Fesl 1985: p. INDEX II: 6,PDF source unreadable; value retained from original annotation.,,,1
gana1278,Ganai,Pama-Nyungan,GB409_13,Is there ergative alignment of flagging in the irrealis status?,?,,PDF source unreadable; original annotation uncertain.,,,?
gana1278,Ganai,Pama-Nyungan,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,1,Fesl 1985: p. INDEX II: 6,PDF source unreadable; value retained from original annotation.,,,1
gana1278,Ganai,Pama-Nyungan,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,?,,PDF source unreadable; original annotation uncertain.,,,?
gana1278,Ganai,Pama-Nyungan,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,1,Fesl 1985: p. INDEX II: 6,PDF source unreadable; value retained from original annotation.,,,1
gana1278,Ganai,Pama-Nyungan,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?,?,,PDF source unreadable; original annotation uncertain.,,,?
gana1278,Ganai,Pama-Nyungan,GB409_18,Is there ergative alignment of flagging in the context of an animate A?,1,Fesl 1985: p. INDEX II: 2,PDF source unreadable; value retained from original annotation.,,,1
gana1278,Ganai,Pama-Nyungan,GB409_19,Is there ergative alignment of flagging in the context of an inanimate A?,1,Fesl 1985: p. INDEX II: 6,PDF source unreadable; value retained from original annotation.,,,1
gana1278,Ganai,Pama-Nyungan,GB409_20,Is there ergative alignment of flagging in main clauses?,1,Fesl 1985: p. INDEX II: 6,PDF source unreadable; value retained from original annotation.,,,1
gana1278,Ganai,Pama-Nyungan,GB409_21,Is there ergative alignment of flagging in non-main clauses?,?,,PDF source unreadable; original annotation uncertain.,,,?
gana1278,Ganai,Pama-Nyungan,GB409_22,Is ergative alignment of flagging conditioned by any other factor?,?,,PDF source unreadable; original annotation uncertain.,,,?
gana1278,Ganai,Pama-Nyungan,GB409_23,Are the ergative and the genitive expressed by the same marker?,0,Fesl 1985: p. INDEX II: 16,PDF source unreadable; value retained from original annotation.,,,0
gana1278,Ganai,Pama-Nyungan,GB409_24,Are the ergative and the instrumental/comitative expressed by the same marker?,?,Fesl 1985: p.117,PDF source unreadable; original annotation uncertain.,,,?
