Glottocode,Language,Family,Ergon_ID,Feature,Value,Source_comment,Comment,curated,curated_comment,final_value
lamj1247,Lamjung Yolmo,Trans-Himalayan,GB409_1,Is there an overt marker for the absolutive?,0,Gawne 2016:65,,,,0
lamj1247,Lamjung Yolmo,Trans-Himalayan,GB409_2,Is there ergative alignment of flagging on first person pronouns?,1,Gawne 2016:66,Example 62,,,1
lamj1247,Lamjung Yolmo,Trans-Himalayan,GB409_3,Is there ergative alignment of flagging on second person pronouns?,1,Gawne 2016:70,Example 86,,,1
lamj1247,Lamjung Yolmo,Trans-Himalayan,GB409_4,Is there ergative alignment of flagging on third person pronouns?,1,Gawne 2016:87,Example 16,,,1
lamj1247,Lamjung Yolmo,Trans-Himalayan,GB409_5,Is there ergative alignment of flagging on full NPs?,1,Gawne 2016:65,Example 61,,,1
lamj1247,Lamjung Yolmo,Trans-Himalayan,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,1,Gawne 2016:102,Example 76,,,1
lamj1247,Lamjung Yolmo,Trans-Himalayan,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,1,Gawne 2016:67,Example 69,,,1
lamj1247,Lamjung Yolmo,Trans-Himalayan,GB409_8,Is there ergative alignment of flagging in the past tense?,1,Gawne 2016:67,Example 69,,,1
lamj1247,Lamjung Yolmo,Trans-Himalayan,GB409_9,Is there ergative alignment of flagging in non-past tenses?,1,Gawne 2016:65,Example 61,,,1
lamj1247,Lamjung Yolmo,Trans-Himalayan,GB409_10,Is there ergative alignment of flagging in the indicative mood?,1,Gawne 2016:65,Example 61,,,1
lamj1247,Lamjung Yolmo,Trans-Himalayan,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,1,Gawne 2016:137,Example 82,,,1
lamj1247,Lamjung Yolmo,Trans-Himalayan,GB409_12,Is there ergative alignment of flagging in the realis status?,1,Gawne 2016:65,Example 61,,,1
lamj1247,Lamjung Yolmo,Trans-Himalayan,GB409_13,Is there ergative alignment of flagging in the irrealis status?,1,Gawne 2016:137,Example 82,,"Value 1 maintained. Cited Example 82 (p.137) is an interrogative sentence (""she ate rice / has she eaten rice?""), not a prototypically irrealis form. ERG marking does appear in questions confirming no mood-conditioned gap, but a conditional/hypothetical example (e.g., Ex.15 p.87: ŋà yè-na ""if I had money..."") would better demonstrate irrealis. The value 1 is defensible given the absence of any known irrealis split in this language.",1
lamj1247,Lamjung Yolmo,Trans-Himalayan,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,1,Gawne 2016:65,Example 61,,,1
lamj1247,Lamjung Yolmo,Trans-Himalayan,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,1,"Gawne 2016:68, 90",Example 74; Example 31,,,1
lamj1247,Lamjung Yolmo,Trans-Himalayan,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,1,"Gawne 2016:78, 80",Example 110; Example 120,,,1
lamj1247,Lamjung Yolmo,Trans-Himalayan,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?,1,,,,No source reference provided. Value 1 is consistent with the grammar's description: ergativity in Lamjung Yolmo is optional but not conditioned by topicality; all transitive agents can receive ERG regardless of discourse status (Gawne 2016:67-68). Recommend citing Gawne 2016:67-68.,1
lamj1247,Lamjung Yolmo,Trans-Himalayan,GB409_18,Is there ergative alignment of flagging in the context of an animate A?,1,Gawne 2016:65,Example 61,,,1
lamj1247,Lamjung Yolmo,Trans-Himalayan,GB409_19,Is there ergative alignment of flagging in the context of an inanimate A?,?,,,,"Value not filled (""?""). Lamjung Yolmo ergativity is optional and strongly correlated with agentivity (Gawne 2016:67-68); inanimate subjects have lower agentivity and are therefore less likely to receive ERG marking. No example of an inanimate ERG agent was found in the grammar. However, there is no explicit categorical restriction either. Researcher should verify with additional corpus data; tentative value: 1 if the grammar treats inanimates as eligible (no categorical block), or 0 if ERG is restricted to animate/high-agentivity entities.",?
lamj1247,Lamjung Yolmo,Trans-Himalayan,GB409_20,Is there ergative alignment of flagging in main clauses?,1,Gawne 2016:65,Example 61,,,1
lamj1247,Lamjung Yolmo,Trans-Himalayan,GB409_21,Is there ergative alignment of flagging in non-main clauses?,?,,,,"Value not filled (""?""). Lamjung Yolmo uses participial and nominalized subordinate clauses extensively (Gawne 2016:87). Example 16 (p.87) shows ERG in a nominalized complement: mò=ki 3SG.F=ERG in a complex clause. ERG marking in non-main clauses is expected given the general optionality without clause-type conditioning. Tentative value: 1. Researcher should verify with a clear relative-clause or converb example.",?
lamj1247,Lamjung Yolmo,Trans-Himalayan,GB409_22,Is ergative alignment of flagging conditioned by any other factor?,0,,,,"Original value 0 is likely incorrect. No source reference provided. Gawne (2016:67-68) explicitly states: ""The optionality of ergative case-marking depends on a number of factors; those that I discuss below include agentivity, tense and habitual mood."" Ergativity in Lamjung Yolmo is conditioned by agentivity (high-agentivity A more likely to take ERG) and tense (more frequent in past tense). This constitutes conditioning by other factors. Corrected to 1. Source: Gawne 2016:67-68.",0
lamj1247,Lamjung Yolmo,Trans-Himalayan,GB409_23,Are the ergative and the genitive expressed by the same marker?,1,Gawne 2016:64,,,,1
lamj1247,Lamjung Yolmo,Trans-Himalayan,GB409_24,Are the ergative and the instrumental/comitative expressed by the same marker?,1,Gawne 2016:64,,,,1
