Glottocode,Lengua,Familia,Rasgo,Descripción_rasgo,Valor_original,Valor_curado,Comentario
east2379,Mparntwe Arrernte,Arandic,GB409_5,Is there ergative alignment of flagging on full NPs?,,1,"GB409_5 was blank (no value annotated). Henderson (2013:13) states: 'In nominals other than pronouns Nominative and Accusative are syncretised' — meaning full NPs have a distinct Ergative case (separate from NOM/ACC syncretism). This is consistent with GB409_2=1 (1sg ERG≠NOM), GB409_3=0, GB409_4=0 (other pronouns syncretise ERG/NOM). Value set to 1. Source: Henderson 2013:13. Note: Wilkins (1989) would provide additional confirmation with paradigm tables but is not available as a PDF in this archive."
guru1261,Gurung,Trans-Himalayan,GB409_1,Is there an overt marker for the absolutive?,?,0,"Original value ? resolved to 0. Absolutive (S and O) is zero-marked in Gurung. Table 4 (p.74) and Fig.14 (p.77) show Intransitive Subject: UM (unmarked) and Transitive Object: UM (unmarked). Glover describes the system as ""nominative-ergative"" (p.71), meaning A is ergative-marked and S/O are zero. Case table (p.70): Ergative=-d, with no absolutive suffix listed. Source: Glover 1974:70-74."
guru1261,Gurung,Trans-Himalayan,GB409_2,Is there ergative alignment of flagging on first person pronouns?,?,1,"Original value ? resolved to 1. 1sg pronoun Qa/Ia- takes ergative -d in transitive clauses: ""Qa-d ... ax-ca-syo"" (me-ER not-eat-EM, p.82 ex.42); ""Ia-dl ... bo-la"" (me-ER take-PLUP, p.77 ex.24). Source: Glover 1974:82,77."
guru1261,Gurung,Trans-Himalayan,GB409_3,Is there ergative alignment of flagging on second person pronouns?,?,1,"Original value ? resolved to 1. 2sg pronoun kxl takes ergative -d in transitive and imperative contexts: ""kxl-d ax-bl-le tl-Ql-d"" (you-ER ... stay-IM, p.85 ex.49); also kxl-d in ex.85 p.85. Source: Glover 1974:85,30."
guru1261,Gurung,Trans-Himalayan,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,?,1,"Original value ? resolved to 1. Ergative marking occurs in non-past (imperfective) tenses. Ex.26 (p.77-78): ""Ixy6-d ca ka'gada Ixyo-m"" (we.INCL-ER that paper look.at-NP) with nonpast -m. Ex.27 (p.78): ""bomw~-d puja la-m"" (Brahmin-ER worship do-NP) with nonpast -m. Source: Glover 1974:77-78."
guru1261,Gurung,Trans-Himalayan,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,?,1,"Original value ? resolved to 1. Ergative marking occurs in perfective/past tenses. Ex.24 (p.77): ""Ia-dl ... bo-la"" (me-ER take-PLUP); ex.43 (p.83): ""a99a-d cha'b thaudi-f"" (office-ER stamp affix-PA). Source: Glover 1974:77,82-83."
guru1261,Gurung,Trans-Himalayan,GB409_8,Is there ergative alignment of flagging in the past tense?,?,1,"Original value ? resolved to 1. Ergative marking occurs consistently in past tenses. Multiple examples with past (-l, -i) and pluperfect (-la): ex.24 ""Ia-dl bo-la"" (me-ER take-PLUP, p.77); ex.43 ""a99a-d thaudi-f"" (office-ER affix-PA, p.83). Source: Glover 1974:77-83."
guru1261,Gurung,Trans-Himalayan,GB409_9,Is there ergative alignment of flagging in non-past tenses?,?,1,"Original value ? resolved to 1. Ergative marking occurs in non-past tenses. Ex.26 (p.77-78): ""Ixy6-d ka'gada Ixyo-m"" (we.INCL-ER paper look.at-NP); ex.27 (p.78): ""bomw~-d puja la-m"" (Brahmin-ER do-NP). Both use nonpast suffix -m with ergative-marked agent. Source: Glover 1974:77-78."
guru1261,Gurung,Trans-Himalayan,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,?,1,"Original value ? resolved to 1. Ergative -d appears in non-indicative (imperative) forms. Ex.49 (p.85): ""kxl-d ax-bl-le tl-Ql-d"" (you-ER [without-saying-anything] stay-IM) uses the imperative suffix -d with ergative-marked 2sg. The ergative is a CASE marker applied to the transitive/causative subject regardless of mood. Source: Glover 1974:85."
guru1261,Gurung,Trans-Himalayan,GB409_13,Is there ergative alignment of flagging in the irrealis status?,?,1,"Original value ? resolved to 1. Ergative marking is a case property of transitive subjects, not conditioned by realis/irrealis status. Glover's categorical statement (p.76): ""ergative for the Transitive Clause."" Ex.29 (p.122): ""l~ma-d ... ax-cxu-m~la"" (lama-ER not-prepare-PLUP.HAB) shows ergative with habituative -mala (modal/irrealis-adjacent). The unreal -mala (apodosis of hypotheticals, ex.27) has OCR-ambiguous text but no exception stated in the grammar. Source: Glover 1974:74,77,122."
