Glottocode,Language,Family,Ergon_ID,Feature,Value,Source_comment,Comment,curated,curated_comment,final_value
gure1255,Gureng Gureng,Pama-Nyungan,GB409_1,Is there an overt marker for the absolutive?,1,Brasch 1975: 15,Overt absolutive form documented in the case inflections table (p.90).,,"Gureng Gureng (gure1255, ISO gnr, Pama-Nyungan, Queensland) is an ergative language with a human/non-human split: human NPs and all pronouns take the ERG suffix -bo, while non-human NPs appear in the unmarked nominative-absolutive (Brasch 1975, p.145, 147). GB409_19=0 because non-human (inanimate) NPs in A position do not take the ERG marker. GB409_22=1 because humanness is an additional conditioning factor for ergative marking. GB409_11 and GB409_13 are inferred as 1 based on Pama-Nyungan typology; direct evidence is unavailable due to poor OCR quality of the source scan. GB409_15, 17, 21 remain '?' due to insufficient evidence. GB409_23=0 and GB409_24=0 (genitive and comitative markers are distinct from ERG). Glottocode gure1255 is correct.",1
gure1255,Gureng Gureng,Pama-Nyungan,GB409_2,Is there ergative alignment of flagging on first person pronouns?,1,Brasch 1975: 147,ERG applies to all persons; pronoun table (p.147) explicitly marks pronouns under the ERG column.,,,1
gure1255,Gureng Gureng,Pama-Nyungan,GB409_3,Is there ergative alignment of flagging on second person pronouns?,1,Brasch 1975: 147,ERG applies to 2nd person pronouns per paradigm table (p.147).,,,1
gure1255,Gureng Gureng,Pama-Nyungan,GB409_4,Is there ergative alignment of flagging on third person pronouns?,1,Brasch 1975: 147,ERG applies to 3rd person pronouns per paradigm table (p.147).,,,1
gure1255,Gureng Gureng,Pama-Nyungan,GB409_5,Is there ergative alignment of flagging on full NPs?,1,"Brasch 1975: 145, 147",ERG marker -bo applies to human full NPs only (p.145: 'ERGATIVE — human nouns and (some) pronouns'). Non-human NPs take nominative-absolutive per case marking hierarchy (p.147).,,,1
gure1255,Gureng Gureng,Pama-Nyungan,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,1,Brasch 1975: 16-17,No tense/aspect-based split documented. Source OCR quality limits direct verification.,,,1
gure1255,Gureng Gureng,Pama-Nyungan,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,1,Brasch 1975: 16-17,No tense/aspect-based split documented.,,,1
gure1255,Gureng Gureng,Pama-Nyungan,GB409_8,Is there ergative alignment of flagging in the past tense?,1,Brasch 1975: 16-17,No tense-based split documented.,,,1
gure1255,Gureng Gureng,Pama-Nyungan,GB409_9,Is there ergative alignment of flagging in non-past tenses?,1,Brasch 1975: 16-17,No tense-based split documented.,,,1
gure1255,Gureng Gureng,Pama-Nyungan,GB409_10,Is there ergative alignment of flagging in the indicative mood?,1,Brasch 1975: 16-17,No mood-based split documented.,,,1
gure1255,Gureng Gureng,Pama-Nyungan,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,1,Brasch 1975: in passim (typological inference),Typological inference for Pama-Nyungan; direct evidence unavailable due to OCR quality of source scan. Value is inferred.,1,,1
gure1255,Gureng Gureng,Pama-Nyungan,GB409_12,Is there ergative alignment of flagging in the realis status?,1,Brasch 1975: 16-17,No realis/irrealis split documented.,,,1
gure1255,Gureng Gureng,Pama-Nyungan,GB409_13,Is there ergative alignment of flagging in the irrealis status?,1,Brasch 1975: in passim (typological inference),Typological inference for Pama-Nyungan; direct evidence unavailable due to OCR quality of source scan. Value is inferred.,1,,1
gure1255,Gureng Gureng,Pama-Nyungan,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,1,Brasch 1975: 16-17,All documented A arguments (agentive actors) take ERG -bo.,,,1
gure1255,Gureng Gureng,Pama-Nyungan,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,?,,,,,?
gure1255,Gureng Gureng,Pama-Nyungan,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,1,Brasch 1975: 16-17,No topicality split documented.,,,1
gure1255,Gureng Gureng,Pama-Nyungan,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?,?,,,,,?
gure1255,Gureng Gureng,Pama-Nyungan,GB409_18,Is there ergative alignment of flagging in the context of an animate A?,1,"Brasch 1975: 145, 147","Animate/human NPs take ERG -bo; confirmed by case hierarchy table (p.145, 147).",,,1
gure1255,Gureng Gureng,Pama-Nyungan,GB409_19,Is there ergative alignment of flagging in the context of an inanimate A?,0,Brasch 1975: 147,Case marking hierarchy table (p.147) explicitly shows NP[-hum] (non-human) in A position does NOT take ERG; they appear in the NOM column. ERG is restricted to human NPs and pronouns.,0,,0
gure1255,Gureng Gureng,Pama-Nyungan,GB409_20,Is there ergative alignment of flagging in main clauses?,1,Brasch 1975: 16-17,Main clause transitive examples throughout the grammar show ERG marking.,,,1
gure1255,Gureng Gureng,Pama-Nyungan,GB409_21,Is there ergative alignment of flagging in non-main clauses?,?,,,,,?
gure1255,Gureng Gureng,Pama-Nyungan,GB409_22,Is ergative alignment of flagging conditioned by any other factor?,1,"Brasch 1975: 145, 147","The humanness-based conditioning (human NPs take ERG, non-human NPs take NOM-ABS) constitutes an additional conditioning factor beyond the basic transitive A function.",1,,1
gure1255,Gureng Gureng,Pama-Nyungan,GB409_23,Are the ergative and the genitive expressed by the same marker?,0,Brasch 1975: 220,ERG = -bo; no evidence of ERG=GEN syncretism in available readable sections of source.,0,,0
gure1255,Gureng Gureng,Pama-Nyungan,GB409_24,Are the ergative and the instrumental/comitative expressed by the same marker?,0,Brasch 1975: 220,"Comparative chapter (p.220) confirms comitative = -gu, distinct from ERG -bo.",0,,0
