Glottocode,Language,Family,Ergon_ID,Feature,Value,Source,Comment,
dzon1239,Dzongkha,Trans-Himalayan,GB409_1,Is there an overt marker for the absolutive?,,Watters 2018: ,,
dzon1239,Dzongkha,Trans-Himalayan,GB409_2,Is there ergative alignment of flagging on first person pronouns?,1,Watters 2018:128,"Ergative marking is optional in first and second person pronouns, creating an optional neutral alignment. See example (15)",
dzon1239,Dzongkha,Trans-Himalayan,GB409_3,Is there ergative alignment of flagging on second person pronouns?,?,Watters 2018: ,,
dzon1239,Dzongkha,Trans-Himalayan,GB409_4,Is there ergative alignment of flagging on third person pronouns?,?,Watters 2018: ,,
dzon1239,Dzongkha,Trans-Himalayan,GB409_5,Is there ergative alignment of flagging on full NPs?,1,Watters 2018:422,See example (323),
dzon1239,Dzongkha,Trans-Himalayan,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,1,Watters 2018:409 ,"See example (297), (298)",
dzon1239,Dzongkha,Trans-Himalayan,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,?,Watters 2018: ,,
dzon1239,Dzongkha,Trans-Himalayan,GB409_8,Is there ergative alignment of flagging in the past tense?,1,Watters 2018:422,See example (323),
dzon1239,Dzongkha,Trans-Himalayan,GB409_9,Is there ergative alignment of flagging in non-past tenses?,1,Watters 2018:378,See example (263b),
dzon1239,Dzongkha,Trans-Himalayan,GB409_10,Is there ergative alignment of flagging in the indicative mood?,1,Watters 2018:422,See example (323),
dzon1239,Dzongkha,Trans-Himalayan,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,1,Watters 2018:520,See example (451),
dzon1239,Dzongkha,Trans-Himalayan,GB409_12,Is there ergative alignment of flagging in the realis status?,1,Watters 2018:422,See example (323),
dzon1239,Dzongkha,Trans-Himalayan,GB409_13,Is there ergative alignment of flagging in the irrealis status?,?,Watters 2018: ,,
dzon1239,Dzongkha,Trans-Himalayan,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,1,Watters 2018:422,See example (323),
dzon1239,Dzongkha,Trans-Himalayan,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,1,Watters 2018:96,See example (96c-d),
dzon1239,Dzongkha,Trans-Himalayan,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,?,Watters 2018: ,,
dzon1239,Dzongkha,Trans-Himalayan,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?,?,Watters 2018: ,,
dzon1239,Dzongkha,Trans-Himalayan,GB409_18,Is there ergative alignment of flagging in the context of an animate A?,1,Watters 2018:422,See example (323),
dzon1239,Dzongkha,Trans-Himalayan,GB409_19,Is there ergative alignment of flagging in the context of an inanimate A?,?,Watters 2018: ,,
dzon1239,Dzongkha,Trans-Himalayan,GB409_20,Is there ergative alignment of flagging in main clauses?,1,Watters 2018:422,See example (323),
dzon1239,Dzongkha,Trans-Himalayan,GB409_21,Is there ergative alignment of flagging in non-main clauses?,?,Watters 2018: ,420 (319)?,tshering 2019:383 (28)
dzon1239,Dzongkha,Trans-Himalayan,GB409_22,Is ergative alignment of flagging conditioned by any other factor?,?,Watters 2018: ,,
dzon1239,Dzongkha,Trans-Himalayan,GB409_23,Are the ergative and the genitive expressed by the same marker?,1,Watters 2018:166,,
dzon1239,Dzongkha,Trans-Himalayan,GB409_24,Are the ergative and the instrumental/comitative expressed by the same marker?,1,Watters 2018:422,See example (323),
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
