Glottocode,Language,Family,Ergon_ID,Feature,Value,Source,Comment,curated,curated_comment,final_value
dyir1250,Dyirbal,Pama-Nyungan,GB409_1,Is there an overt marker for the absolutive?,0,Dixon 2022:73-74,Unmarked. See table 3.1,,,0
dyir1250,Dyirbal,Pama-Nyungan,GB409_2,Is there ergative alignment of flagging on first person pronouns?,0,Dixon 2022:28,Nominative-accusative,0,,0
dyir1250,Dyirbal,Pama-Nyungan,GB409_3,Is there ergative alignment of flagging on second person pronouns?,0,Dixon 2022:28,,0,,0
dyir1250,Dyirbal,Pama-Nyungan,GB409_4,Is there ergative alignment of flagging on third person pronouns?,0,Dixon 2022:28,,0,,0
dyir1250,Dyirbal,Pama-Nyungan,GB409_5,Is there ergative alignment of flagging on full NPs?,1,Dixon 2022:85,See example (3.33),,,1
dyir1250,Dyirbal,Pama-Nyungan,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,1,Dixon 2022:204,See example (7.32),1,,1
dyir1250,Dyirbal,Pama-Nyungan,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,1,Dixon 2022:ss,,1,,1
dyir1250,Dyirbal,Pama-Nyungan,GB409_8,Is there ergative alignment of flagging in the past tense?,1,Dixon 2022:85,See example (3.33),,,1
dyir1250,Dyirbal,Pama-Nyungan,GB409_9,Is there ergative alignment of flagging in non-past tenses?,1,Dixon 2022:62,See example (2.49),,,1
dyir1250,Dyirbal,Pama-Nyungan,GB409_10,Is there ergative alignment of flagging in the indicative mood?,1,Dixon 2022:85,See example (3.33),,,1
dyir1250,Dyirbal,Pama-Nyungan,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,1,Dixon 2022:124,See example (4.5),,,1
dyir1250,Dyirbal,Pama-Nyungan,GB409_12,Is there ergative alignment of flagging in the realis status?,1,Dixon 2022:85,See example (3.33),,,1
dyir1250,Dyirbal,Pama-Nyungan,GB409_13,Is there ergative alignment of flagging in the irrealis status?,1,Dixon 2022:ss,,,,1
dyir1250,Dyirbal,Pama-Nyungan,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,1,Dixon 2022:85,See example (3.33),,,1
dyir1250,Dyirbal,Pama-Nyungan,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,1,Dixon 2022:2,See exmple (1.1),,,1
dyir1250,Dyirbal,Pama-Nyungan,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,1,Dixon 2022:,,,,1
dyir1250,Dyirbal,Pama-Nyungan,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?,1,Dixon 2022:,,,,1
dyir1250,Dyirbal,Pama-Nyungan,GB409_18,Is there ergative alignment of flagging in the context of an animate A?,1,Dixon 2022:85,See example (3.33),,,1
dyir1250,Dyirbal,Pama-Nyungan,GB409_19,Is there ergative alignment of flagging in the context of an inanimate A?,1,Dixon 2022:,,,,1
dyir1250,Dyirbal,Pama-Nyungan,GB409_20,Is there ergative alignment of flagging in main clauses?,1,Dixon 2022:85,See example (3.33),,,1
dyir1250,Dyirbal,Pama-Nyungan,GB409_21,Is there ergative alignment of flagging in non-main clauses?,1,Dixon 2022:,"Not in relative clauses (see page 171, example 6.10). We see that yest in p. 178",,,
dyir1250,Dyirbal,Pama-Nyungan,GB409_22,Is ergative alignment of flagging conditioned by any other factor?,?,Dixon 2022:,,,,?
dyir1250,Dyirbal,Pama-Nyungan,GB409_23,Are the ergative and the genitive expressed by the same marker?,0,Dixon 2022:,But it seems that they are diachronically related. ,,No source reference. Researcher should cite the grammar for ERG/GEN or ERG/INSTR marker comparison.,
dyir1250,Dyirbal,Pama-Nyungan,GB409_24,Are the ergative and the instrumental/comitative expressed by the same marker?,1,Dixon 2022:78-79,,,,1
