Glottocode,Language,Family,Ergon_ID,Feature,Value,Source,Comment,curated,curated_comment,final_value
niue1239,Niuean,Austronesian,GB409_1,Is there an overt marker for the absolutive?,1,Seiter 1979: 28-29,"""Indefinite NPs which are nonspecific may also be marked with taha (indefinite pronoun). Nonspecific absolutive NPs may or may not bear the absolutive marker e.""(Seiter 1979: 40)",verified,"Overt absolutive: e (common N), a (proper N / pronoun). Table 4 (p.37); ex.72 'Ne fano e tehina...', 'Hopo hifo a lautolu'. Paradigm (Seiter Table 4, p.37): ABS e(common)/a(proper-pronoun); ERG he(common)/e(proper-pronoun).",1
niue1239,Niuean,Austronesian,GB409_2,Is there ergative alignment of flagging on first person pronouns?,1,Seiter 1979: 28-29,,verified,"CONFIRMED. 1st person pronoun: ABS a (a au) vs ERG e (e au). Distinct -> ergative alignment. Ex.73c 'To tunu e au e moa' ('I'll cook the chicken', 1SG-ERG e). Table 4 (p.37); pp.28-29.",1
niue1239,Niuean,Austronesian,GB409_3,Is there ergative alignment of flagging on second person pronouns?,1,Seiter 1979: 28-29,,verified,CONFIRMED. 2nd person pronoun: ABS a (a koe) vs ERG e. Distinct -> ergative. Ex.86b 'Lagona e au a koe' (2SG object ABS a koe); ERG e on pronouns per Table 4 (p.37). pp.28-29.,1
niue1239,Niuean,Austronesian,GB409_4,Is there ergative alignment of flagging on third person pronouns?,1,"Seiter 1979: 28-29,49",,verified,"CONFIRMED. 3rd person pronoun: ABS a (a ia, a lautolu) vs ERG e (e ia). Distinct -> ergative. Ex.86c 'fakavihia e ia a Pulevaka' (3SG-ERG e ia); ex.72c 'a lautolu' (3PL-ABS). Table 4 (p.37); pp.28-29,49.",1
niue1239,Niuean,Austronesian,GB409_5,Is there ergative alignment of flagging on full NPs?,1,"Seiter 1979: 28-37, Table 4",See Table 4 in page 37,verified,CONFIRMED. Common N: ABS e vs ERG he. Distinct -> ergative. Ex.73a 'Ne kai he pusi ia e moa' (cat-ERG he ... chicken-ABS e). Table 4 (p.37); pp.28-37.,1
niue1239,Niuean,Austronesian,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,1,Seiter 1979: 125-130,"See examples 127e, 130c-d",verified,No aspectual split: ergative present in imperfective too. Ergative case is constant across TAM (Niuean is a non-split syntactic-ergative language). pp.125-130.,1
niue1239,Niuean,Austronesian,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,1,Seiter 1979: 125-130,"See examples 127a, 127c, 130a-b",verified,"No aspectual split: ergative in perfective (e.g. 'Malona tuai e kapiniu' Perf; 'Kua fakavihia e ia...' Perf, ex.86c). pp.125-130.",1
niue1239,Niuean,Austronesian,GB409_8,Is there ergative alignment of flagging in the past tense?,1,Seiter 1979: 4-5,,verified,"Past tense: ergative present (ex.73a 'Ne kai he pusi... e moa', Pst). No tense split.",1
niue1239,Niuean,Austronesian,GB409_9,Is there ergative alignment of flagging in non-past tenses?,1,Seiter 1979: 1-9,“Niuean … is a strict VSO language with an ergative system of case marking.” (Seiter 1979: 1),verified,"Non-past: ergative present in future ('To tunu e au...', ex.73c) and present ('Ko e tele e Sione a Sefa', ex.73d). No tense split.",1
niue1239,Niuean,Austronesian,GB409_10,Is there ergative alignment of flagging in the indicative mood?,1,Seiter 1979: 29,See example 73a,verified,Indicative: ergative present in declaratives (ex.73). p.29.,1
