Glottocode,Language,Family,Ergon_ID,Feature,Value,Source_comment,Comment,curated,curated_comment,final_value
alba1269,Albay Bikol,Austronesian,GB409_1,Is there an overt marker for the absolutive?,1,"Fincke 2002: 57, 68, 79, 81, 84, 89","Trigger case (absolutive) overtly marked throughout: pronouns have dedicated trigger forms (ako, ka, siya); NPs take an/su.",,"Albay Bikol (alba1269, ISO bhk, Austronesian, Philippines) is a Philippine-type ergative language per Fincke (2002). The non-trigger case (ERG) marks A; S and P share the trigger case (ABS). All base values confirmed correct. GB409_15=1 confirmed with direct evidence: experiencers of perception and cognition (na-iling 'see', ma-mati' 'hear') take ERG case (pp.82-83). GB409_16=0 (topical A takes ABS in the classic Philippine pivot). GB409_22=1: pag-clauses show split intransitivity where S takes ERG (p.113, ex.142). GB409_23=1: ERG markers double as genitive (p.99). GB409_19 and GB409_24 remain '?' (no inanimate A examples; no INST/COM data in source). Glottocode alba1269 is correct.",1
alba1269,Albay Bikol,Austronesian,GB409_2,Is there ergative alignment of flagging on first person pronouns?,1,"Fincke 2002: 70, 81, 83","Pronoun table (p.81, Fig.11) shows clear ABS/ERG distinction for all persons. 1sg: ako (T) vs. ko (ERG).",,,1
alba1269,Albay Bikol,Austronesian,GB409_3,Is there ergative alignment of flagging on second person pronouns?,1,"Fincke 2002: 68, 81, 128",2sg: ka/ika (T) vs. mo (ERG). Clear ABS/ERG distinction.,,,1
alba1269,Albay Bikol,Austronesian,GB409_4,Is there ergative alignment of flagging on third person pronouns?,1,"Fincke 2002: 76, 81, 146",3sg: siya (T) vs. niya (ERG). Clear ABS/ERG distinction.,,,1
alba1269,Albay Bikol,Austronesian,GB409_5,Is there ergative alignment of flagging on full NPs?,1,"Fincke 2002: 84-86, 89-91",Personal names take si (T) vs. ni (ERG); full NPs take an/su (T) vs. ki/kan (non-trigger/ERG).,,,1
alba1269,Albay Bikol,Austronesian,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,1,"Fincke 2002: 57, 69, 193, 203","Imperfective (CV- reduplication) and perfective (-in-, pig-) both show consistent ERG alignment.",,,1
alba1269,Albay Bikol,Austronesian,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,1,"Fincke 2002: 70, 193, 203",Perfective clauses consistently show ERG alignment.,,,1
alba1269,Albay Bikol,Austronesian,GB409_8,Is there ergative alignment of flagging in the past tense?,1,"Fincke 2002: 61, 219",ERG alignment maintained in past-tense ('commenced tense') constructions.,,,1
alba1269,Albay Bikol,Austronesian,GB409_9,Is there ergative alignment of flagging in non-past tenses?,1,"Fincke 2002: 47, 63-64, 193",ERG alignment maintained in non-past ('non-commenced tense') constructions.,,,1
alba1269,Albay Bikol,Austronesian,GB409_10,Is there ergative alignment of flagging in the indicative mood?,1,"Fincke 2002: 61, 91",All declarative/indicative clauses show ERG alignment.,,,1
alba1269,Albay Bikol,Austronesian,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,1,"Fincke 2002: 72, 145","Non-indicative moods (commands, irrealis) maintain ERG alignment.",,,1
alba1269,Albay Bikol,Austronesian,GB409_12,Is there ergative alignment of flagging in the realis status?,1,"Fincke 2002: 69, 203",Realis clauses maintain ERG alignment.,,,1
alba1269,Albay Bikol,Austronesian,GB409_13,Is there ergative alignment of flagging in the irrealis status?,1,"Fincke 2002: 47, 49, 72","Irrealis (negation, conditionals with kon, past counterfactuals) maintain ERG alignment.",,,1
alba1269,Albay Bikol,Austronesian,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,1,"Fincke 2002: 68, 86, 145",Canonical agentive A consistently marked with ERG ko/ni/kan.,,,1
