Glottocode,Language,Family,Ergon_ID,Feature,Value,Source,Comment,curated,curated_comment,final_value
lisu1250,Lisu,Trans-Himalayan,GB409_1,Is there an overt marker for the absolutive?,1,"Yu 2007: 82, 177, 178",Case marking for agent-like (le) and object-like (tɛ) NPs are optional,,,1
lisu1250,Lisu,Trans-Himalayan,GB409_2,Is there ergative alignment of flagging on first person pronouns?,1,"Yu 2007: 82, 187","Copulative clause described as intransitive: ""ŋa tɛ katɕhi ʂʅ o"" - I am really happy",corrected: identity Lisu; evidence replaced; verified 1,"Identity corrected: source = Yu 2007 (Lisu); glottocode -> lisu1250 (was ning1281='Ninglang', a Lisu dialect); name 'Anong' (=nung1282) was wrong. The original evidence ('pa te katshi si o' = 'I am happy') was INAPPROPRIATE: intransitive 1SG with te (patient-S/absolutive side), not ergative A. DECISIVE evidence found: ex.88 (p.130) 'ga le ... [count]' glossed 1SG.A -- 1st person pronoun ga takes the agentive marker le as transitive A. Lisu (Yu 2007 sec.4.2, pp.82-83) has split-S/agentive (semantic) flagging: an OPTIONAL agentive marker le (= ni in Nujiang/Ninglang/Dechang, tche in Lipo) flags A and, for emphasis, agentive-S (Sa); an OPTIONAL object marker te (= the in Lipo) flags O and patient-S (Sp). Marking favored when an object is present / for disambiguation. NOTE: this is the agentive 'ergative-side' marker, not canonical ergative-absolutive (le also reaches Sa), so coding 1 reflects the agentive/split-S pattern under the existential reading; downgrade if the project requires A-only ergative.",1
lisu1250,Lisu,Trans-Himalayan,GB409_3,Is there ergative alignment of flagging on second person pronouns?,?,,No examples or descriptions of ergative alignment with second person pronouns were found,corrected: resolved ?->1,"Was unresolved '?'. DECISIVE evidence: ex.74 (p.192) 'lokw na nu le ti-tshy...' = 'you broke the bowl', glossed 2SG.A -- 2nd person pronoun nu takes the agentive marker le as transitive A. Lisu (Yu 2007 sec.4.2, pp.82-83) has split-S/agentive (semantic) flagging: an OPTIONAL agentive marker le (= ni in Nujiang/Ninglang/Dechang, tche in Lipo) flags A and, for emphasis, agentive-S (Sa); an OPTIONAL object marker te (= the in Lipo) flags O and patient-S (Sp). Marking favored when an object is present / for disambiguation. NOTE: this is the agentive 'ergative-side' marker, not canonical ergative-absolutive (le also reaches Sa), so coding 1 reflects the agentive/split-S pattern under the existential reading; downgrade if the project requires A-only ergative.",1
lisu1250,Lisu,Trans-Himalayan,GB409_4,Is there ergative alignment of flagging on third person pronouns?,?,,No examples or descriptions of ergative alignment with third person pronouns were found,corrected: resolved ?->1,"Was unresolved '?'. DECISIVE evidence: narrative ex. (p.244, Nujiang) 'Ji ni nua...' glossed 3SG.A -- 3rd person pronoun Ji takes the agentive marker (ni, the Nujiang/Ninglang form of le) as transitive A. Lisu (Yu 2007 sec.4.2, pp.82-83) has split-S/agentive (semantic) flagging: an OPTIONAL agentive marker le (= ni in Nujiang/Ninglang/Dechang, tche in Lipo) flags A and, for emphasis, agentive-S (Sa); an OPTIONAL object marker te (= the in Lipo) flags O and patient-S (Sp). Marking favored when an object is present / for disambiguation. NOTE: this is the agentive 'ergative-side' marker, not canonical ergative-absolutive (le also reaches Sa), so coding 1 reflects the agentive/split-S pattern under the existential reading; downgrade if the project requires A-only ergative.",1
lisu1250,Lisu,Trans-Himalayan,GB409_5,Is there ergative alignment of flagging on full NPs?,1,Yu 2007: 82,"Copulative clause described as intransitive: ""ja ʐa tɛ na tia ma"" - His/her grandmother is ill",corrected: identity Lisu; evidence replaced; verified 1,"Identity corrected (Lisu, lisu1250). Original evidence ('grandmother is ill', intransitive + te) showed Sp, not ergative A. CORRECT evidence: full-NP agents take agentive le/ni -- ex.3a 'ma le' (mother-A, p.82), ex.2 'ana le/ni' (dog-A, pp.81-82), and cow 'ani le' / tiger 'la?ma le' (sec.5.11, p.178). Lisu (Yu 2007 sec.4.2, pp.82-83) has split-S/agentive (semantic) flagging: an OPTIONAL agentive marker le (= ni in Nujiang/Ninglang/Dechang, tche in Lipo) flags A and, for emphasis, agentive-S (Sa); an OPTIONAL object marker te (= the in Lipo) flags O and patient-S (Sp). Marking favored when an object is present / for disambiguation. NOTE: this is the agentive 'ergative-side' marker, not canonical ergative-absolutive (le also reaches Sa), so coding 1 reflects the agentive/split-S pattern under the existential reading; downgrade if the project requires A-only ergative.",1
lisu1250,Lisu,Trans-Himalayan,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,1,Yu 2007: 82,"Copulative clause described as intransitive: ""ja ʐa tɛ na tia ma"" - His/her grandmother is ill (durative: tia)",,,1
lisu1250,Lisu,Trans-Himalayan,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,1,Yu 2007: 82,"Copulative clause described as intransitive: ""ŋa tɛ katɕhi ʂʅ o"" - I am really happy",,,1
lisu1250,Lisu,Trans-Himalayan,GB409_8,Is there ergative alignment of flagging in the past tense?,?,,No examples or descriptions of ergative alignment of flagging in the past tense were found,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
lisu1250,Lisu,Trans-Himalayan,GB409_9,Is there ergative alignment of flagging in non-past tenses?,1,Yu 2007: 82,"Copulative clause described as intransitive: ""ŋa tɛ katɕhi ʂʅ o"" - I am really happy",,,1
lisu1250,Lisu,Trans-Himalayan,GB409_10,Is there ergative alignment of flagging in the indicative mood?,1,Yu 2007: 82,"Copulative clause described as intransitive: ""ŋa tɛ katɕhi ʂʅ o"" - I am really happy",,,1
