Glottocode,Language,Family,Ergon_ID,Feature,Comment,Source_comment,Value
fasu1242,Fasu,Trans-New Guinea,GB409_1,Is there an overt marker for the absolutive?,,"Loeweke & May, 1980, p. 50",0
fasu1242,Fasu,Trans-New Guinea,GB409_2,Is there ergative alignment of flagging on first person pronouns?,,,?
fasu1242,Fasu,Trans-New Guinea,GB409_3,Is there ergative alignment of flagging on second person pronouns?,,,?
fasu1242,Fasu,Trans-New Guinea,GB409_4,Is there ergative alignment of flagging on third person pronouns?,,"Loeweke & May, 1980, p. 50",1
fasu1242,Fasu,Trans-New Guinea,GB409_5,Is there ergative alignment of flagging on full NPs?,,,?
fasu1242,Fasu,Trans-New Guinea,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,,,?
fasu1242,Fasu,Trans-New Guinea,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,,,?
fasu1242,Fasu,Trans-New Guinea,GB409_8,Is there ergative alignment of flagging in the past tense?,,,?
fasu1242,Fasu,Trans-New Guinea,GB409_9,Is there ergative alignment of flagging in non-past tenses?,,,?
fasu1242,Fasu,Trans-New Guinea,GB409_10,Is there ergative alignment of flagging in the indicative mood?,,,?
fasu1242,Fasu,Trans-New Guinea,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,,,?
fasu1242,Fasu,Trans-New Guinea,GB409_12,Is there ergative alignment of flagging in the realis status?,,,?
fasu1242,Fasu,Trans-New Guinea,GB409_13,Is there ergative alignment of flagging in the irrealis status?,,,?
fasu1242,Fasu,Trans-New Guinea,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,,,?
fasu1242,Fasu,Trans-New Guinea,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,,,?
fasu1242,Fasu,Trans-New Guinea,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,,,?
fasu1242,Fasu,Trans-New Guinea,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?,,,?
fasu1242,Fasu,Trans-New Guinea,GB409_18,Is there ergative alignment of flagging in the context of an animate A?,,"Loeweke & May, 1980, p. 50",1
fasu1242,Fasu,Trans-New Guinea,GB409_19,Is there ergative alignment of flagging in the context of an inanimate A?,,,?
fasu1242,Fasu,Trans-New Guinea,GB409_20,Is there ergative alignment of flagging in main clauses?,,"Loeweke & May, 1980, p. 50",1
fasu1242,Fasu,Trans-New Guinea,GB409_21,Is there ergative alignment of flagging in non-main clauses?,,,?
fasu1242,Fasu,Trans-New Guinea,GB409_22,Is ergative alignment of flagging conditioned by any other factor?,,,?
fasu1242,Fasu,Trans-New Guinea,GB409_23,Are the ergative and the genitive expressed by the same marker?,,,?
fasu1242,Fasu,Trans-New Guinea,GB409_24,Are the ergative and the instrumental/comitative expressed by the same marker?,,,?
