ID,Language_ID,Parameter_ID,Value,Source,Comment
1,aben1249,GB409_1,1,Nitsch 2009: 1-5,"Overt ABS markers: particles ye/ti for NPs, Class I pronouns (ako, ka, ya, hila) for persons (Chart 1, p.1; Chart 2, p.3)."
2,aben1249,GB409_2,1,"Nitsch 2009: 1-4, 6",Class I (ABS): ako (1sg); Class II (ERG): ko. Clear ABS/ERG distinction on 1st person pronouns.
3,aben1249,GB409_3,1,"Nitsch 2009: 1-5, 19",Class I (ABS): ka (2sg); Class II (ERG): mo. Clear ABS/ERG distinction.
4,aben1249,GB409_4,1,"Nitsch 2009: 1-5, 7","Class I (ABS): ya (3sg), hila (3pl); Class II (ERG): na (3sg), la (3pl). Clear ABS/ERG distinction."
5,aben1249,GB409_5,1,"Nitsch 2009: 1, 5",ABS particle ye/ti vs. ERG particle nin/ne for full NPs; consistent ERG alignment on full NPs.
6,aben1249,GB409_6,1,"Nitsch 2009: 4-5, 24",ERG alignment in progressive/imperfective aspect (aN- prefix); agent takes Class II (ERG).
7,aben1249,GB409_7,1,"Nitsch 2009: 12, 24",ERG alignment in perfective aspect (-in- infix); agent takes Class II (ERG).
8,aben1249,GB409_8,1,"Nitsch 2009: 12, 21",Past events (na- prefix) maintain ERG alignment.
9,aben1249,GB409_9,1,"Nitsch 2009: 4-5, 23",Non-past/future (m- prefix) clauses maintain ERG alignment.
10,aben1249,GB409_10,1,"Nitsch 2009: 1, 3-5, 12",Indicative declaratives consistently show ERG alignment.
11,aben1249,GB409_11,1,"Nitsch 2009: 1, 3, 5, 12, 19",Imperatives and other non-indicative forms maintain ERG alignment.
12,aben1249,GB409_12,1,"Nitsch 2009: 5, 12, 23",Completed/realis clauses maintain ERG alignment.
13,aben1249,GB409_13,1,"Nitsch 2009: 5, 7, 12, 19","Irrealis (future, imperative, purpose) maintains ERG alignment."
14,aben1249,GB409_14,1,"Nitsch 2009: 5, 7, 12",Agentive A (volitional actors) takes Class II (ERG) pronouns or ERG particle nin.
15,aben1249,GB409_15,?,Nitsch 2009: in passim,Source does not discuss non-agentive/experiencer A; insufficient data to determine.
16,aben1249,GB409_16,0,"Nitsch 2009: 4, 6, 9","In Philippine-type system, topical argument is always in ABS; A is always non-topical and ERG. GB409_16=0 is the canonical pattern."
17,aben1249,GB409_17,1,"Nitsch 2009: 1, 3, 5-6",Non-topical A takes nin/Class II (ERG) consistently in all transitive examples.
18,aben1249,GB409_18,1,"Nitsch 2009: 4-5, 12",All animate A in examples take ERG case.
19,aben1249,GB409_19,?,Nitsch 2009: in passim,No examples of inanimate A in this source; insufficient data.
20,aben1249,GB409_20,1,"Nitsch 2009: 1, 3-5",Main clauses consistently show ERG alignment.
21,aben1249,GB409_21,1,"Nitsch 2009: 6, 19","Subordinate clauses maintain ERG alignment (p.6, 19)."
22,aben1249,GB409_22,1,Nitsch 2009: 6,"Personal demonstrative pronouns never take ERG because their inherent definiteness requires them to be the absolutive argument (§1.3.1, p.6). Definiteness-based conditioning of ERG."
23,aben1249,GB409_23,1,"Nitsch 2009: 1-3, 5",Chart 1 (p.1) labels nin as 'ERG/GEN'; Class II pronouns used for both agent (ERG) and possessive (GEN) functions (pp.9-10).
24,aben1249,GB409_24,1,Nitsch 2009: 23,"Instrumental adverbs are case-marked with nin (the ERG/GEN marker): antoyhoken lan etak 'they are stabbing with machete' where etak (machete) = instrument marked with nin (§3.2.4, p.23)."
25,adny1235,GB409_1,0,Schebeck 1974: 2,There is no explicit marker for the absolutive case.
26,adny1235,GB409_2,1,"Schebeck 1974: 10, 22","A split ergativity system is presented. In the singular, the first-person pronoun follows an ergative pattern. However, in the dual and plural forms, the pronouns follow a nominative-accusative pattern."
27,adny1235,GB409_3,1,"Schebeck 1974: 10, 26","A split ergativity system is presented. In the singular, the first-person pronoun follows an ergative pattern. However, in the dual and plural forms, the pronouns follow a nominative-accusative pattern."
28,adny1235,GB409_4,1,"Schebeck 1974: 10, 31","A split ergativity system is presented. In the singular, the first-person pronoun follows an ergative pattern. However, in the dual and plural forms, the pronouns follow a nominative-accusative pattern."
29,adny1235,GB409_5,1,Schebeck 1974: 2-3,"The argument A is marked with the ergative suffixes -qa or -lu, while the arguments S and P are marked with a zero suffix (Ø)."
30,adny1235,GB409_6,1,"Schebeck 1974: 3, 9, 26",Ergative alignment is maintained regardless of the verbal aspect.
31,adny1235,GB409_7,1,"Schebeck 1974: 3, 22, 28",Ergative alignment is maintained in the perfective aspect.
32,adny1235,GB409_8,1,"Schebeck 1974: 3, 22, 25, 26, 28",Verbal suffixes indicating past tense do not affect the ergative-absolutive case marking system in noun phrases.
33,adny1235,GB409_9,1,"Schebeck 1974: 22, 25","Ergative alignment holds in non-past tenses, such as the present and the future/hypothetical."
34,adny1235,GB409_10,1,Schebeck 1974: 2-3,The indicative mood uses ergative-absolutive alignment.
35,adny1235,GB409_11,1,"Schebeck 1974: 22, 26",Ergative alignment is maintained in non-indicative moods such as the cohortative and imperative.
36,adny1235,GB409_12,1,"Schebeck 1974: 2-3, 28",Ergative alignment is the default system for declarative clauses that describe real events (status realis).
37,adny1235,GB409_13,1,"Schebeck 1974: 22, 26, 46",Ergative alignment is maintained in irrealis contexts.
38,adny1235,GB409_14,1,Schebeck 1974: 2-3,Ergative alignment is maintained in clauses with an agentive argument A.
39,adny1235,GB409_15,1,Schebeck 1974: 3,Ergative alignment holds even for non-agentive A arguments.
40,adny1235,GB409_16,1,"Schebeck 1974: 3, 10",The ergative alignment is clear and holds for A arguments that are topical or the main focus of the sentence.
41,adny1235,GB409_17,1,"Schebeck 1974: 3, 35",Ergative alignment holds even when argument A is not the topic of the sentence.
42,adny1235,GB409_18,1,Schebeck 1974: 2-3,Ergative alignment is maintained when argument A is animate.
43,adny1235,GB409_19,1,Schebeck 1974: 3,Ergative alignment is maintained when argument A is inanimate.
44,adny1235,GB409_20,1,Schebeck 1974: 2-3,"In the main clauses, the alignment is ergative-absolutive."
45,adny1235,GB409_21,1,"Schebeck 1974: 2-3, 46-47",Ergative alignment is maintained in non-main (subordinate) clauses.
46,adny1235,GB409_22,1,"Schebeck 1974: 2-3, 10","Alignment is primarily determined by pronominality and number, demonstrating a split ergativity system."
47,adny1235,GB409_23,0,"Schebeck 1974: 3, 5-6",The marker used for the ergative and the marker for the genitive do not have the same form.
48,adny1235,GB409_24,1,Schebeck 1974: 3- 4,The ergative case has the same mark as the instrumental and comitative marker.
49,aghu1254,GB409_1,0,"Jolly 1989: 54-55, 95",There is no explicit marker for the absolutive case.
50,aghu1254,GB409_2,0,"Jolly 1989: 49, 62, 167, 174","First-person pronouns do not have an ergative pattern, but rather a nominative-accusative pattern. It also has a split ergativity system, where nouns follow an ergative-absolutive pattern and pronouns a nominative-accusative pattern."
51,aghu1254,GB409_3,0,"Jolly 1989: 62, 167-168",Second-person pronouns follow a nominative-accusative pattern.
52,aghu1254,GB409_4,0,"Jolly 1989: 62, 76, 95","Third-person pronouns follow a nominative-accusative pattern, unlike nouns."
53,aghu1254,GB409_5,1,Jolly 1989: 51,"Full NP's  display ergative-absolutive alignment. The argument A is marked with the ergative case, while the arguments S and P remain unmarked."
54,aghu1254,GB409_6,1,Jolly 1989: 70,The ergative alignment is maintained in the imperfective aspect.
55,aghu1254,GB409_7,1,"Jolly 1989: 70, 151, 165",The ergative alignment is maintained in the perfective aspect.
56,aghu1254,GB409_8,1,"Jolly 1989: 71, 151, 165","Ergative alignment is maintained in clauses in the past tense. This is expressed by the suffix -n for ""non-future"" (which covers both the present and the past)."
57,aghu1254,GB409_9,1,"Jolly 1989: 71, 166, 170",Ergative alignment is maintained in non-past tense clauses (present and future).
