Glottocode,Language,Family,Ergon_ID,Feature,Value,Source_comment,Comment,curated,curated_comment,final_value
bayb1234,Utudnon,Austronesian,GB409_1,Is there an overt marker for the absolutive?,1,Rubino 2005: 316-317,There is an explicit marker for the absolutive case.,,"All 24 features correctly annotated as 1. Utudnon (= Baybayanon, ISO bvy) is a Philippine Austronesian language with a classic voice/focus (trigger) system. All grammatical contexts show ergative-absolutive alignment according to Rubino (2005). Ergative and genitive share the marker 'ni'; ergative and instrumental also coincide (GB409_23=1, GB409_24=1). Glottocode bayb1234 is correct from the start; the previously proposed utud1238 does not exist in Glottolog.",1
bayb1234,Utudnon,Austronesian,GB409_2,Is there ergative alignment of flagging on first person pronouns?,1,"Rubino 2005: 312, 315",First-person pronouns follow an ergative alignment pattern.,,,1
bayb1234,Utudnon,Austronesian,GB409_3,Is there ergative alignment of flagging on second person pronouns?,1,"Rubino 2005: 312, 315",Second-person pronouns follow an ergative alignment pattern.,,,1
bayb1234,Utudnon,Austronesian,GB409_4,Is there ergative alignment of flagging on third person pronouns?,1,"Rubino 2005: 312, 316",Third-person pronouns follow an ergative alignment pattern.,,,1
bayb1234,Utudnon,Austronesian,GB409_5,Is there ergative alignment of flagging on full NPs?,1,"Rubino 2005: 316-317, 320",Full NP's exhibit ergative alignment.,,,1
bayb1234,Utudnon,Austronesian,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,1,"Rubino 2005: 320-321, 326",Clauses with imperfective aspect exhibit ergative alignment.,,,1
bayb1234,Utudnon,Austronesian,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,1,Rubino 2005: 320,Clauses with perfective aspect exhibit ergative alignment.,,,1
bayb1234,Utudnon,Austronesian,GB409_8,Is there ergative alignment of flagging in the past tense?,1,"Rubino 2005: 312, 319-320",Past-tense clauses exhibit ergative alignment.,,,1
bayb1234,Utudnon,Austronesian,GB409_9,Is there ergative alignment of flagging in non-past tenses?,1,"Rubino 2005: 320-321, 326",Clauses in non-past tense exhibit ergative alignment.,,,1
bayb1234,Utudnon,Austronesian,GB409_10,Is there ergative alignment of flagging in the indicative mood?,1,"Rubino 2005: 312, 319-320",Clauses in indicative mode show an ergative alignment.,,,1
bayb1234,Utudnon,Austronesian,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,1,"Rubino 2005: 320-321, 326",Clauses in non-indicative mode show an ergative alignment.,,,1
bayb1234,Utudnon,Austronesian,GB409_12,Is there ergative alignment of flagging in the realis status?,1,Rubino 2005: 320,Clauses with realis status show ergative alignment.,,,1
bayb1234,Utudnon,Austronesian,GB409_13,Is there ergative alignment of flagging in the irrealis status?,1,"Rubino 2005: 315, 320-321, 326",Clauses with irrealis status show ergative alignment.,,,1
bayb1234,Utudnon,Austronesian,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,1,"Rubino 2005: 312, 320","In the context of an agentive A argument, ergative alignment is observed.",,,1
bayb1234,Utudnon,Austronesian,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,1,"Rubino 2005: 320, 326","In the context of a non-agentive argument A, ergative alignment is observed.",,,1
bayb1234,Utudnon,Austronesian,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,1,"Rubino 2005: 312, 320-321","In the context of a topical A, ergative alignment is shown.",,,1
bayb1234,Utudnon,Austronesian,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?,1,"Rubino 2005: 317, 320","In the context of a topical A, ergative alignment is shown.",,,1
bayb1234,Utudnon,Austronesian,GB409_18,Is there ergative alignment of flagging in the context of an animate A?,1,"Rubino 2005: 312, 317, 320",Clauses with animated A arguments exhibit ergative alignment.,,,1
bayb1234,Utudnon,Austronesian,GB409_19,Is there ergative alignment of flagging in the context of an inanimate A?,1,Rubino 2005: 316-317,Clauses with non-animated A arguments exhibit ergative alignment.,,,1
bayb1234,Utudnon,Austronesian,GB409_20,Is there ergative alignment of flagging in main clauses?,1,"Rubino 2005: 312, 320",Main clauses exhibit ergative alignment.,,,1
bayb1234,Utudnon,Austronesian,GB409_21,Is there ergative alignment of flagging in non-main clauses?,1,"Rubino 2005: 315, 324, 326",Non-main clauses exhibit ergative alignment.,,,1
bayb1234,Utudnon,Austronesian,GB409_22,Is ergative alignment of flagging conditioned by any other factor?,1,"Rubino 2005: 317, 320",Ergative marking is conditioned by the definiteness of the argument P.,,,1
bayb1234,Utudnon,Austronesian,GB409_23,Are the ergative and the genitive expressed by the same marker?,1,"Rubino 2005: 316-317, 320",The ergative case has the same mark as the genitive marker.,,,1
bayb1234,Utudnon,Austronesian,GB409_24,Are the ergative and the instrumental/comitative expressed by the same marker?,1,"Rubino 2005: 312, 317, 320","The ergative case has the same mark as the instrumental marker, but there is no information about the comitative one.",,,1
