Glottocode,Language,Family,Ergon_ID,Source_comment,Value,Comment,curated,curated_comment,final_value
iwam1256,Iwam,Sepik,GB409_1,"Conrad, 1971, p. 13",0,,,,0
iwam1256,Iwam,Sepik,GB409_2,"Conrad, 1993",0,,,,0
iwam1256,Iwam,Sepik,GB409_3,"Conrad, 1993",0,,,,0
iwam1256,Iwam,Sepik,GB409_4,"Conrad, 1993",0,,,,0
iwam1256,Iwam,Sepik,GB409_5,"Conrad, 1993, p. 22",1,,,,1
iwam1256,Iwam,Sepik,GB409_6,"Conrad, 1993, p. 22",1,,,,1
iwam1256,Iwam,Sepik,GB409_7,"Conrad, 1993, p. 22",1,,,,1
iwam1256,Iwam,Sepik,GB409_8,"Conrad, 1993, p. 22",1,,,,1
iwam1256,Iwam,Sepik,GB409_9,"Conrad, 1993, p. 22",1,en presente,,,1
iwam1256,Iwam,Sepik,GB409_10,"Conrad, 1993, p. 22",1,,,,1
iwam1256,Iwam,Sepik,GB409_11,,?,,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
iwam1256,Iwam,Sepik,GB409_12,"Conrad, 1993, p. 22",1,,,,1
iwam1256,Iwam,Sepik,GB409_13,"Conrad, 1993, p. 22",0,,,,0
iwam1256,Iwam,Sepik,GB409_14,"Conrad, 1993, p. 22",1,,,,1
iwam1256,Iwam,Sepik,GB409_15,"Conrad, 1993, p. 22",0,,,,0
iwam1256,Iwam,Sepik,GB409_16,"Conrad, 1993, p. 22",0,,,,0
iwam1256,Iwam,Sepik,GB409_17,"Conrad, 1993, p. 22",1,,,,1
iwam1256,Iwam,Sepik,GB409_18,"Conrad, 1993, p. 22",1,,,,1
iwam1256,Iwam,Sepik,GB409_19,"Conrad, 1993, p. 22",1,,,,1
iwam1256,Iwam,Sepik,GB409_20,"Conrad, 1993, p. 22",1,,,,1
iwam1256,Iwam,Sepik,GB409_21,,?,,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
iwam1256,Iwam,Sepik,GB409_22,"Conrad, 1999",1,El marcador ki es obligatorio solo cuando el objeto precede al sujeto.,,,1
iwam1256,Iwam,Sepik,GB409_23,"Conrad, 1993, p. 22",0,,,,0
iwam1256,Iwam,Sepik,GB409_24,"Conrad, 1993, p. 22",0,,,,0
