Glottocode,Language,Family,Ergon_ID,Feature,Value,Source,Comment,,,,,,,,,,,,,,,,,,,,,
nhan1238,Nhanda,Pama-Nyungan,GB409_1,Is there an overt marker for the absolutive?,1,"Blevins, 2001, p. 120-121, 72-73, ","No se marca cuando son frases intransitivas nominales. Se marca en los demostrativos flexionados, en los interrogativos y en los indefinidos",,,,,,,,,,,,,,,,,,,,,
nhan1238,Nhanda,Pama-Nyungan,GB409_2,Is there ergative alignment of flagging on first person pronouns?,1,"Blevins, 2001, p. 56","intransitivo, marcas ABS",,,,,,,,,,,,,,,,,,,,,
nhan1238,Nhanda,Pama-Nyungan,GB409_3,Is there ergative alignment of flagging on second person pronouns?,1,"Blevins, 2001, p. 57",en frase transitiva solo se marca ABS y no la marca de ergativo,,,,,,,,,,,,,,,,,,,,,
nhan1238,Nhanda,Pama-Nyungan,GB409_4,Is there ergative alignment of flagging on third person pronouns?,1,"Blevins, 2001, p. 63",,,,,,,,,,,,,,,,,,,,,,
nhan1238,Nhanda,Pama-Nyungan,GB409_5,Is there ergative alignment of flagging on full NPs?,1,"Blevins, 2001, p. 130",,,,,,,,,,,,,,,,,,,,,,
nhan1238,Nhanda,Pama-Nyungan,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,1,"Blevins, 2001, p. 103",,,,,,,,,,,,,,,,,,,,,,
nhan1238,Nhanda,Pama-Nyungan,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,1,"Blevins, 2001, p. 103",,,,,,,,,,,,,,,,,,,,,,
nhan1238,Nhanda,Pama-Nyungan,GB409_8,Is there ergative alignment of flagging in the past tense?,1,"Blevins, 2001, p. 134",,,,,,,,,,,,,,,,,,,,,,
nhan1238,Nhanda,Pama-Nyungan,GB409_9,Is there ergative alignment of flagging in non-past tenses?,1,"Blevins, 2001, p. 103",,,,,,,,,,,,,,,,,,,,,,
nhan1238,Nhanda,Pama-Nyungan,GB409_10,Is there ergative alignment of flagging in the indicative mood?,1,"Blevins, 2001, p. 103",,,,,,,,,,,,,,,,,,,,,,
nhan1238,Nhanda,Pama-Nyungan,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,1,"Blevins, 2001, p. 130",,,,,,,,,,,,,,,,,,,,,,
nhan1238,Nhanda,Pama-Nyungan,GB409_12,Is there ergative alignment of flagging in the realis status?,1,"Blevins, 2001, p. 103",,,,,,,,,,,,,,,,,,,,,,
nhan1238,Nhanda,Pama-Nyungan,GB409_13,Is there ergative alignment of flagging in the irrealis status?,1,"Blevins, 2001, p. 132",,,,,,,,,,,,,,,,,,,,,,
nhan1238,Nhanda,Pama-Nyungan,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,1,"Blevins, 2001, p. 103",,,,,,,,,,,,,,,,,,,,,,
nhan1238,Nhanda,Pama-Nyungan,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,?,,,,,,,,,,,,,,,,,,,,,,,
nhan1238,Nhanda,Pama-Nyungan,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,1,"Blevins, 2001, p. 103",,,,,,,,,,,,,,,,,,,,,,
nhan1238,Nhanda,Pama-Nyungan,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?,?,,,,,,,,,,,,,,,,,,,,,,,
nhan1238,Nhanda,Pama-Nyungan,GB409_18,Is there ergative alignment of flagging in the context of an animate A?,1,"Blevins, 2001, p. 103",,,,,,,,,,,,,,,,,,,,,,
nhan1238,Nhanda,Pama-Nyungan,GB409_19,Is there ergative alignment of flagging in the context of an inanimate A?,1,"Blevins, 2001, p. 115",,,,,,,,,,,,,,,,,,,,,,
nhan1238,Nhanda,Pama-Nyungan,GB409_20,Is there ergative alignment of flagging in main clauses?,1,"Blevins, 2001, p. 103",,,,,,,,,,,,,,,,,,,,,,
nhan1238,Nhanda,Pama-Nyungan,GB409_21,Is there ergative alignment of flagging in non-main clauses?,?,,,,,,,,,,,,,,,,,,,,,,,
nhan1238,Nhanda,Pama-Nyungan,GB409_22,Is ergative alignment of flagging conditioned by any other factor?,?,,,,,,,,,,,,,,,,,,,,,,,
nhan1238,Nhanda,Pama-Nyungan,GB409_23,Are the ergative and the genitive expressed by the same marker?,1,"Blevins, 2001, p. 72-74",,,,,,,,,,,,,,,,,,,,,,
nhan1238,Nhanda,Pama-Nyungan,GB409_24,Are the ergative and the instrumental/comitative expressed by the same marker?,1,"Blevins, 2001, p. 151-152",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nhan1238,Nhanda,Pama-Nyungan,all,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
