Glottocode,Language,Family,Ergon_ID,Feature,Value,Source,Comment,
dier1241,Dieri,Pama-Nyungan,GB409_1,Is there an overt marker for the absolutive?,1,Austin 2021:57,"Absolutive in common nouns is unmarked, but -nha is added to male personal names",
dier1241,Dieri,Pama-Nyungan,GB409_2,Is there ergative alignment of flagging on first person pronouns?,1,Austin 2021:56-57,There is a split based on singular vs. non-singular 1st and 2nd pronouns. See table 3.2,
dier1241,Dieri,Pama-Nyungan,GB409_3,Is there ergative alignment of flagging on second person pronouns?,1,Austin 2021:56-57,There is a split based on singular vs. non-singular 1st and 2nd pronouns. See table 3.2,
dier1241,Dieri,Pama-Nyungan,GB409_4,Is there ergative alignment of flagging on third person pronouns?,1,Austin 2021:120,See example (181).,
dier1241,Dieri,Pama-Nyungan,GB409_5,Is there ergative alignment of flagging on full NPs?,1,Austin 2021:48; 124,See example (200).,
dier1241,Dieri,Pama-Nyungan,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,1,Austin 2021:in passim,"The grammar exhaustively describes splits in case marking and alignments in the language, there is no mention nor evidence of a split based on aspect.",
dier1241,Dieri,Pama-Nyungan,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,1,Austin 2021:in passim,"The grammar exhaustively describes splits in case marking and alignments in the language, there is no mention nor evidence of a split based on aspect.",
dier1241,Dieri,Pama-Nyungan,GB409_8,Is there ergative alignment of flagging in the past tense?,1,Austin 2021:131,See example (233).,
dier1241,Dieri,Pama-Nyungan,GB409_9,Is there ergative alignment of flagging in non-past tenses?,1,Austin 2021:122,See example (188-189).,
dier1241,Dieri,Pama-Nyungan,GB409_10,Is there ergative alignment of flagging in the indicative mood?,1,Austin 2021:123,See example (195).,
dier1241,Dieri,Pama-Nyungan,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,1,Austin 2021:174,See example (406).,
dier1241,Dieri,Pama-Nyungan,GB409_12,Is there ergative alignment of flagging in the realis status?,1,Austin 2021:,No mention nor evidence of an realis-irrealis split in case marking.,
dier1241,Dieri,Pama-Nyungan,GB409_13,Is there ergative alignment of flagging in the irrealis status?,1,Austin 2021:,No mention nor evidence of an realis-irrealis split in case marking.,
dier1241,Dieri,Pama-Nyungan,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,1,Austin 2021:124,No mention nor evidence of an realis-irrealis split in case marking. See example (200).,
dier1241,Dieri,Pama-Nyungan,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,1,Austin 2021:123,No mention nor evidence of an realis-irrealis split in case marking. See example (195).,
dier1241,Dieri,Pama-Nyungan,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,1,Austin 2021:in passim,"The grammar exhaustively describes splits in case marking and alignments in the language, there is no mention nor evidence of a split based on the topicality of the A argument.",
dier1241,Dieri,Pama-Nyungan,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?,1,Austin 2021:in passim,"The grammar exhaustively describes splits in case marking and alignments in the language, there is no mention nor evidence of a split based on the topicality of the A argument.",
dier1241,Dieri,Pama-Nyungan,GB409_18,Is there ergative alignment of flagging in the context of an animate A?,1,Austin 2021:122,See example (188).,
dier1241,Dieri,Pama-Nyungan,GB409_19,Is there ergative alignment of flagging in the context of an inanimate A?,1,Austin 2021:122,See example (189).,
dier1241,Dieri,Pama-Nyungan,GB409_20,Is there ergative alignment of flagging in main clauses?,1,Austin 2021:122,See example (188-189).,
dier1241,Dieri,Pama-Nyungan,GB409_21,Is there ergative alignment of flagging in non-main clauses?,1,Austin 2021:in passim,"The grammar exhaustively describes splits in case marking and alignments in the language, there is no mention nor evidence of a split based on non-main clauses",
dier1241,Dieri,Pama-Nyungan,GB409_22,Is ergative alignment of flagging conditioned by any other factor?,1,Austin 2021:56-57,"There are splits based on number, personal nouns vs. common nouns, and gender. See table 3.2.",
dier1241,Dieri,Pama-Nyungan,GB409_23,Are the ergative and the genitive expressed by the same marker?,,Austin 2021:,,
dier1241,Dieri,Pama-Nyungan,GB409_24,Are the ergative and the instrumental/comitative expressed by the same marker?,1,Austin 2021:121,"""Nominal phrases marked for the ergative case appear in two main syntactic functions, namely as the subject (A) of a transitive or ditransitive verb, or as an instrumental.""",
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
