Glottocode,Language,Family,Ergon_ID,Feature,Value,Source,Comment,,,
dyan1250,Dhanggati,Pama-Nyungan,GB409_1,Is there an overt marker for the absolutive?,0,Lissarrague 2007:11,Unmarked.,,,
dyan1250,Dhanggati,Pama-Nyungan,GB409_2,Is there ergative alignment of flagging on first person pronouns?,0,Lissarrague 2007:21,Pronouns follow a nominative-accusative pattern.,,,
dyan1250,Dhanggati,Pama-Nyungan,GB409_3,Is there ergative alignment of flagging on second person pronouns?,0,Lissarrague 2007:21,Pronouns follow a nominative-accusative pattern.,,,
dyan1250,Dhanggati,Pama-Nyungan,GB409_4,Is there ergative alignment of flagging on third person pronouns?,0,Lissarrague 2007:21,Pronouns follow a nominative-accusative pattern.,,,
dyan1250,Dhanggati,Pama-Nyungan,GB409_5,Is there ergative alignment of flagging on full NPs?,1,Lissarrague 2007:12,"See examples (4), (5).",,,
dyan1250,Dhanggati,Pama-Nyungan,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,1,Lissarrague 2007:45-46,"See examples (192), (194).",,,
dyan1250,Dhanggati,Pama-Nyungan,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,1,Lissarrague 2007:25,See example (77).,,,
dyan1250,Dhanggati,Pama-Nyungan,GB409_8,Is there ergative alignment of flagging in the past tense?,1,Lissarrague 2007:25,See example (77).,,,
dyan1250,Dhanggati,Pama-Nyungan,GB409_9,Is there ergative alignment of flagging in non-past tenses?,1,Lissarrague 2007:45,See example (189).,,,
dyan1250,Dhanggati,Pama-Nyungan,GB409_10,Is there ergative alignment of flagging in the indicative mood?,1,Lissarrague 2007:12,"See examples (4), (5).",,,
dyan1250,Dhanggati,Pama-Nyungan,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,1,Lissarrague 2007:48,See example (214).,,,
dyan1250,Dhanggati,Pama-Nyungan,GB409_12,Is there ergative alignment of flagging in the realis status?,1,Lissarrague 2007:12,"See examples (4), (5).",,,
dyan1250,Dhanggati,Pama-Nyungan,GB409_13,Is there ergative alignment of flagging in the irrealis status?,1,Lissarrague 2007:48,See example (214).,,,
dyan1250,Dhanggati,Pama-Nyungan,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,1,Lissarrague 2007:12,"See examples (4), (5).",,,
dyan1250,Dhanggati,Pama-Nyungan,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,1,Lissarrague 2007:85,See example (444).,,,
dyan1250,Dhanggati,Pama-Nyungan,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,?,Lissarrague 2007:in passim,The grammar describes case marking and alingments in the language but there is no mention nor evidence of a split based on the topicality of the A argument.,,,
dyan1250,Dhanggati,Pama-Nyungan,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?,?,Lissarrague 2007:in passim,The grammar describes case marking and alingments in the language but there is no mention nor evidence of a split based on the topicality of the A argument.,,,
dyan1250,Dhanggati,Pama-Nyungan,GB409_18,Is there ergative alignment of flagging in the context of an animate A?,1,Lissarrague 2007:12,"See examples (4), (5).",,,
dyan1250,Dhanggati,Pama-Nyungan,GB409_19,Is there ergative alignment of flagging in the context of an inanimate A?,1,Lissarrague 2007:25,"See examples (71), (72).",,,
dyan1250,Dhanggati,Pama-Nyungan,GB409_20,Is there ergative alignment of flagging in main clauses?,1,Lissarrague 2007:12,"See examples (4), (5).",,,
dyan1250,Dhanggati,Pama-Nyungan,GB409_21,Is there ergative alignment of flagging in non-main clauses?,1,Lissarrague 2007:71,See example (351).,,,
dyan1250,Dhanggati,Pama-Nyungan,GB409_22,Is ergative alignment of flagging conditioned by any other factor?,0,Lissarrague 2007:10-15,,,,
dyan1250,Dhanggati,Pama-Nyungan,GB409_23,Are the ergative and the genitive expressed by the same marker?,0,Lissarrague 2007:25,,,,
dyan1250,Dhanggati,Pama-Nyungan,GB409_24,Are the ergative and the instrumental/comitative expressed by the same marker?,1,Lissarrague 2007:11,See Table 1 Nominal inflections,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
