Glottocode,Language,Family,Ergon_ID,,Source_comment,Value,Comment
kalk1246,Kalkatungu,Pama-Nyungan,GB409_1,Is there an overt marker for the absolutive?,,,
kalk1246,Kalkatungu,Pama-Nyungan,GB409_2,Is there ergative alignment of flagging on first person pronouns?,"Blake, 1979, 48",1,
kalk1246,Kalkatungu,Pama-Nyungan,GB409_3,Is there ergative alignment of flagging on second person pronouns?,"Blake, 1979, 156",1,
kalk1246,Kalkatungu,Pama-Nyungan,GB409_4,Is there ergative alignment of flagging on third person pronouns?,"Blake, 1979, 157",1,
kalk1246,Kalkatungu,Pama-Nyungan,GB409_5,Is there ergative alignment of flagging on full NPs?,"Blake, 1979",1,
kalk1246,Kalkatungu,Pama-Nyungan,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,"Blake, 1979, 86",1,
kalk1246,Kalkatungu,Pama-Nyungan,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,"Blake, 1979, 48",1,
kalk1246,Kalkatungu,Pama-Nyungan,GB409_8,Is there ergative alignment of flagging in the past tense?,"Blake, 1979, 153",1,
kalk1246,Kalkatungu,Pama-Nyungan,GB409_9,Is there ergative alignment of flagging in non-past tenses?,"Blake, 1979, 66",1,
kalk1246,Kalkatungu,Pama-Nyungan,GB409_10,Is there ergative alignment of flagging in the indicative mood?,"Blake, 1979, 48",1,
kalk1246,Kalkatungu,Pama-Nyungan,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,"Blake, 1979, 86",1,
kalk1246,Kalkatungu,Pama-Nyungan,GB409_12,Is there ergative alignment of flagging in the realis status?,"Blake, 1979, 48",1,
kalk1246,Kalkatungu,Pama-Nyungan,GB409_13,Is there ergative alignment of flagging in the irrealis status?,"Blake, 1979, 74",1,
kalk1246,Kalkatungu,Pama-Nyungan,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,"Blake, 1979, 48",1,
kalk1246,Kalkatungu,Pama-Nyungan,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,"Blake, 1979, 48",1,
kalk1246,Kalkatungu,Pama-Nyungan,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,"Blake, 1979, 48",1,
kalk1246,Kalkatungu,Pama-Nyungan,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?,"Blake, 1979, 48",1,
kalk1246,Kalkatungu,Pama-Nyungan,GB409_18,Is there ergative alignment of flagging in the context of an animate A?,"Blake, 1979, 48",1,
kalk1246,Kalkatungu,Pama-Nyungan,GB409_19,Is there ergative alignment of flagging in the context of an inanimate A?,"Blake, 1979, 114",1,
kalk1246,Kalkatungu,Pama-Nyungan,GB409_20,Is there ergative alignment of flagging in main clauses?,"Blake, 1979, 48",1,
kalk1246,Kalkatungu,Pama-Nyungan,GB409_21,Is there ergative alignment of flagging in non-main clauses?,,?,
kalk1246,Kalkatungu,Pama-Nyungan,GB409_22,Is ergative alignment of flagging conditioned by any other factor?,,?,
kalk1246,Kalkatungu,Pama-Nyungan,GB409_23,Are the ergative and the genitive expressed by the same marker?,"Blake, 1979, 23",1,
kalk1246,Kalkatungu,Pama-Nyungan,GB409_24,Are the ergative and the instrumental/comitative expressed by the same marker?,"Blake, 1979, 42",1,
