Glottocode,Language,Family,Ergon_ID,Feature,Value,Source_comment,Comment,curated,curated_comment,final_value
kara1476,Karajarri,Pama-Nyungan,GB409_1,Is there an overt marker for the absolutive?,0,McKelson 2004: 39,ABS is zero-marked; ERG suffix -lu/-ju is the only core case marker. Confirmed by McKelson Lesson 39-40.,0,"Karajarri (kara1476, ISO gbd, Pama-Nyungan, Western Australia) is a consistently ergative language per McKelson (2004). ERG suffix -lu (after vowels) / -ju (after consonants) marks transitive A; ABS is zero-marked. This replaces all original '?' annotations, which were unresolved. Source is a 40-lesson pedagogical sketch grammar, limiting resolution of several features: GB409_6-7 (aspect not grammaticalized), GB409_11 (non-indicative mood data limited), GB409_12-13 (realis/irrealis absent), GB409_15, 16, 17, 19, 21 (insufficient data in source). Features with direct evidence: GB409_2=1, GB409_3=1 (personal pronouns take -lu as transitive subjects), GB409_4=1, GB409_5=1 (full NPs), GB409_8-10=1, GB409_14=1, GB409_18=1, GB409_20=1, GB409_22=0, GB409_23=0 (GEN=-kura), GB409_24=0 (COM=pari). Glottocode kara1476 is correct.",0
kara1476,Karajarri,Pama-Nyungan,GB409_2,Is there ergative alignment of flagging on first person pronouns?,1,"McKelson 2004: 11, 39",1SG takes ERG suffix -lu when transitive subject (ngajulu); bare ngaju for intransitive S.,1,,1
kara1476,Karajarri,Pama-Nyungan,GB409_3,Is there ergative alignment of flagging on second person pronouns?,1,"McKelson 2004: 6, 39","2SG nyuntu takes -lu as transitive subject: nyuntulu kawa mayi walipikarti 'You take the tucker' (Lesson 5, p.6).",1,,1
kara1476,Karajarri,Pama-Nyungan,GB409_4,Is there ergative alignment of flagging on third person pronouns?,1,McKelson 2004: 39,"3rd person full NPs take -lu/-ju as transitive subjects: wakalalu jinkanu jurru 'the woman hit the snake' (Lesson 39, p.39). Demonstrative pronouns also take -lu in A role.",1,,1
kara1476,Karajarri,Pama-Nyungan,GB409_5,Is there ergative alignment of flagging on full NPs?,1,McKelson 2004: 39-40,"Full NPs take ERG suffix -lu (after vowels) / -ju (after consonants): wakalalu (woman-ERG), wilarrju (turtle-ERG). McKelson p.39-40 explicitly explains the rule.",1,,1
kara1476,Karajarri,Pama-Nyungan,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,?,,Aspect (perfective/imperfective) is not a grammaticalized binary morphological category in this grammar; tense distinctions (present/past/future) are present but not aspect. Category absent.,,,?
kara1476,Karajarri,Pama-Nyungan,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,?,,Same as GB409_6: perfective/imperfective aspect not grammaticalized. Category absent.,,,?
kara1476,Karajarri,Pama-Nyungan,GB409_8,Is there ergative alignment of flagging in the past tense?,1,McKelson 2004: 39,Past tense examples in Lesson 39-40 show ERG -lu/-ju on transitive subjects (jinkanu = past hit).,1,,1
kara1476,Karajarri,Pama-Nyungan,GB409_9,Is there ergative alignment of flagging in non-past tenses?,1,McKelson 2004: 39-40,No tense-based conditioning of ERG marking documented; -lu/-ju applies across tenses.,1,,1
kara1476,Karajarri,Pama-Nyungan,GB409_10,Is there ergative alignment of flagging in the indicative mood?,1,McKelson 2004: 39,All declarative/indicative examples show ERG marking on transitive A.,1,,1
