Glottocode,Language,Family,Ergon_ID,Feature,Value,Source,Comment,curated,curated_comment,final_value
aleu1260,Aleut,Eskimo-Aleut,GB409_1,Is there an overt marker for the absolutive?,1,"Bergsland and Dirks 1981: 3, 8",There is an explicit marker for the absolutive case.,,,1
aleu1260,Aleut,Eskimo-Aleut,GB409_2,Is there ergative alignment of flagging on first person pronouns?,0,"Bergsland and Dirks 1981: 13,17",First-person pronouns show a nominative-accusative alignment.,,,0
aleu1260,Aleut,Eskimo-Aleut,GB409_3,Is there ergative alignment of flagging on second person pronouns?,0,"Bergsland and Dirks 1981: 13-14, 17",Second-person pronouns show a nominative-accusative alignment.,,,0
aleu1260,Aleut,Eskimo-Aleut,GB409_4,Is there ergative alignment of flagging on third person pronouns?,1,Bergsland and Dirks 1981: 8-9,"There is ergative alignment in the marking of third-person pronouns, but in a complex and split manner that depends on the presence of the object.",,,1
aleu1260,Aleut,Eskimo-Aleut,GB409_5,Is there ergative alignment of flagging on full NPs?,1,"Bergsland and Dirks 1981: 3, 8-9","Full NP's exhibit ergative alignment, but it is a split ergativity system conditioned by the presence or absence of the object.",,,1
aleu1260,Aleut,Eskimo-Aleut,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,1,"Bergsland and Dirks 1981: 9, 55","There is ergative alignment in the marking in the imperfective aspect, but it is conditioned by the omission of the object.",,,1
aleu1260,Aleut,Eskimo-Aleut,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,1,"Bergsland and Dirks 1981: 9, 23, 58","There is ergative alignment in the marking in the perfective aspect, conditioned in the same way by the omission of the object.",,,1
aleu1260,Aleut,Eskimo-Aleut,GB409_8,Is there ergative alignment of flagging in the past tense?,1,"Bergsland and Dirks 1981: 9, 58-59",Ergative alignment exists in the past.,,,1
aleu1260,Aleut,Eskimo-Aleut,GB409_9,Is there ergative alignment of flagging in non-past tenses?,1,"Bergsland and Dirks 1981: 9, 62","There is ergative alignment in the marking in times not past, and it is conditioned by the omission of the object.",,,1
aleu1260,Aleut,Eskimo-Aleut,GB409_10,Is there ergative alignment of flagging in the indicative mood?,1,"Bergsland and Dirks 1981: 3, 8-9",Ergative alignment in marking occurs in indicative mode.,,,1
aleu1260,Aleut,Eskimo-Aleut,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,1,Bergsland and Dirks 1981: 10,Ergative alignment in marking is found in interrogative mode.,,,1
aleu1260,Aleut,Eskimo-Aleut,GB409_12,Is there ergative alignment of flagging in the realis status?,1,"Bergsland and Dirks 1981: 9, 55, 58",Ergative alignment is observed in clauses with realis status.,,,1
aleu1260,Aleut,Eskimo-Aleut,GB409_13,Is there ergative alignment of flagging in the irrealis status?,1,"Bergsland and Dirks 1981: 10, 62",Ergative alignment  is found in clauses with irrealis status.,,,1
aleu1260,Aleut,Eskimo-Aleut,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,1,"Bergsland and Dirks 1981: 9, 62",Ergative alignment is observed in clauses with an agentive argument A.,,,1
aleu1260,Aleut,Eskimo-Aleut,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,?,Bergsland and Dirks 1981: in passim,"Based on the information provided in the document, it is not possible to determine this feature with certainty.",,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
aleu1260,Aleut,Eskimo-Aleut,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,1,Bergsland and Dirks 1981: 8-9,"Ergative alignment is directly conditioned by the informational structure of the clause, which is related to topicality.",,,1
aleu1260,Aleut,Eskimo-Aleut,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?,1,"Bergsland and Dirks 1981: 9, 44","Ergative alignment is applied to an argument A regardless of its topical or non-topical status, provided that the main condition is met: that the object (P) is topical and omitted.",,,1
aleu1260,Aleut,Eskimo-Aleut,GB409_18,Is there ergative alignment of flagging in the context of an animate A?,1,"Bergsland and Dirks 1981: 3, 8-9","There is an ergative alignment when argument A is animate, but only under the condition that argument P (object) is omitted and referenced in the verb.",,,1
aleu1260,Aleut,Eskimo-Aleut,GB409_19,Is there ergative alignment of flagging in the context of an inanimate A?,?,Bergsland and Dirks 1981: in passim,"Based on the information provided in the document, it is not possible to determine this feature with certainty.",,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
aleu1260,Aleut,Eskimo-Aleut,GB409_20,Is there ergative alignment of flagging in main clauses?,1,"Bergsland and Dirks 1981: 3, 8-9",Only under specific conditions does the alignment of case marking in main clauses depend on whether the object (P) is present as an explicit noun phrase.,,,1
aleu1260,Aleut,Eskimo-Aleut,GB409_21,Is there ergative alignment of flagging in non-main clauses?,1,"Bergsland and Dirks 1981: 127, 132","Ergative alignment is observed in non-main clauses, especially in participle constructions and nominalizations.",,,1
aleu1260,Aleut,Eskimo-Aleut,GB409_22,Is ergative alignment of flagging conditioned by any other factor?,1,"Bergsland and Dirks 1981: 6, 8-9",The main factor that conditions ergative alignment in main clauses is the presence and status of the argument P (object).,,,1
aleu1260,Aleut,Eskimo-Aleut,GB409_23,Are the ergative and the genitive expressed by the same marker?,1,"Bergsland and Dirks 1981: 9, 20",The marker used to denote argument A has the same form as the genitive marker.,,,1
