Glottocode,Language,Family,Ergon_ID,Feature,Value,Source,Comment,
bamb1270,Pitu Ulunna Salu,Austronesian,GB409_1,Is there an overt marker for the absolutive?,1,Campbell 1989: 48-49,There is an explicit marker for the absolutive case.,
bamb1270,Pitu Ulunna Salu,Austronesian,GB409_2,Is there ergative alignment of flagging on first person pronouns?,1,"Campbell 1989: 41, 48-49",First-person pronouns follow an ergative alignment pattern.,
bamb1270,Pitu Ulunna Salu,Austronesian,GB409_3,Is there ergative alignment of flagging on second person pronouns?,1,"Campbell 1989: 33, 48, 77, 101",Second-person pronouns follow an ergative alignment pattern.,
bamb1270,Pitu Ulunna Salu,Austronesian,GB409_4,Is there ergative alignment of flagging on third person pronouns?,1,"Campbell 1989: 48, 50, 55",Third-person pronouns follow an ergative alignment pattern.,
bamb1270,Pitu Ulunna Salu,Austronesian,GB409_5,Is there ergative alignment of flagging on full NPs?,0,"Campbell 1989: 12, 47, 55","Full NP's do not exhibit ergative alignment, but rather exhibit pronominal indexing on the verb.",
bamb1270,Pitu Ulunna Salu,Austronesian,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,0,"Campbell 1989: 127, 131","Clauses with imperfective aspect do not exhibit ergative alignment, but rather exhibit pronominal indexing on the verb.",
bamb1270,Pitu Ulunna Salu,Austronesian,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,0,"Campbell 1989: 55, 127, 130","Clauses with perfective aspect do not exhibit ergative alignment, but rather exhibit pronominal indexing on the verb.",
bamb1270,Pitu Ulunna Salu,Austronesian,GB409_8,Is there ergative alignment of flagging in the past tense?,0,"Campbell 1989: 55, 60, 127, 130","Past-tense clauses do not exhibit ergative alignment, but rather exhibit pronominal indexing on the verb.",
bamb1270,Pitu Ulunna Salu,Austronesian,GB409_9,Is there ergative alignment of flagging in non-past tenses?,0,"Campbell 1989: 55, 140","Clauses in non-past tense do not exhibit ergative alignment, but rather exhibit pronominal indexing on the verb.",
bamb1270,Pitu Ulunna Salu,Austronesian,GB409_10,Is there ergative alignment of flagging in the indicative mood?,0,"Campbell 1989: 12, 47, 55","Clauses in indicative mode do not show an ergative alignment, but rather exhibit pronominal indexing on the verb.",
bamb1270,Pitu Ulunna Salu,Austronesian,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,0,"Campbell 1989: 56, 153, 155","Clauses in non-indicative mode do not show an ergative alignment, but rather exhibit pronominal indexing on the verb.",
bamb1270,Pitu Ulunna Salu,Austronesian,GB409_12,Is there ergative alignment of flagging in the realis status?,0,"Campbell 1989: 55, 60, 140","Clauses with realis status do not show ergative alignment, but rather exhibit pronominal indexing on the verb.",
bamb1270,Pitu Ulunna Salu,Austronesian,GB409_13,Is there ergative alignment of flagging in the irrealis status?,0,"Campbell 1989: 12, 55, 139-140","Clauses with irrealis status do not show ergative alignment, but rather exhibit pronominal indexing on the verb.",
bamb1270,Pitu Ulunna Salu,Austronesian,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,0,"Campbell 1989: 55-56, 60","In the context of an agentive A argument, ergative alignment is not observed.",
bamb1270,Pitu Ulunna Salu,Austronesian,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,0,"Campbell 1989: 12, 55, 106","In the context of a non-agentive argument A, ergative alignment is not observed.",
bamb1270,Pitu Ulunna Salu,Austronesian,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,0,Campbell 1989: 53-55,"In the context of a topical A, ergative alignment is not shown.",
bamb1270,Pitu Ulunna Salu,Austronesian,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?,0,"Campbell 1989: 47, 55","In the context of a topical A, ergative alignment is not shown.",
bamb1270,Pitu Ulunna Salu,Austronesian,GB409_18,Is there ergative alignment of flagging in the context of an animate A?,0,"Campbell 1989: 12, 56",Clauses with animated A arguments do not exhibit ergative alignment.,
bamb1270,Pitu Ulunna Salu,Austronesian,GB409_19,Is there ergative alignment of flagging in the context of an inanimate A?,0,Campbell 1989: 94-95,Clauses with non-animated A arguments do not exhibit ergative alignment.,
bamb1270,Pitu Ulunna Salu,Austronesian,GB409_20,Is there ergative alignment of flagging in main clauses?,1,"Campbell 1989: 49, 55",Main clauses exhibit ergative alignment.,
bamb1270,Pitu Ulunna Salu,Austronesian,GB409_21,Is there ergative alignment of flagging in non-main clauses?,1,"Campbell 1989: 52, 109",Non-main clauses exhibit ergative alignment.,
bamb1270,Pitu Ulunna Salu,Austronesian,GB409_22,Is ergative alignment of flagging conditioned by any other factor?,1,"Campbell 1989: 12, 55-56","Ergative marking is conditioned by the nature of NP. Specifically, the system is one of split ergativity: the ergative-absolutive marking occurs only in bound pronouns and free pronouns have no morphological case marking.",
bamb1270,Pitu Ulunna Salu,Austronesian,GB409_23,Are the ergative and the genitive expressed by the same marker?,1,"Campbell 1989: 48, 52",The ergative case has the same mark as the genitive marker.,
bamb1270,Pitu Ulunna Salu,Austronesian,GB409_24,Are the ergative and the instrumental/comitative expressed by the same marker?,0,"Campbell 1989: 12, 100, 119",The ergative case does not have the same marker as the instrumental or comitative marker.,
