Glottocode,Language,Family,Ergon_ID,Feature,Value,Source,Comment,curated,curated_comment,final_value
patt1248,Pattani,Sino-Tibetan,GB409_1,Is there an overt marker for the absolutive?,1,Sharma 1982:112,,,,1
patt1248,Pattani,Sino-Tibetan,GB409_2,Is there ergative alignment of flagging on first person pronouns?,1,Sharma 1982:127,See table 10.0,verified,"Verified against Sharma 1982:127 (Table 10.0, sec. 10.1.1). Value 1 confirmed under the existential convention (ergative present on at least one form of the person). NUMBER SPLIT: the 1SG is syncretic (Nom = Ag = ge/gye), so the singular shows no overt ergative; but the dual and plural distinguish ergative from nominative (Nom neku/nere vs. Ag nekui/neci). The 1 reflects the dual/plural. Parallel to noct1238 (Hakhun) GB409_2, where 1SG is nominative-accusative but 1PL is ergative.",1
patt1248,Pattani,Sino-Tibetan,GB409_3,Is there ergative alignment of flagging on second person pronouns?,1,Sharma 1982:127,See table 10.0,verified,"Verified against Sharma 1982:128 (sec. 10.1.2). Value 1 confirmed. No number split: agentive distinct from nominative in all three numbers (Nom kae:/keku/kere vs. Ag kai/kekui/keci). Precise page is 128, not 127.",1
patt1248,Pattani,Sino-Tibetan,GB409_4,Is there ergative alignment of flagging on third person pronouns?,1,Sharma 1982:127,See table 10.0,verified,"Verified against Sharma 1982:128 (sec. 10.1.3). Value 1 confirmed. No number split: agentive distinct from nominative in all three numbers (Nom do/doku/dore vs. Ag doi/dokui/doci). Precise page is 128, not 127.",1
patt1248,Pattani,Sino-Tibetan,GB409_5,Is there ergative alignment of flagging on full NPs?,1,Sharma 1982:111-119,,verified,"Verified against Sharma 1982:114-118 (sec. 9.4 paradigms; sec. 9.5.3 alignment). Value 1 confirmed. Nouns distinguish nominative (zero in sg) from agentive (katui, mizi, ghwane). Sec. 9.5.3: A = agentive, P = nominative; sec. 9.5.1: S = nominative. S = P = nominative (absolutive), A = agentive (ergative). Unconditioned by TAM (sec. 9.5.4).",1
patt1248,Pattani,Sino-Tibetan,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,?,Sharma 1982:111-119,,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
patt1248,Pattani,Sino-Tibetan,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,?,Sharma 1982:111-119,,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
patt1248,Pattani,Sino-Tibetan,GB409_8,Is there ergative alignment of flagging in the past tense?,?,Sharma 1982:111-119,,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
patt1248,Pattani,Sino-Tibetan,GB409_9,Is there ergative alignment of flagging in non-past tenses?,?,Sharma 1982:111-119,,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
patt1248,Pattani,Sino-Tibetan,GB409_10,Is there ergative alignment of flagging in the indicative mood?,1,Sharma 1982:118,,,,1
patt1248,Pattani,Sino-Tibetan,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,?,Sharma 1982:111-119,,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
patt1248,Pattani,Sino-Tibetan,GB409_12,Is there ergative alignment of flagging in the realis status?,?,Sharma 1982:111-119,,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
patt1248,Pattani,Sino-Tibetan,GB409_13,Is there ergative alignment of flagging in the irrealis status?,?,Sharma 1982:111-119,,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
patt1248,Pattani,Sino-Tibetan,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,?,Sharma 1982:111-119,,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
patt1248,Pattani,Sino-Tibetan,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,?,Sharma 1982:111-119,,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
patt1248,Pattani,Sino-Tibetan,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,?,Sharma 1982:111-119,,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
patt1248,Pattani,Sino-Tibetan,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?,?,Sharma 1982:111-119,,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
patt1248,Pattani,Sino-Tibetan,GB409_18,Is there ergative alignment of flagging in the context of an animate A?,?,Sharma 1982:111-119,,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
patt1248,Pattani,Sino-Tibetan,GB409_19,Is there ergative alignment of flagging in the context of an inanimate A?,?,Sharma 1982:111-119,,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
patt1248,Pattani,Sino-Tibetan,GB409_20,Is there ergative alignment of flagging in main clauses?,1,Sharma 1982:111-119,,,,1
patt1248,Pattani,Sino-Tibetan,GB409_21,Is there ergative alignment of flagging in non-main clauses?,?,Sharma 1982:111-119,,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
patt1248,Pattani,Sino-Tibetan,GB409_22,Is ergative alignment of flagging conditioned by any other factor?,0,Sharma 1982:111-119,,,,0
patt1248,Pattani,Sino-Tibetan,GB409_23,Are the ergative and the genitive expressed by the same marker?,1,"Sharma 1982:112-115, 120",,,,1
patt1248,Pattani,Sino-Tibetan,GB409_24,Are the ergative and the instrumental/comitative expressed by the same marker?,?,Sharma 1982:,,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
