Glottocode,Language,Family,Ergon_ID,Feature,Value,Source,Comment,,,
east2773,Dolakha Newar,Trans-Himalayan,GB409_1,Is there an overt marker for the absolutive?,0,Genetti 2007:106-107,See examples (45)-(47),,,
east2773,Dolakha Newar,Trans-Himalayan,GB409_2,Is there ergative alignment of flagging on first person pronouns?,1,Genetti 2007:130,See table 8,,,
east2773,Dolakha Newar,Trans-Himalayan,GB409_3,Is there ergative alignment of flagging on second person pronouns?,1,Genetti 2007:130,See table 9,,,
east2773,Dolakha Newar,Trans-Himalayan,GB409_4,Is there ergative alignment of flagging on third person pronouns?,1,Genetti 2007:130,See table 10,,,
east2773,Dolakha Newar,Trans-Himalayan,GB409_5,Is there ergative alignment of flagging on full NPs?,1,Genetti 2007:106,See examples (41)-(44),,,
east2773,Dolakha Newar,Trans-Himalayan,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,1,"Genetti 2007:358, 378","See examples (14), (84)",,,
east2773,Dolakha Newar,Trans-Himalayan,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,1,Genetti 2007:383,See examples (106),,,
east2773,Dolakha Newar,Trans-Himalayan,GB409_8,Is there ergative alignment of flagging in the past tense?,1,Genetti 2007:110,See examples (54),,,
east2773,Dolakha Newar,Trans-Himalayan,GB409_9,Is there ergative alignment of flagging in non-past tenses?,1,Genetti 2007:106,"See examples (41), (44)",,,
east2773,Dolakha Newar,Trans-Himalayan,GB409_10,Is there ergative alignment of flagging in the indicative mood?,1,Genetti 2007:106,"See examples (41),(42)",,,
east2773,Dolakha Newar,Trans-Himalayan,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,1,Genetti 2007:106,See examples (43),,,
east2773,Dolakha Newar,Trans-Himalayan,GB409_12,Is there ergative alignment of flagging in the realis status?,1,Genetti 2007:106,See examples (41),,,
east2773,Dolakha Newar,Trans-Himalayan,GB409_13,Is there ergative alignment of flagging in the irrealis status?,1,Genetti 2007:106,See examples (43),,,
east2773,Dolakha Newar,Trans-Himalayan,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,1,Genetti 2007:106,See examples (41)-(44),,,
east2773,Dolakha Newar,Trans-Himalayan,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,1,Genetti 2007:301,See example (125),,,
east2773,Dolakha Newar,Trans-Himalayan,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,?,Genetti 2007:in passim,The grammar describes case marking and alingments in the language but there is no mention nor evidence of a split based on the topicality of the A argument.,,,
east2773,Dolakha Newar,Trans-Himalayan,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?,?,Genetti 2007:in passim,The grammar describes case marking and alingments in the language but there is no mention nor evidence of a split based on the topicality of the A argument.,,,
east2773,Dolakha Newar,Trans-Himalayan,GB409_18,Is there ergative alignment of flagging in the context of an animate A?,1,Genetti 2007:309,See example (7),,,
east2773,Dolakha Newar,Trans-Himalayan,GB409_19,Is there ergative alignment of flagging in the context of an inanimate A?,?,Genetti 2007:in passim,The grammar describes case marking and alingments in the language but there is no mention nor evidence of a split based on the animacity of the A argument.,,,
east2773,Dolakha Newar,Trans-Himalayan,GB409_20,Is there ergative alignment of flagging in main clauses?,1,Genetti 2007:106,See examples (41)-(44),,,
east2773,Dolakha Newar,Trans-Himalayan,GB409_21,Is there ergative alignment of flagging in non-main clauses?,1,Genetti 2007:313,See example (21),,,
east2773,Dolakha Newar,Trans-Himalayan,GB409_22,Is ergative alignment of flagging conditioned by any other factor?,0,Genetti 2007:in passim,There are no additional splits.,,,
east2773,Dolakha Newar,Trans-Himalayan,GB409_23,Are the ergative and the genitive expressed by the same marker?,0,Genetti 2007:101,See table 6,,,
east2773,Dolakha Newar,Trans-Himalayan,GB409_24,Are the ergative and the instrumental/comitative expressed by the same marker?,1,Genetti 2007:101,See table 6,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
