Glottocode,Language,Family,Ergon_ID,Source_comment,Value,Comment,curated,curated_comment,final_value
hida1246,Hidatsa,Siouan,GB409_1,"Park, 2012, p. 427 y 372",0,,,,0
hida1246,Hidatsa,Siouan,GB409_2,"Park, 2012, p. 234",1,Acá se ve que es una lengua activo-estativa pero dependiendo de ciertos contextos pragmáticos sí podría haber ergatividad.,,,1
hida1246,Hidatsa,Siouan,GB409_3,"Park, 2012, p. 234",1,Acá se ve que es una lengua activo-estativa pero dependiendo de ciertos contextos pragmáticos sí podría haber ergatividad.,,,1
hida1246,Hidatsa,Siouan,GB409_4,"Park, 2012, p. 234 y 41",1,"parece que hay alternancia para enfatizar del uso de la marca -rí, depende del contexto pragmático",,,1
hida1246,Hidatsa,Siouan,GB409_5,"Park, 2012, p. 373",1,"Depende del contexto pragmático, la marca de ergatividad parecería usarse para hace énfasis.",,,1
hida1246,Hidatsa,Siouan,GB409_6,"Park, 2012, p. 18",1,,,,1
hida1246,Hidatsa,Siouan,GB409_7,"Park, 2012, p. 427 y 372",1,,,,1
hida1246,Hidatsa,Siouan,GB409_8,"Park, 2012, p. 427 y 372",1,,,,1
hida1246,Hidatsa,Siouan,GB409_9,"Park, 2012, p. 427 y 372",1,,,,1
hida1246,Hidatsa,Siouan,GB409_10,"Park, 2012, p. 427 y 372",1,,,,1
hida1246,Hidatsa,Siouan,GB409_11,"Park, 2012, p. 427 y 372",1,,,,1
hida1246,Hidatsa,Siouan,GB409_12,"Park, 2012, p. 427 y 372",1,,,,1
hida1246,Hidatsa,Siouan,GB409_13,"Park, 2012, p. 427 y 372",1,,,,1
hida1246,Hidatsa,Siouan,GB409_14,"Park, 2012, p. 41",1,"""-ri"" se usa para identificar A en una cláusula transitiva",,,1
hida1246,Hidatsa,Siouan,GB409_15,"Park, 2012, p. 41",1,,,,1
hida1246,Hidatsa,Siouan,GB409_16,"Park, 2012, p. 403",0,El marcador ergativo se omite si el agente es claramente más definido/tópico que el objeto,,,0
hida1246,Hidatsa,Siouan,GB409_17,"Park, 2012, p. 403",1,,,,1
hida1246,Hidatsa,Siouan,GB409_18,"Park, 2012, p. 402",1,,,,1
hida1246,Hidatsa,Siouan,GB409_19,"Park, 2012, p. 402",1,,,,1
hida1246,Hidatsa,Siouan,GB409_20,"Park, 2012",1,,,,1
hida1246,Hidatsa,Siouan,GB409_21,,?,,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
hida1246,Hidatsa,Siouan,GB409_22,"Park, 2012, p. 373",1,"La ergatividad en los NPs no es obligatoria, sirve para desambiguar a nivel pragmático",,,1
hida1246,Hidatsa,Siouan,GB409_23,"Park, 2012, p. 362, 396 y 521",0,Ergativo -rí vs Genitivo ida-/mada-,,,0
hida1246,Hidatsa,Siouan,GB409_24,"Park, 2012, p. 396 y 521",0,Ergativo -rí vs Instrumental/Comitativo -hdaa/ii-/áàbi,,,0
