Glottocode,Language,Family,Ergon_ID,Feature,Source_comment,Value,Comment
guan1266,Wobzi Khroskyabs,Trans-Himalayan,GB409_1,Is there an overt marker for the absolutive?,"Lai, 2017",0,
guan1266,Wobzi Khroskyabs,Trans-Himalayan,GB409_2,Is there ergative alignment of flagging on first person pronouns?,"Lai, 2017",0,
guan1266,Wobzi Khroskyabs,Trans-Himalayan,GB409_3,Is there ergative alignment of flagging on second person pronouns?,"Lai, 2017, p. 188",1,
guan1266,Wobzi Khroskyabs,Trans-Himalayan,GB409_4,Is there ergative alignment of flagging on third person pronouns?,"Lai, 2017, p. 188",1,
guan1266,Wobzi Khroskyabs,Trans-Himalayan,GB409_5,Is there ergative alignment of flagging on full NPs?,"Lai, 2017, p. 670",1,
guan1266,Wobzi Khroskyabs,Trans-Himalayan,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,"Lai, 2017, p. 188",1,
guan1266,Wobzi Khroskyabs,Trans-Himalayan,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,"Lai, 2017, p. 623",1,
guan1266,Wobzi Khroskyabs,Trans-Himalayan,GB409_8,Is there ergative alignment of flagging in the past tense?,"Lai, 2017, p. 623",1,
guan1266,Wobzi Khroskyabs,Trans-Himalayan,GB409_9,Is there ergative alignment of flagging in non-past tenses?,,,
guan1266,Wobzi Khroskyabs,Trans-Himalayan,GB409_10,Is there ergative alignment of flagging in the indicative mood?,"Lai, 2017, p. 188",1,
guan1266,Wobzi Khroskyabs,Trans-Himalayan,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,,,
guan1266,Wobzi Khroskyabs,Trans-Himalayan,GB409_12,Is there ergative alignment of flagging in the realis status?,"Lai, 2017, p. 188",1,
guan1266,Wobzi Khroskyabs,Trans-Himalayan,GB409_13,Is there ergative alignment of flagging in the irrealis status?,,?,
guan1266,Wobzi Khroskyabs,Trans-Himalayan,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,"Lai, 2017, p. 188",1,
guan1266,Wobzi Khroskyabs,Trans-Himalayan,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,,?,
guan1266,Wobzi Khroskyabs,Trans-Himalayan,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,"Lai, 2017, p. 188",1,
guan1266,Wobzi Khroskyabs,Trans-Himalayan,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?,,?,
guan1266,Wobzi Khroskyabs,Trans-Himalayan,GB409_18,Is there ergative alignment of flagging in the context of an animate A?,"Lai, 2017, p. 188",1,
guan1266,Wobzi Khroskyabs,Trans-Himalayan,GB409_19,Is there ergative alignment of flagging in the context of an inanimate A?,,?,
guan1266,Wobzi Khroskyabs,Trans-Himalayan,GB409_20,Is there ergative alignment of flagging in main clauses?,,?,
guan1266,Wobzi Khroskyabs,Trans-Himalayan,GB409_21,Is there ergative alignment of flagging in non-main clauses?,,?,
guan1266,Wobzi Khroskyabs,Trans-Himalayan,GB409_22,Is ergative alignment of flagging conditioned by any other factor?,,?,
guan1266,Wobzi Khroskyabs,Trans-Himalayan,GB409_23,Are the ergative and the genitive expressed by the same marker?,"Lai, 2017, p. 641, 645",0,
guan1266,Wobzi Khroskyabs,Trans-Himalayan,GB409_24,Are the ergative and the instrumental/comitative expressed by the same marker?,"Lai, 2017, p. 627",1,
