Glottocode,Language,Family,Ergon_ID,Feature,Value,Source_comment,Comment,curated,curated_comment,final_value
nort2722,Northern Qiang,Trans-Himalayan,GB409_1,Is there an overt marker for the absolutive?,0,LaPolla & Huang 2003:§3.2.3,,,Nominative-accusative alignment confirmed: A and S take same case forms; O is distinct. The optional agentive suffix /-wu/ marks non-topic A only and is not an ergative marker (S cannot take it). Grammar explicitly uses nominative-accusative terminology (LaPolla & Huang 2003:§3.2.3). All GB409 values = 0 are correct.,0
nort2722,Northern Qiang,Trans-Himalayan,GB409_2,Is there ergative alignment of flagging on first person pronouns?,0,LaPolla & Huang 2003:§3.2.3,,,,0
nort2722,Northern Qiang,Trans-Himalayan,GB409_3,Is there ergative alignment of flagging on second person pronouns?,0,LaPolla & Huang 2003:§3.2.3,,,,0
nort2722,Northern Qiang,Trans-Himalayan,GB409_4,Is there ergative alignment of flagging on third person pronouns?,0,LaPolla & Huang 2003:§3.2.3,,,,0
nort2722,Northern Qiang,Trans-Himalayan,GB409_5,Is there ergative alignment of flagging on full NPs?,0,LaPolla & Huang 2003:§3.2.3,,,,0
nort2722,Northern Qiang,Trans-Himalayan,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,0,LaPolla & Huang 2003:§3.2.3,,,,0
nort2722,Northern Qiang,Trans-Himalayan,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,0,LaPolla & Huang 2003:§3.2.3,,,,0
nort2722,Northern Qiang,Trans-Himalayan,GB409_8,Is there ergative alignment of flagging in the past tense?,0,LaPolla & Huang 2003:§3.2.3,,,,0
nort2722,Northern Qiang,Trans-Himalayan,GB409_9,Is there ergative alignment of flagging in non-past tenses?,0,LaPolla & Huang 2003:§3.2.3,,,,0
nort2722,Northern Qiang,Trans-Himalayan,GB409_10,Is there ergative alignment of flagging in the indicative mood?,0,LaPolla & Huang 2003:§3.2.3,,,,0
nort2722,Northern Qiang,Trans-Himalayan,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,0,LaPolla & Huang 2003:§3.2.3,,,,0
nort2722,Northern Qiang,Trans-Himalayan,GB409_12,Is there ergative alignment of flagging in the realis status?,0,LaPolla & Huang 2003:§3.2.3,,,,0
nort2722,Northern Qiang,Trans-Himalayan,GB409_13,Is there ergative alignment of flagging in the irrealis status?,0,LaPolla & Huang 2003:§3.2.3,,,,0
nort2722,Northern Qiang,Trans-Himalayan,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,0,LaPolla & Huang 2003:§3.2.3,,,,0
nort2722,Northern Qiang,Trans-Himalayan,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,0,LaPolla & Huang 2003:§3.2.3,,,,0
nort2722,Northern Qiang,Trans-Himalayan,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,0,LaPolla & Huang 2003:§3.2.3,,,,0
nort2722,Northern Qiang,Trans-Himalayan,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?,0,LaPolla & Huang 2003:§3.2.3,,,,0
nort2722,Northern Qiang,Trans-Himalayan,GB409_18,Is there ergative alignment of flagging in the context of an animate A?,0,LaPolla & Huang 2003:§3.2.3,,,,0
nort2722,Northern Qiang,Trans-Himalayan,GB409_19,Is there ergative alignment of flagging in the context of an inanimate A?,0,LaPolla & Huang 2003:§3.2.3,,,,0
nort2722,Northern Qiang,Trans-Himalayan,GB409_20,Is there ergative alignment of flagging in main clauses?,0,LaPolla & Huang 2003:§3.2.3,,,,0
nort2722,Northern Qiang,Trans-Himalayan,GB409_21,Is there ergative alignment of flagging in non-main clauses?,0,LaPolla & Huang 2003:§3.2.3,,,,0
nort2722,Northern Qiang,Trans-Himalayan,GB409_22,Is ergative alignment of flagging conditioned by any other factor?,0,LaPolla & Huang 2003:§3.2.3,,,,0
nort2722,Northern Qiang,Trans-Himalayan,GB409_23,Are the ergative and the genitive expressed by the same marker?,0,LaPolla & Huang 2003:§3.2.3,,,,0
nort2722,Northern Qiang,Trans-Himalayan,GB409_24,Are the ergative and the instrumental/comitative expressed by the same marker?,0,LaPolla & Huang 2003:§3.2.3,,,,0
