Glottocode,Language,Family,Ergon_ID,,Source_comment,Value,Comment
hurr1240,Hurrian,Hurro-Urartian,GB409_1,Is there an overt marker for the absolutive?,"Wegner, 2007, p. 65",1,"sg: nulo pl: -(na), -l(a), -aš"
hurr1240,Hurrian,Hurro-Urartian,GB409_2,Is there ergative alignment of flagging on first person pronouns?,"Wegner, 2007, p. 82-83",1,
hurr1240,Hurrian,Hurro-Urartian,GB409_3,Is there ergative alignment of flagging on second person pronouns?,"Wegner, 2007, p. 82-83",1,
hurr1240,Hurrian,Hurro-Urartian,GB409_4,Is there ergative alignment of flagging on third person pronouns?,"Wegner, 2007, p. 82-83",1,
hurr1240,Hurrian,Hurro-Urartian,GB409_5,Is there ergative alignment of flagging on full NPs?,"Wegner, 2007, p. 82-83",1,
hurr1240,Hurrian,Hurro-Urartian,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,"Wegner, 2007",?,La gramática está en alemán
hurr1240,Hurrian,Hurro-Urartian,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,"Wegner, 2007",?,La gramática está en alemán
hurr1240,Hurrian,Hurro-Urartian,GB409_8,Is there ergative alignment of flagging in the past tense?,"Wegner, 2007",?,La gramática está en alemán
hurr1240,Hurrian,Hurro-Urartian,GB409_9,Is there ergative alignment of flagging in non-past tenses?,"Wegner, 2007",?,La gramática está en alemán
hurr1240,Hurrian,Hurro-Urartian,GB409_10,Is there ergative alignment of flagging in the indicative mood?,"Wegner, 2007, p. 94",1,
hurr1240,Hurrian,Hurro-Urartian,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,"Wegner, 2007",?,La gramática está en alemán
hurr1240,Hurrian,Hurro-Urartian,GB409_12,Is there ergative alignment of flagging in the realis status?,"Wegner, 2007",?,La gramática está en alemán
hurr1240,Hurrian,Hurro-Urartian,GB409_13,Is there ergative alignment of flagging in the irrealis status?,"Wegner, 2007",?,La gramática está en alemán
hurr1240,Hurrian,Hurro-Urartian,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,"Wegner, 2007",?,La gramática está en alemán
hurr1240,Hurrian,Hurro-Urartian,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,"Wegner, 2007",?,La gramática está en alemán
hurr1240,Hurrian,Hurro-Urartian,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,"Wegner, 2007",?,La gramática está en alemán
hurr1240,Hurrian,Hurro-Urartian,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?,"Wegner, 2007",?,La gramática está en alemán
hurr1240,Hurrian,Hurro-Urartian,GB409_18,Is there ergative alignment of flagging in the context of an animate A?,"Wegner, 2007",?,La gramática está en alemán
hurr1240,Hurrian,Hurro-Urartian,GB409_19,Is there ergative alignment of flagging in the context of an inanimate A?,"Wegner, 2007",?,La gramática está en alemán
hurr1240,Hurrian,Hurro-Urartian,GB409_20,Is there ergative alignment of flagging in main clauses?,"Wegner, 2007",?,La gramática está en alemán
hurr1240,Hurrian,Hurro-Urartian,GB409_21,Is there ergative alignment of flagging in non-main clauses?,"Wegner, 2007",?,La gramática está en alemán
hurr1240,Hurrian,Hurro-Urartian,GB409_22,Is ergative alignment of flagging conditioned by any other factor?,"Wegner, 2007",?,La gramática está en alemán
hurr1240,Hurrian,Hurro-Urartian,GB409_23,Are the ergative and the genitive expressed by the same marker?,"Wegner, 2007, p. 65-66",0,
hurr1240,Hurrian,Hurro-Urartian,GB409_24,Are the ergative and the instrumental/comitative expressed by the same marker?,"Wegner, 2007, p. 65-66",0,
