Glottocode,Language,Family,Ergon_ID,Feature,Value,Source,Comment,
boun1245,Ku Waru,Trans-New Guinea,GB409_1,Is there an overt marker for the absolutive?,0,Merlan and Rumsey 1991: 337,There is not explicit marker for the absolutive case.,
boun1245,Ku Waru,Trans-New Guinea,GB409_2,Is there ergative alignment of flagging on first person pronouns?,1,"Merlan and Rumsey 1991: 333, 335, 337",First-person pronouns show ergative alignment.,
boun1245,Ku Waru,Trans-New Guinea,GB409_3,Is there ergative alignment of flagging on second person pronouns?,1,"Merlan and Rumsey 1991: 331, 335, 337",Second-person pronouns show ergative alignment.,
boun1245,Ku Waru,Trans-New Guinea,GB409_4,Is there ergative alignment of flagging on third person pronouns?,1,"Merlan and Rumsey 1991: 333, 335, 337",Third-person pronouns show ergative alignment.,
boun1245,Ku Waru,Trans-New Guinea,GB409_5,Is there ergative alignment of flagging on full NPs?,1,Merlan and Rumsey 1991: 337-339,Full NP's exhibit ergative-absolutive alignment.,
boun1245,Ku Waru,Trans-New Guinea,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,1,"Merlan and Rumsey 1991: 327-328, 339",Clauses with imperfective aspect exhibit ergative alignment.,
boun1245,Ku Waru,Trans-New Guinea,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,1,"Merlan and Rumsey 1991: 327-328, 337, 340",Clauses with perfective aspect exhibit ergative alignment.,
boun1245,Ku Waru,Trans-New Guinea,GB409_8,Is there ergative alignment of flagging in the past tense?,1,"Merlan and Rumsey 1991: 327-328, 337",Past-tense clauses exhibit ergative alignment.,
boun1245,Ku Waru,Trans-New Guinea,GB409_9,Is there ergative alignment of flagging in non-past tenses?,1,"Merlan and Rumsey 1991: 327, 330, 333, 339",Clauses in non-past tense exhibit ergative alignment.,
boun1245,Ku Waru,Trans-New Guinea,GB409_10,Is there ergative alignment of flagging in the indicative mood?,1,Merlan and Rumsey 1991: 327,Clauses in indicative mode show an ergative alignment.,
boun1245,Ku Waru,Trans-New Guinea,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,1,Merlan and Rumsey 1991: 331-332,Clauses in non-indicative mode show an ergative alignment.,
boun1245,Ku Waru,Trans-New Guinea,GB409_12,Is there ergative alignment of flagging in the realis status?,1,"Merlan and Rumsey 1991: 327-328, 337-339",Clauses with realis status show ergative alignment.,
boun1245,Ku Waru,Trans-New Guinea,GB409_13,Is there ergative alignment of flagging in the irrealis status?,1,Merlan and Rumsey 1991: 330-333,Clauses with irrealis status show ergative alignment.,
boun1245,Ku Waru,Trans-New Guinea,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,1,"Merlan and Rumsey 1991: 337, 339-340","In the context of an agentive A argument, ergative alignment is observed.",
boun1245,Ku Waru,Trans-New Guinea,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,1,Merlan and Rumsey 1991: 339,"In the context of a non-agentive argument A, ergative alignment is observed.",
boun1245,Ku Waru,Trans-New Guinea,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,?,Merlan and Rumsey 1991: in passim,"Based on the information provided in the document, it is not possible to determine this feature with certainty.",
boun1245,Ku Waru,Trans-New Guinea,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?,?,Merlan and Rumsey 1991: in passim,"Based on the information provided in the document, it is not possible to determine this feature with certainty.",
boun1245,Ku Waru,Trans-New Guinea,GB409_18,Is there ergative alignment of flagging in the context of an animate A?,1,"Merlan and Rumsey 1991: 337, 339-340",Clauses with animated A arguments exhibit ergative alignment.,
boun1245,Ku Waru,Trans-New Guinea,GB409_19,Is there ergative alignment of flagging in the context of an inanimate A?,1,Merlan and Rumsey 1991: 339,Clauses with non-animated A arguments exhibit ergative alignment.,
boun1245,Ku Waru,Trans-New Guinea,GB409_20,Is there ergative alignment of flagging in main clauses?,1,Merlan and Rumsey 1991: 337-339,Main clauses exhibit ergative alignment.,
boun1245,Ku Waru,Trans-New Guinea,GB409_21,Is there ergative alignment of flagging in non-main clauses?,1,Merlan and Rumsey 1991: 340,Non-main clauses exhibit ergative alignment.,
boun1245,Ku Waru,Trans-New Guinea,GB409_22,Is ergative alignment of flagging conditioned by any other factor?,1,Merlan and Rumsey 1991: 338,Ergative marking is conditioned because it presents a split intransitivity system based on the control of the S argument.,
boun1245,Ku Waru,Trans-New Guinea,GB409_23,Are the ergative and the genitive expressed by the same marker?,0,Merlan and Rumsey 1991: 335,The ergative marker does not have the same form as the genitive marker.,
boun1245,Ku Waru,Trans-New Guinea,GB409_24,Are the ergative and the instrumental/comitative expressed by the same marker?,1,Merlan and Rumsey 1991: 335,"The ergative case has the same mark as the instrumental case, but is different from the comitative case.",
