Glottocode,Language,Family,Ergon_ID,Feature,Value,Source_comment,Comment
lamj1247,Lamjung Yolmo,Trans-Himalayan,GB409_1,Is there an overt marker for the absolutive?,0,Gawne 2016:65,
lamj1247,Lamjung Yolmo,Trans-Himalayan,GB409_2,Is there ergative alignment of flagging on first person pronouns?,1,Gawne 2016:66,Example 62
lamj1247,Lamjung Yolmo,Trans-Himalayan,GB409_3,Is there ergative alignment of flagging on second person pronouns?,1,Gawne 2016:70,Example 86
lamj1247,Lamjung Yolmo,Trans-Himalayan,GB409_4,Is there ergative alignment of flagging on third person pronouns?,1,Gawne 2016:87,Example 16
lamj1247,Lamjung Yolmo,Trans-Himalayan,GB409_5,Is there ergative alignment of flagging on full NPs?,1,Gawne 2016:65,Example 61
lamj1247,Lamjung Yolmo,Trans-Himalayan,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,1,Gawne 2016:102,Example 76
lamj1247,Lamjung Yolmo,Trans-Himalayan,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,1,Gawne 2016:67,Example 69
lamj1247,Lamjung Yolmo,Trans-Himalayan,GB409_8,Is there ergative alignment of flagging in the past tense?,1,Gawne 2016:67,Example 69
lamj1247,Lamjung Yolmo,Trans-Himalayan,GB409_9,Is there ergative alignment of flagging in non-past tenses?,1,Gawne 2016:65,Example 61
lamj1247,Lamjung Yolmo,Trans-Himalayan,GB409_10,Is there ergative alignment of flagging in the indicative mood?,1,Gawne 2016:65,Example 61
lamj1247,Lamjung Yolmo,Trans-Himalayan,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,1,Gawne 2016:137,Example 82
lamj1247,Lamjung Yolmo,Trans-Himalayan,GB409_12,Is there ergative alignment of flagging in the realis status?,1,Gawne 2016:65,Example 61
lamj1247,Lamjung Yolmo,Trans-Himalayan,GB409_13,Is there ergative alignment of flagging in the irrealis status?,1,Gawne 2016:137,Example 82
lamj1247,Lamjung Yolmo,Trans-Himalayan,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,1,Gawne 2016:65,Example 61
lamj1247,Lamjung Yolmo,Trans-Himalayan,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,1,"Gawne 2016:68, 90",Example 74; Example 31
lamj1247,Lamjung Yolmo,Trans-Himalayan,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,1,"Gawne 2016:78, 80",Example 110; Example 120
lamj1247,Lamjung Yolmo,Trans-Himalayan,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?,1,,
lamj1247,Lamjung Yolmo,Trans-Himalayan,GB409_18,Is there ergative alignment of flagging in the context of an animate A?,1,Gawne 2016:65,Example 61
lamj1247,Lamjung Yolmo,Trans-Himalayan,GB409_19,Is there ergative alignment of flagging in the context of an inanimate A?,?,,
lamj1247,Lamjung Yolmo,Trans-Himalayan,GB409_20,Is there ergative alignment of flagging in main clauses?,1,Gawne 2016:65,Example 61
lamj1247,Lamjung Yolmo,Trans-Himalayan,GB409_21,Is there ergative alignment of flagging in non-main clauses?,?,,
lamj1247,Lamjung Yolmo,Trans-Himalayan,GB409_22,Is ergative alignment of flagging conditioned by any other factor?,0,,
lamj1247,Lamjung Yolmo,Trans-Himalayan,GB409_23,Are the ergative and the genitive expressed by the same marker?,1,Gawne 2016:64,
lamj1247,Lamjung Yolmo,Trans-Himalayan,GB409_24,Are the ergative and the instrumental/comitative expressed by the same marker?,1,Gawne 2016:64,
