Glottocode,Language,Family,Ergon_ID,Feature,Value,Source_comment,Comment,curated,curated_comment,final_value
fran1266,Francisco León Zoque,Mixe-Zoque,GB409_1,Is there an overt marker for the absolutive?,0,Engel & Bartholomew 1987: 401,"ABS (intransitive S and transitive O) is zero-marked; no dedicated ABS suffix (§2.3, p.344).",,"Francisco León Zoque (fran1266, ISO zos, Mixe-Zoque, Mexico) is an ergative language with a person-based split per Engel & Bartholomew (1987). ERG suffix -'is marks transitive subjects and possessors for full NPs and 3rd person demonstratives; 1st and 2nd person grammatical roles are encoded exclusively through verb agreement prefixes. This explains GB409_2=0 and GB409_3=0 while GB409_4=1 and GB409_5=1. All ten '?' values resolved: GB409_6,9,11-13,15-17,21→1 (no conditioning splits found for any of these), GB409_22=0 (no additional conditioning), GB409_23=1 (explicit ERG=GEN syncretism: same -'is marks transitive subjects and possessors). Glottocode fran1266 is correct.",0
fran1266,Francisco León Zoque,Mixe-Zoque,GB409_2,Is there ergative alignment of flagging on first person pronouns?,0,Engel & Bartholomew 1987: 381,"1st person pronouns have the same form for subject and object functions (§3.1.4, p.349). Grammatical role of 1st/2nd person encoded through verb prefixes (N-), not through nominal ERG suffix.",,,0
fran1266,Francisco León Zoque,Mixe-Zoque,GB409_3,Is there ergative alignment of flagging on second person pronouns?,0,Engel & Bartholomew 1987: 383,2nd person pronouns also have invariant form; role encoded through verb prefixes.,,,0
fran1266,Francisco León Zoque,Mixe-Zoque,GB409_4,Is there ergative alignment of flagging on third person pronouns?,1,"Engel & Bartholomew 1987: 373, §3.3-3.5","No dedicated 3rd person pronouns; demonstratives serve as 3rd person (§3.1, §3.4) and DO take ERG suffix -'is: je'is (dem-ERG). Confirmed at §3.3 and §2.3.",,,1
fran1266,Francisco León Zoque,Mixe-Zoque,GB409_5,Is there ergative alignment of flagging on full NPs?,1,"Engel & Bartholomew 1987: 344, 407",Full NPs take ERG suffix -'is when transitive subjects (§2.3: 'El viento derribó a un árbol grande' with sava'is = wind-ERG).,,,1
fran1266,Francisco León Zoque,Mixe-Zoque,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,1,Engel & Bartholomew 1987: 341 (§2.1.2),Continuative/imperfective aspect (-pa) co-occurs with ERG marking: yomo'is tyonvitu'yajpa 'The women turn the tortillas' (§2.1.2). No aspect-based split.,1,,1
fran1266,Francisco León Zoque,Mixe-Zoque,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,1,Engel & Bartholomew 1987: 344,Preterite/completive (-u) also co-occurs with ERG marking (§2.3). No aspect-based split.,,,1
fran1266,Francisco León Zoque,Mixe-Zoque,GB409_8,Is there ergative alignment of flagging in the past tense?,1,Engel & Bartholomew 1987: 344,Preterite examples consistently show ERG -'is on transitive subjects.,,,1
fran1266,Francisco León Zoque,Mixe-Zoque,GB409_9,Is there ergative alignment of flagging in non-past tenses?,1,"Engel & Bartholomew 1987: 341, 383",Present/continuative and future contexts also show ERG -'is. No tense-based split.,1,,1
fran1266,Francisco León Zoque,Mixe-Zoque,GB409_10,Is there ergative alignment of flagging in the indicative mood?,1,Engel & Bartholomew 1987: 373,All indicative constructions show ERG marking on 3rd person and full NP transitive subjects.,,,1
fran1266,Francisco León Zoque,Mixe-Zoque,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,1,"Engel & Bartholomew 1987: §11.3, §15.2","ERG -'is applies in subordinate and modal contexts (§11.3, §15.2); participial relative clauses explicitly require -'is on transitive subjects (§15.2.1).",1,,1
fran1266,Francisco León Zoque,Mixe-Zoque,GB409_12,Is there ergative alignment of flagging in the realis status?,1,Engel & Bartholomew 1987: 373,All realis (indicative) contexts show ERG marking.,,,1
fran1266,Francisco León Zoque,Mixe-Zoque,GB409_13,Is there ergative alignment of flagging in the irrealis status?,1,"Engel & Bartholomew 1987: §11.1.4, §11.3.3","Future (manba), conditional (oca si), and purpose clauses (va'co) also show ERG -'is on transitive subjects.",1,,1
fran1266,Francisco León Zoque,Mixe-Zoque,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,1,Engel & Bartholomew 1987: 344,"ERG marks 'la persona responsable del efecto de la acción del verbo transitivo' (§2.3, p.344).",,,1
fran1266,Francisco León Zoque,Mixe-Zoque,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,1,Engel & Bartholomew 1987: 344 (causative constructions),"Causative prefix yac- creates transitive constructions with non-volitional/inanimate causers taking ERG -'is (sava'is = wind-ERG, p.344). ERG applies to non-agentive A.",1,,1
fran1266,Francisco León Zoque,Mixe-Zoque,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,1,Engel & Bartholomew 1987: 373,No topicality conditioning described or implied; ERG -'is is a structural case suffix.,,,1
fran1266,Francisco León Zoque,Mixe-Zoque,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?,1,Engel & Bartholomew 1987: 373,No topicality conditioning; ERG applies equally to non-topical A.,1,,1
fran1266,Francisco León Zoque,Mixe-Zoque,GB409_18,Is there ergative alignment of flagging in the context of an animate A?,1,Engel & Bartholomew 1987: 373,Animate A consistently takes ERG -'is (all canonical transitive subjects are animate).,,,1
fran1266,Francisco León Zoque,Mixe-Zoque,GB409_19,Is there ergative alignment of flagging in the context of an inanimate A?,1,Engel & Bartholomew 1987: 344,"Inanimate causers (e.g., wind-ERG, p.344) also take ERG -'is in causative constructions (§9.2.6).",,,1
fran1266,Francisco León Zoque,Mixe-Zoque,GB409_20,Is there ergative alignment of flagging in main clauses?,1,Engel & Bartholomew 1987: 373,All primary transitive main clause constructions show ERG marking.,,,1
fran1266,Francisco León Zoque,Mixe-Zoque,GB409_21,Is there ergative alignment of flagging in non-main clauses?,1,Engel & Bartholomew 1987: 401 (§15.2.1),"Participial/relative clauses explicitly documented: 'Si el elemento de relativo es el sujeto del verbo transitivo... se une el sufijo ergativo -'is al verbo' (§15.2.1, p.401).",1,,1
fran1266,Francisco León Zoque,Mixe-Zoque,GB409_22,Is ergative alignment of flagging conditioned by any other factor?,0,Engel & Bartholomew 1987: 344,No additional conditioning beyond the person-based split (1st/2nd: verb agreement only; 3rd/NP: nominal suffix -'is). This split is already captured in GB409_2-3.,0,,0
fran1266,Francisco León Zoque,Mixe-Zoque,GB409_23,Are the ergative and the genitive expressed by the same marker?,1,Engel & Bartholomew 1987: 342 (§2.2.1),"ERG suffix -'is also marks possessors (§2.2.1, p.342: 'El sustantivo poseedor lleva el sufijo ergativo'). Explicit ERG=GEN syncretism.",1,,1
fran1266,Francisco León Zoque,Mixe-Zoque,GB409_24,Are the ergative and the instrumental/comitative expressed by the same marker?,0,Engel & Bartholomew 1987: 356-357,"Instrumental/comitative expressed through postpositions (-pit 'with', -ji'n 'with', §5, pp.356-357), entirely distinct from ERG suffix -'is.",0,,0
