Glottocode,Language,Family,Ergon_ID,Feature,Value,Source_comment,Comment,curated,curated_comment,final_value
maxa1247,Maxakalí,Maxakalían,GB409_1,Is there an overt marker for the absolutive?,0,Campos 2009:158-167,,,"Absolutive (S and P) has zero marking; only the ergative agent is overtly marked with -te. No overt absolutive marker. Value 0 confirmed (Campos 2009:§8.1.3, examples 50-65).",0
maxa1247,Maxakalí,Maxakalían,GB409_2,Is there ergative alignment of flagging on first person pronouns?,1,Campos 2009:158-167,,1,"REVISED 1->0. Source (Campos 2009 ch.9, esp. 9.2.1) analyzes Maxakali as an ERGATIVE-ACTIVE TRIPARTITE system, not erg-abs: A/Sa = ergative postposition -te; So = person prefix u-/reflexive yay; O = zero/preverbal incorporation (Tabela 4; ex.39a-b). 1sg pronoun does take -te (ex.13 'A-te ... akoho'), but as the ergative/active flag inside a tripartite system, not as S=P!=A ergative alignment. Per the tripartite->0 rule, value=0. Prior value (1) had reverted to Pereira 1992's older erg-abs analysis, which Campos explicitly refutes (9.2).",0
maxa1247,Maxakalí,Maxakalían,GB409_3,Is there ergative alignment of flagging on second person pronouns?,1,Campos 2009:158-167,,1,"REVISED 1->0. Same tripartite-active system (Campos 2009: 9.2.1). 2sg pronoun is attested with -te as an ACTIVE intransitive subject, ex.17 'Xa-te ham-hip ax' ('you will wait'): this is the ergative/active flag, not S=P!=A ergative alignment. Tripartite->0. (Prior comment said no 2nd-person example existed; ex.17 supplies one but supports the active/tripartite reading.)",0
maxa1247,Maxakalí,Maxakalían,GB409_4,Is there ergative alignment of flagging on third person pronouns?,1,Campos 2009:158-167,,1,"REVISED 1->0. Tripartite-active (Campos 2009: 9.2.1; Tabela 4; ex.39a-b). 3rd-person/full-NP A and Sa take -te; So is marked by person prefix u-/reflexive yay; O is zero. Three-way distinction A vs So vs O => not ergative. Per tripartite->0 rule, value=0.",0
maxa1247,Maxakalí,Maxakalían,GB409_5,Is there ergative alignment of flagging on full NPs?,1,Campos 2009:158-167,,1,"REVISED 1->0. Prior value (1) rested on a factually wrong premise ('classic ergative; S lacks -te'): active intransitive subjects (Sa) DO take -te (ex.14-19: pato 'duck', kuxakuk 'capybara', kakxop 'boy bathes'), so S is SPLIT, not uniformly absolutive. Campos 2009 (9.2.1 / 9.3) analyzes the whole system as ergative-active TRIPARTITE (A/Sa=-te; So=u-/yay; O=0) and equates it to Pama-Nyungan/Thangu tripartite (ex.36-39). Per tripartite->0 rule, full-NP flagging is not ergative alignment => 0.",0
maxa1247,Maxakalí,Maxakalían,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,1,Campos 2009:158-167,,1,"RESOLVED -> 0. Maxakali is coded NON-ERGATIVE (Ergon coding criterion = ALIGNMENT). The system is tripartite-active (A/Sa=-te, So=u-/yay, O=0; Campos 2009 sec.9.2.1, Tabela 4), so there is NO ergative alignment of flagging and therefore none in the imperfective aspect. The previous value (1) only recorded that the marker -te occurs there, i.e. the ergative/active FLAG is present, not that the alignment is ergative. Decision per user (2025): code by alignment, not by mere presence of an ergative-shaped marker.",0
maxa1247,Maxakalí,Maxakalían,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,1,Campos 2009:158-167,,1,"RESOLVED -> 0. Maxakali is coded NON-ERGATIVE (Ergon coding criterion = ALIGNMENT). The system is tripartite-active (A/Sa=-te, So=u-/yay, O=0; Campos 2009 sec.9.2.1, Tabela 4), so there is NO ergative alignment of flagging and therefore none in the perfective aspect. The previous value (1) only recorded that the marker -te occurs there, i.e. the ergative/active FLAG is present, not that the alignment is ergative. Decision per user (2025): code by alignment, not by mere presence of an ergative-shaped marker.",0
maxa1247,Maxakalí,Maxakalían,GB409_8,Is there ergative alignment of flagging in the past tense?,1,Campos 2009:158-167,,1,"RESOLVED -> 0. Maxakali is coded NON-ERGATIVE (Ergon coding criterion = ALIGNMENT). The system is tripartite-active (A/Sa=-te, So=u-/yay, O=0; Campos 2009 sec.9.2.1, Tabela 4), so there is NO ergative alignment of flagging and therefore none in the past tense. The previous value (1) only recorded that the marker -te occurs there, i.e. the ergative/active FLAG is present, not that the alignment is ergative. Decision per user (2025): code by alignment, not by mere presence of an ergative-shaped marker.",0
maxa1247,Maxakalí,Maxakalían,GB409_9,Is there ergative alignment of flagging in non-past tenses?,1,Campos 2009:158-167,,1,"RESOLVED -> 0. Maxakali is coded NON-ERGATIVE (Ergon coding criterion = ALIGNMENT). The system is tripartite-active (A/Sa=-te, So=u-/yay, O=0; Campos 2009 sec.9.2.1, Tabela 4), so there is NO ergative alignment of flagging and therefore none in non-past tenses. The previous value (1) only recorded that the marker -te occurs there, i.e. the ergative/active FLAG is present, not that the alignment is ergative. Decision per user (2025): code by alignment, not by mere presence of an ergative-shaped marker.",0
maxa1247,Maxakalí,Maxakalían,GB409_10,Is there ergative alignment of flagging in the indicative mood?,1,Campos 2009:158-167,,1,"RESOLVED -> 0. Maxakali is coded NON-ERGATIVE (Ergon coding criterion = ALIGNMENT). The system is tripartite-active (A/Sa=-te, So=u-/yay, O=0; Campos 2009 sec.9.2.1, Tabela 4), so there is NO ergative alignment of flagging and therefore none in the indicative mood. The previous value (1) only recorded that the marker -te occurs there, i.e. the ergative/active FLAG is present, not that the alignment is ergative. Decision per user (2025): code by alignment, not by mere presence of an ergative-shaped marker.",0
