Glottocode,Language,Family,Ergon_ID,Feature,Value,Source_comment,Comment,curated,curated_comment,final_value
lihi1237,Lihir,Austronesian,GB409_1,Is there an overt marker for the absolutive?,0,"Neuhaus 1954 (2015):86, 117","The grammar says that Lihir evolved together with a language with ""ergative alignment"", but it does not specify how it has influence Lihir.",,All 24 features correctly annotated as 0 (no ergative alignment). The grammar (Neuhaus 2015) states Lihir evolved from a language with ergative alignment but Lihir itself has none. Note: extracted text from cited p.86 shows phonetics content rather than ergativity discussion; the relevant statement on ergativity may appear on a different subsection of p.86 or on an adjacent page. Researcher should verify the exact page citation.,0
lihi1237,Lihir,Austronesian,GB409_2,Is there ergative alignment of flagging on first person pronouns?,0,"Neuhaus 1954 (2015):86, 117",,,,0
lihi1237,Lihir,Austronesian,GB409_3,Is there ergative alignment of flagging on second person pronouns?,0,"Neuhaus 1954 (2015):86, 117",,,,0
lihi1237,Lihir,Austronesian,GB409_4,Is there ergative alignment of flagging on third person pronouns?,0,"Neuhaus 1954 (2015):86, 117",,,,0
lihi1237,Lihir,Austronesian,GB409_5,Is there ergative alignment of flagging on full NPs?,0,"Neuhaus 1954 (2015):86, 117",,,,0
lihi1237,Lihir,Austronesian,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,0,"Neuhaus 1954 (2015):86, 117",,,,0
lihi1237,Lihir,Austronesian,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,0,"Neuhaus 1954 (2015):86, 117",,,,0
lihi1237,Lihir,Austronesian,GB409_8,Is there ergative alignment of flagging in the past tense?,0,"Neuhaus 1954 (2015):86, 117",,,,0
lihi1237,Lihir,Austronesian,GB409_9,Is there ergative alignment of flagging in non-past tenses?,0,"Neuhaus 1954 (2015):86, 117",,,,0
lihi1237,Lihir,Austronesian,GB409_10,Is there ergative alignment of flagging in the indicative mood?,0,"Neuhaus 1954 (2015):86, 117",,,,0
lihi1237,Lihir,Austronesian,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,0,"Neuhaus 1954 (2015):86, 117",,,,0
lihi1237,Lihir,Austronesian,GB409_12,Is there ergative alignment of flagging in the realis status?,0,"Neuhaus 1954 (2015):86, 117",,,,0
lihi1237,Lihir,Austronesian,GB409_13,Is there ergative alignment of flagging in the irrealis status?,0,"Neuhaus 1954 (2015):86, 117",,,,0
lihi1237,Lihir,Austronesian,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,0,"Neuhaus 1954 (2015):86, 117",,,,0
lihi1237,Lihir,Austronesian,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,0,"Neuhaus 1954 (2015):86, 117",,,,0
lihi1237,Lihir,Austronesian,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,0,"Neuhaus 1954 (2015):86, 117",,,,0
lihi1237,Lihir,Austronesian,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?,0,"Neuhaus 1954 (2015):86, 117",,,,0
lihi1237,Lihir,Austronesian,GB409_18,Is there ergative alignment of flagging in the context of an animate A?,0,"Neuhaus 1954 (2015):86, 117",,,,0
lihi1237,Lihir,Austronesian,GB409_19,Is there ergative alignment of flagging in the context of an inanimate A?,0,"Neuhaus 1954 (2015):86, 117",,,,0
lihi1237,Lihir,Austronesian,GB409_20,Is there ergative alignment of flagging in main clauses?,0,"Neuhaus 1954 (2015):86, 117",,,,0
lihi1237,Lihir,Austronesian,GB409_21,Is there ergative alignment of flagging in non-main clauses?,0,"Neuhaus 1954 (2015):86, 117",,,,0
lihi1237,Lihir,Austronesian,GB409_22,Is ergative alignment of flagging conditioned by any other factor?,0,"Neuhaus 1954 (2015):86, 117",,,,0
lihi1237,Lihir,Austronesian,GB409_23,Are the ergative and the genitive expressed by the same marker?,0,"Neuhaus 1954 (2015):86, 117",,,,0
lihi1237,Lihir,Austronesian,GB409_24,Are the ergative and the instrumental/comitative expressed by the same marker?,0,"Neuhaus 1954 (2015):86, 117",,,,0
