Glottocode,Language,Family,Ergon_ID,,Source_comment,Value,Comment
kaik1246,Kaike,Trans-Himalayan,GB409_1,Is there an overt marker for the absolutive?,"Regmi, 2013, p. 101",0,La marca es ø
kaik1246,Kaike,Trans-Himalayan,GB409_2,Is there ergative alignment of flagging on first person pronouns?,"Regmi, 2013, p. 121",1,
kaik1246,Kaike,Trans-Himalayan,GB409_3,Is there ergative alignment of flagging on second person pronouns?,"Regmi, 2013, p. 171",1,
kaik1246,Kaike,Trans-Himalayan,GB409_4,Is there ergative alignment of flagging on third person pronouns?,"Regmi, 2013, p. 121",1,
kaik1246,Kaike,Trans-Himalayan,GB409_5,Is there ergative alignment of flagging on full NPs?,"Regmi, 2013",1,
kaik1246,Kaike,Trans-Himalayan,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,"Regmi, 2013, p. 89",1,
kaik1246,Kaike,Trans-Himalayan,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,"Regmi, 2013, p. 85",1,
kaik1246,Kaike,Trans-Himalayan,GB409_8,Is there ergative alignment of flagging in the past tense?,"Regmi, 2013, p. 121",1,
kaik1246,Kaike,Trans-Himalayan,GB409_9,Is there ergative alignment of flagging in non-past tenses?,"Regmi, 2013, p. 89",1,
kaik1246,Kaike,Trans-Himalayan,GB409_10,Is there ergative alignment of flagging in the indicative mood?,"Regmi, 2013, p. 85",1,
kaik1246,Kaike,Trans-Himalayan,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,"Regmi, 2013, p. 121",1,
kaik1246,Kaike,Trans-Himalayan,GB409_12,Is there ergative alignment of flagging in the realis status?,"Regmi, 2013, p. 85",1,
kaik1246,Kaike,Trans-Himalayan,GB409_13,Is there ergative alignment of flagging in the irrealis status?,"Regmi, 2013, p. 121",1,
kaik1246,Kaike,Trans-Himalayan,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,"Regmi, 2013, p. 121",1,
kaik1246,Kaike,Trans-Himalayan,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,,?,
kaik1246,Kaike,Trans-Himalayan,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,"Regmi, 2013, p. 121",1,
kaik1246,Kaike,Trans-Himalayan,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?,,?,
kaik1246,Kaike,Trans-Himalayan,GB409_18,Is there ergative alignment of flagging in the context of an animate A?,"Regmi, 2013, p. 121",1,
kaik1246,Kaike,Trans-Himalayan,GB409_19,Is there ergative alignment of flagging in the context of an inanimate A?,,,
kaik1246,Kaike,Trans-Himalayan,GB409_20,Is there ergative alignment of flagging in main clauses?,"Regmi, 2013, p. 121",1,
kaik1246,Kaike,Trans-Himalayan,GB409_21,Is there ergative alignment of flagging in non-main clauses?,,?,
kaik1246,Kaike,Trans-Himalayan,GB409_22,Is ergative alignment of flagging conditioned by any other factor?,,?,
kaik1246,Kaike,Trans-Himalayan,GB409_23,Are the ergative and the genitive expressed by the same marker?,"Regmi, 2013, p. 182",1,
kaik1246,Kaike,Trans-Himalayan,GB409_24,Are the ergative and the instrumental/comitative expressed by the same marker?,"Regmi, 2013, p. 182",1,
