Glottocode,Language,Family,Ergon_ID,Feature,Value,Source,Comment,curated,curated_comment,final_value
coos1249,Hanis Coos,Coosan,GB409_1,Is there an overt marker for the absolutive?,0,Whereat 1996: in passim,no mark is present for ABS,,,0
coos1249,Hanis Coos,Coosan,GB409_2,Is there ergative alignment of flagging on first person pronouns?,0,Whereat 1996: 6,,,,0
coos1249,Hanis Coos,Coosan,GB409_3,Is there ergative alignment of flagging on second person pronouns?,0,Whereat 1996: 6,,,,0
coos1249,Hanis Coos,Coosan,GB409_4,Is there ergative alignment of flagging on third person pronouns?,0,Whereat 1996: 6,,,,0
coos1249,Hanis Coos,Coosan,GB409_5,Is there ergative alignment of flagging on full NPs?,1,1Whereat 1996: 7,See examples (46 - 48),,,1
coos1249,Hanis Coos,Coosan,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,1,Whereat 1996: 38,See example (138b),,,1
coos1249,Hanis Coos,Coosan,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,1,Whereat 1996: 17,See example (48),,,1
coos1249,Hanis Coos,Coosan,GB409_8,Is there ergative alignment of flagging in the past tense?,1,Whereat 1996: 17,See example (48),,,1
coos1249,Hanis Coos,Coosan,GB409_9,Is there ergative alignment of flagging in non-past tenses?,1,"Whereat 1996: 20,94","See examples (62), (22)",,,1
coos1249,Hanis Coos,Coosan,GB409_10,Is there ergative alignment of flagging in the indicative mood?,1,Whereat 1996: 17,See examples (46-48),,,1
coos1249,Hanis Coos,Coosan,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,1,Whereat 1996: 50,See example (203),,,1
coos1249,Hanis Coos,Coosan,GB409_12,Is there ergative alignment of flagging in the realis status?,1,Whereat 1996: 17,See example (48),,,1
coos1249,Hanis Coos,Coosan,GB409_13,Is there ergative alignment of flagging in the irrealis status?,1,Whereat 1996: 20,See example (48),,,1
coos1249,Hanis Coos,Coosan,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,1,Whereat 1996: 7,See example (3),,,1
coos1249,Hanis Coos,Coosan,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,1,Whereat 1996: 47,See example (189),,,1
coos1249,Hanis Coos,Coosan,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,?,Whereat 1996: in passim,There are no examples in the source in order to corroborate this feature.,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
coos1249,Hanis Coos,Coosan,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?,?,Whereat 1996: in passim,There are no examples in the source in order to corroborate this feature.,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
coos1249,Hanis Coos,Coosan,GB409_18,Is there ergative alignment of flagging in the context of an animate A?,1,Whereat 1996: 7,See example 3. It is optional to omit the ergative marker. Omission of the ergative marker is more likely when argument A is human. ,,,1
coos1249,Hanis Coos,Coosan,GB409_19,Is there ergative alignment of flagging in the context of an inanimate A?,1,Whereat 1996: 6,See example 1.  It is optional to omit the ergative marker. Omission of the ergative marker is more likely when argument A is human. ,,,1
coos1249,Hanis Coos,Coosan,GB409_20,Is there ergative alignment of flagging in main clauses?,1,Whereat 1996: 17,See example (46),,,1
coos1249,Hanis Coos,Coosan,GB409_21,Is there ergative alignment of flagging in non-main clauses?,1,Whereat 1996: 83,See example (364),,,1
coos1249,Hanis Coos,Coosan,GB409_22,Is ergative alignment of flagging conditioned by any other factor?,?,Whereat 1996: in passim,There are no examples in the source in order to corroborate this feature.,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
coos1249,Hanis Coos,Coosan,GB409_23,Are the ergative and the genitive expressed by the same marker?,0,"Whereat 1996: 6; Frachtenberg, 1922: 396-397",,,,0
coos1249,Hanis Coos,Coosan,GB409_24,Are the ergative and the instrumental/comitative expressed by the same marker?,1,"Whereat 1996; 6, 53;  Frachtenberg 1922: 324-325","See example 222. Frachtenber: The instrumental is composed of the prefix x- and the suffix -etc, only the prefix is identical to the ergative of this language. ""When the instrumental idea WITH is to be expressed, the stem to which this suffix is added is very often preceded by the prefix x-"" p. 370",,,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
