Glottocode,Language,Family,Ergon_ID,Feature,Value,Source_comment,Comment,curated,curated_comment,final_value
bala1316,Nêlêmwa,Austronesian,GB409_1,Is there an overt marker for the absolutive?,0,"Bril 2002: 31, 35, 51-52",There is no explicit marker for the absolutive case.,,"Nêlêmwa (bala1316, ISO nee, Austronesian, New Caledonia) shows ergative alignment documented in Bril (2002) [source cited as Ozanne-Rivierre 1998 in original xlsx, but the PDF is Bril 2002 — same author's full grammar]. Agent markers are 'an' (common NPs in VSO) and 'ru' (focused/oblique NPs). Key correction from original annotation: GB409_16 changed 1→0. Bril (2002: §3.7.1, p.57) states explicitly that thematized transitive subjects appear without agent markers ('Le sujet thématisé du verbe transitif apparaît sans les marques d'agent an ou ru'). GB409_2,3=0 confirmed: 1st/2nd person pronouns lack distinct ergative forms. GB409_22=1 confirmed: thematization conditioning is the additional factor. GB409_23=1 confirmed: 'an' derived from possessive/genitive. GB409_24=1 confirmed: 'ru' = ERG = INST (p.153). Glottocode bala1316 is correct; the previously proposed nele1239 does not exist in Glottolog.",0
bala1316,Nêlêmwa,Austronesian,GB409_2,Is there ergative alignment of flagging on first person pronouns?,0,Bril 2002: 40,First-person pronouns do not show a distinct ergative form; the same pronoun form is used for transitive A and intransitive S.,,,0
bala1316,Nêlêmwa,Austronesian,GB409_3,Is there ergative alignment of flagging on second person pronouns?,0,Bril 2002: 40,Second-person pronouns do not show a distinct ergative form; the same pronoun form is used for transitive A and intransitive S.,,,0
bala1316,Nêlêmwa,Austronesian,GB409_4,Is there ergative alignment of flagging on third person pronouns?,1,Bril 2002: 52,Third-person pronouns show ergative alignment; distinct agent forms exist.,,,1
bala1316,Nêlêmwa,Austronesian,GB409_5,Is there ergative alignment of flagging on full NPs?,1,Bril 2002: 51-52,Full NPs exhibit ergative alignment with agent markers 'an' (common NPs) and 'ru' (oblique/focused NPs).,,,1
bala1316,Nêlêmwa,Austronesian,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,1,"Bril 2002: 42, 50, 52",Ergative alignment occurs in the imperfective aspect.,,,1
bala1316,Nêlêmwa,Austronesian,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,1,Bril 2002: 52-53,Ergative alignment occurs in the perfective aspect.,,,1
bala1316,Nêlêmwa,Austronesian,GB409_8,Is there ergative alignment of flagging in the past tense?,1,"Bril 2002: 52, 205",Ergative alignment occurs in past tense clauses.,,,1
bala1316,Nêlêmwa,Austronesian,GB409_9,Is there ergative alignment of flagging in non-past tenses?,1,"Bril 2002: 40, 50, 57",Ergative alignment is applied in non-past tenses.,,,1
bala1316,Nêlêmwa,Austronesian,GB409_10,Is there ergative alignment of flagging in the indicative mood?,1,Bril 2002: 51-52,Ergative alignment occurs in sentences in the indicative mood.,,,1
bala1316,Nêlêmwa,Austronesian,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,1,"Bril 2002: 52, 60",Ergative alignment occurs in non-indicative moods.,,,1
bala1316,Nêlêmwa,Austronesian,GB409_12,Is there ergative alignment of flagging in the realis status?,1,Bril 2002: 51-53,Ergative alignment occurs in clauses with realis status.,,,1
bala1316,Nêlêmwa,Austronesian,GB409_13,Is there ergative alignment of flagging in the irrealis status?,1,"Bril 2002: 50, 52, 59, 118",Ergative alignment occurs in clauses with irrealis status.,,,1
bala1316,Nêlêmwa,Austronesian,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,1,Bril 2002: 52-53,Ergative alignment exists in the context of an agentive A argument.,,,1
bala1316,Nêlêmwa,Austronesian,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,1,Bril 2002: 53,Ergative alignment exists in the context of a non-agentive A argument.,,,1
bala1316,Nêlêmwa,Austronesian,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,0,Bril 2002: 57,"When A is thematized (fronted to pre-verbal position), the ergative marker is OBLIGATORILY removed (Bril 2002: §3.7.1, p.57: 'Le sujet thématisé du verbe transitif apparaît sans les marques d'agent an ou ru'). Corrected from original annotation 1→0.",0,,0
bala1316,Nêlêmwa,Austronesian,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?,1,Bril 2002: 52-53,"When A is not thematized (basic VSO order), the ergative marker is present.",,,1
bala1316,Nêlêmwa,Austronesian,GB409_18,Is there ergative alignment of flagging in the context of an animate A?,1,"Bril 2002: 36, 51-53",Ergative alignment occurs in clauses with an animate A.,,,1
bala1316,Nêlêmwa,Austronesian,GB409_19,Is there ergative alignment of flagging in the context of an inanimate A?,1,"Bril 2002: 51, 53",Ergative alignment occurs in clauses with an inanimate A.,,,1
bala1316,Nêlêmwa,Austronesian,GB409_20,Is there ergative alignment of flagging in main clauses?,1,Bril 2002: 51-52,Ergative alignment occurs in main clauses.,,,1
bala1316,Nêlêmwa,Austronesian,GB409_21,Is there ergative alignment of flagging in non-main clauses?,1,"Bril 2002: 63, 220, 225",Non-main clauses exhibit ergative alignment.,,,1
bala1316,Nêlêmwa,Austronesian,GB409_22,Is ergative alignment of flagging conditioned by any other factor?,1,Bril 2002: 57,"Ergative alignment is conditioned by thematization: when A is fronted to initial position (SVO structure), the ergative marker is obligatorily removed. This is the additional conditioning factor.",,,1
bala1316,Nêlêmwa,Austronesian,GB409_23,Are the ergative and the genitive expressed by the same marker?,1,Bril 2002: 52,The agent marker 'an' is historically derived from the possessive/genitive marker; emphatic agent constructions productively combine the agent base with genitive suffixes (Bril 2002: 52). ERG=GEN confirmed.,,,1
bala1316,Nêlêmwa,Austronesian,GB409_24,Are the ergative and the instrumental/comitative expressed by the same marker?,1,"Bril 2002: 53, 153",The agent marker 'ru' (used for focused/oblique agent NPs) also functions as the instrumental marker (Bril 2002: 153). Comitative uses different markers (bole-/ma). ERG=INST confirmed.,,,1
