Glottocode,Language,Family,Ergon_ID,Feature,Value,Source,Comment,curated,curated_comment,final_value
chan1313,Chang Naga,Trans-Himalayan,GB409_1,Is there an overt marker for the absolutive?,1,"Chor 2011:16-17, 38-39",There is an absolute distinction in pronouns.,,,1
chan1313,Chang Naga,Trans-Himalayan,GB409_2,Is there ergative alignment of flagging on first person pronouns?,1,Chor 2011:18,"In another source (Hutton, 1987: 13), pronouns follow a tripartite alignment and report pronominal forms that are not found in Chor 2011. The reason for this discrepancy between the two sources is unclear.",,,1
chan1313,Chang Naga,Trans-Himalayan,GB409_3,Is there ergative alignment of flagging on second person pronouns?,1,Chor 2011: 18,"In another source (Hutton, 1987: 13), pronouns follow a tripartite alignment and report pronominal forms that are not found in Chor 2011. The reason for this discrepancy between the two sources is unclear.",,,1
chan1313,Chang Naga,Trans-Himalayan,GB409_4,Is there ergative alignment of flagging on third person pronouns?,1,Chor 2011:18,"In another source (Hutton, 1987: 13), pronouns follow a tripartite alignment and report pronominal forms that are not found in Chor 2011. The reason for this discrepancy between the two sources is unclear.",,,1
chan1313,Chang Naga,Trans-Himalayan,GB409_5,Is there ergative alignment of flagging on full NPs?,1,Chor 2011:25-26,"In another source (Hutton 1987: 9-11), nouns have a tripartite alignment. Nominative: (null). Agentive (e, ye), Accusative (to, cha). The reason for this discrepancy with Chor's analysis is unclear. ",,,1
chan1313,Chang Naga,Trans-Himalayan,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,1,Chor 2011:27,See example (12),,,1
chan1313,Chang Naga,Trans-Himalayan,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,1,Chor 2011:36,"See example (29), (30)",,,1
chan1313,Chang Naga,Trans-Himalayan,GB409_8,Is there ergative alignment of flagging in the past tense?,1,Chor 2011:25-26,See example (30),,,1
chan1313,Chang Naga,Trans-Himalayan,GB409_9,Is there ergative alignment of flagging in non-past tenses?,?,Chor 2011:36,"Chor 2011: ""The present tense marker is -ta, as shown in the substitution frame for eliciting lexical words in the word list...The categories of tense and modality need further analysis"".",,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
chan1313,Chang Naga,Trans-Himalayan,GB409_10,Is there ergative alignment of flagging in the indicative mood?,1,Chor 2011:31,See example (17),,,1
chan1313,Chang Naga,Trans-Himalayan,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,?,Chor 2011:in passim,No mention nor evidence of a split in case marking based on the indicative-non indicative distinction. Examples in the source do not offer evidence of such a split in interrogative and the imperative clauses. ,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
chan1313,Chang Naga,Trans-Himalayan,GB409_12,Is there ergative alignment of flagging in the realis status?,1,"Chor 2011:25-26, 32",No mention nor evidence of a split in case marking based on the realis-irrealis distinction. See example (30) (20).,,,1
chan1313,Chang Naga,Trans-Himalayan,GB409_13,Is there ergative alignment of flagging in the irrealis status?,?,Chor 2011:in passim,"No mention nor evidence of a split in case marking based on the realis-irrealis distinction. Examples in the source do not offer evidence of such a split in negated clauses, in the future tense or in the optative mood.",,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
chan1313,Chang Naga,Trans-Himalayan,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,1,Chor 2011:37,See example (30),,,1
chan1313,Chang Naga,Trans-Himalayan,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,1,Chor 2011:37,See example (31),,,1
chan1313,Chang Naga,Trans-Himalayan,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,?,Chor 2011:in passim,No mention nor evidence of a split in case marking based on the topical A - nontopical A distinction. ,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
chan1313,Chang Naga,Trans-Himalayan,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?,?,Chor 2011:in passim,No mention nor evidence of a split in case marking based on the topical A - nontopical A distinction. ,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
chan1313,Chang Naga,Trans-Himalayan,GB409_18,Is there ergative alignment of flagging in the context of an animate A?,1,Chor 2011: 28,No mention nor evidence of a split in case marking based on the animate A - inanimate A distinction. See example (14),,,1
chan1313,Chang Naga,Trans-Himalayan,GB409_19,Is there ergative alignment of flagging in the context of an inanimate A?,?,Chor 2011:in passim,No mention nor evidence of a split in case marking based on the inanimate A. Examples in the source do not offer evidence of inanimate clauses in A. ,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
chan1313,Chang Naga,Trans-Himalayan,GB409_20,Is there ergative alignment of flagging in main clauses?,1,Chor 2011: 28,See example (13),,,1
chan1313,Chang Naga,Trans-Himalayan,GB409_21,Is there ergative alignment of flagging in non-main clauses?,1,"Chor 2011: 25, 28",See example (10) (14),,,1
chan1313,Chang Naga,Trans-Himalayan,GB409_22,Is ergative alignment of flagging conditioned by any other factor?,?,Chor 2011:in passim,No mention nor evidence of a ergative alignment of flagging conditioned by any other factor.,,"Value not resolved (""?""). Researcher must determine correct coding from the grammar source.",?
chan1313,Chang Naga,Trans-Himalayan,GB409_23,Are the ergative and the genitive expressed by the same marker?,0,Chor 2011:26,,,,0
chan1313,Chang Naga,Trans-Himalayan,GB409_24,Are the ergative and the instrumental/comitative expressed by the same marker?,1,Chor 2011:23-24,"The same ergative marker is used for the instrumental but not for the comitative, according to Table 3-6.",,,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
