Glottocode,Language,Family,Ergon_ID,Feature,Value,Source,Comment,curated,curated_comment,final_value
bant1281,Bantawa,Trans-Himalayan,GB409_1,Is there an overt marker for the absolutive?,0,"Doornenbal 2009: 12, 73-74",There is no explicit marker for the absolutive case.,,,0
bant1281,Bantawa,Trans-Himalayan,GB409_2,Is there ergative alignment of flagging on first person pronouns?,1,"Doornenbal 2009: 75, 84, 101",First-person pronouns show ergative alignment.,,,1
bant1281,Bantawa,Trans-Himalayan,GB409_3,Is there ergative alignment of flagging on second person pronouns?,1,"Doornenbal 2009: 59, 76, 119, 219",Second-person pronouns show ergative alignment.,,,1
bant1281,Bantawa,Trans-Himalayan,GB409_4,Is there ergative alignment of flagging on third person pronouns?,1,"Doornenbal 2009: 29, 76, 102, 111, 119, 226-227",Third-person pronouns show ergative alignment.,,,1
bant1281,Bantawa,Trans-Himalayan,GB409_5,Is there ergative alignment of flagging on full NPs?,1,"Doornenbal 2009: 12-13, 73-75, 214",Full NP's exhibit ergative alignment.,,,1
bant1281,Bantawa,Trans-Himalayan,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,1,"Doornenbal 2009: 75, 101, 175, 226",Ergative alignment present in the imperfective aspect.,,,1
bant1281,Bantawa,Trans-Himalayan,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,1,"Doornenbal 2009: 75, 174, 214, 222",Ergative alignment occurs in the perfective aspect. ,,,1
bant1281,Bantawa,Trans-Himalayan,GB409_8,Is there ergative alignment of flagging in the past tense?,1,"Doornenbal 2009: 73, 75, 84, 219",Ergative alignment occurs in past tense clauses.,,,1
bant1281,Bantawa,Trans-Himalayan,GB409_9,Is there ergative alignment of flagging in non-past tenses?,1,"Doornenbal 2009: 174, 219, 226, 308",Ergative alignment applied in non-past times.,,,1
bant1281,Bantawa,Trans-Himalayan,GB409_10,Is there ergative alignment of flagging in the indicative mood?,1,"Doornenbal 2009: 12-13, 74-75, 211",Ergative alignment is presented in indicative mode.,,,1
bant1281,Bantawa,Trans-Himalayan,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,1,"Doornenbal 2009: 219, 247, 274",Ergative alignment is presented in non-indicative mode.,,,1
bant1281,Bantawa,Trans-Himalayan,GB409_12,Is there ergative alignment of flagging in the realis status?,1,"Doornenbal 2009: 12-13, 75, 174, 226",Ergative alignment is present in the realis status.,,,1
bant1281,Bantawa,Trans-Himalayan,GB409_13,Is there ergative alignment of flagging in the irrealis status?,1,"Doornenbal 2009: 102, 196, 219, 323",Ergative alignment is present in the irrealis status.,,,1
bant1281,Bantawa,Trans-Himalayan,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,1,"Doornenbal 2009: 75, 84, 210, 214","In the context of an agentive A argument, ergative alignment is observed.",,,1
bant1281,Bantawa,Trans-Himalayan,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,1,"Doornenbal 2009: 13, 219-220, 226","In the context of a non-agentive argument A, ergative alignment is observed.",,,1
bant1281,Bantawa,Trans-Himalayan,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,1,"Doornenbal 2009: 13, 75, 307-308","In the context of a topical A, ergative alignment is shown.",,,1
bant1281,Bantawa,Trans-Himalayan,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?,1,"Doornenbal 2009: 12, 101, 226, 307, 309","In the context of a non-topical A, ergative alignment is shown.",,,1
bant1281,Bantawa,Trans-Himalayan,GB409_18,Is there ergative alignment of flagging in the context of an animate A?,1,"Doornenbal 2009: 12, 29, 73-75, 210",Clauses with animated A arguments exhibit ergative alignment.,,,1
bant1281,Bantawa,Trans-Himalayan,GB409_19,Is there ergative alignment of flagging in the context of an inanimate A?,1,"Doornenbal 2009: 13, 74-75, 214, 219, 226",Clauses with non-animated A arguments exhibit ergative alignment.,,,1
bant1281,Bantawa,Trans-Himalayan,GB409_20,Is there ergative alignment of flagging in main clauses?,1,"Doornenbal 2009: 12-13, 29, 211, 219",Main clauses exhibit ergative alignment.,,,1
bant1281,Bantawa,Trans-Himalayan,GB409_21,Is there ergative alignment of flagging in non-main clauses?,1,"Doornenbal 2009: 196, 201, 323",Non-main clauses exhibit ergative alignment.,,,1
bant1281,Bantawa,Trans-Himalayan,GB409_22,Is ergative alignment of flagging conditioned by any other factor?,1,"Doornenbal 2009: 76, 211","Ergative marking is conditioned by differential object marking. Although the standard pattern is Agent-ERG (-ʔa) and Patient-ABS (-Ø), the Patient (P) may be explicitly marked with the dative suffix -lai if it is animate, definite, or if emphasis is required to avoid ambiguity.",,,1
bant1281,Bantawa,Trans-Himalayan,GB409_23,Are the ergative and the genitive expressed by the same marker?,0,"Doornenbal 2009: 73, 75, 78, 102",The ergative case does not have the same marker as the genitive case.,,,0
bant1281,Bantawa,Trans-Himalayan,GB409_24,Are the ergative and the instrumental/comitative expressed by the same marker?,1,"Doornenbal 2009: 73, 75, 84, 219","The ergative case has the same mark as the instrumental case, but is different from the comitative case.",,,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
