Glottocode,Language,Family,Ergon_ID,Feature,Value,Source,Comment,
cemu1238,Cemuhî,Austronesian,GB409_1,Is there an overt marker for the absolutive?,0,"Rivierre 1980: 65, 185",There is not explicit marker for the absolutive case.,
cemu1238,Cemuhî,Austronesian,GB409_2,Is there ergative alignment of flagging on first person pronouns?,0,"Rivierre 1980: 72, 190",First-person pronouns show nominative alignment.,
cemu1238,Cemuhî,Austronesian,GB409_3,Is there ergative alignment of flagging on second person pronouns?,0,"Rivierre 1980: 72, 190",Second-person pronouns show nominative alignment.,
cemu1238,Cemuhî,Austronesian,GB409_4,Is there ergative alignment of flagging on third person pronouns?,0,"Rivierre 1980: 61, 66",Third-person pronouns show nominative alignment.,
cemu1238,Cemuhî,Austronesian,GB409_5,Is there ergative alignment of flagging on full NPs?,0,Rivierre 1980: 185,Full NP's do not exhibit ergative-absolutive alignment.,
cemu1238,Cemuhî,Austronesian,GB409_6,Is there ergative alignment of flagging in the imperfective aspect?,0,"Rivierre 1980: 107-108, 187",Clauses with imperfective aspect do not exhibit ergative alignment.,
cemu1238,Cemuhî,Austronesian,GB409_7,Is there ergative alignment of flagging in the perfective aspect?,0,"Rivierre 1980: 102, 347",Clauses with perfective aspect do not exhibit ergative alignment.,
cemu1238,Cemuhî,Austronesian,GB409_8,Is there ergative alignment of flagging in the past tense?,0,"Rivierre 1980: 103, 147",Past-tense clauses do not exhibit ergative alignment.,
cemu1238,Cemuhî,Austronesian,GB409_9,Is there ergative alignment of flagging in non-past tenses?,0,"Rivierre 1980: 100-101, 107",Clauses in non-past tense do not exhibit ergative alignment.,
cemu1238,Cemuhî,Austronesian,GB409_10,Is there ergative alignment of flagging in the indicative mood?,0,"Rivierre 1980: 60, 65, 185",Clauses in indicative mode do not show an ergative alignment.,
cemu1238,Cemuhî,Austronesian,GB409_11,Is there ergative alignment of flagging in non-indicative moods?,0,"Rivierre 1980: 101, 202, 217",Clauses in non-indicative mode do not show an ergative alignment.,
cemu1238,Cemuhî,Austronesian,GB409_12,Is there ergative alignment of flagging in the realis status?,0,Rivierre 1980: 102-103,Clauses with realis status do not show ergative alignment.,
cemu1238,Cemuhî,Austronesian,GB409_13,Is there ergative alignment of flagging in the irrealis status?,0,"Rivierre 1980: 101, 213, 230",Clauses with irrealis status do not show ergative alignment.,
cemu1238,Cemuhî,Austronesian,GB409_14,Is there ergative alignment of flagging in the context of an agentive A?,0,"Rivierre 1980: 60, 65, 185","In the context of an agentive A argument, ergative alignment is not observed.",
cemu1238,Cemuhî,Austronesian,GB409_15,Is there ergative alignment of flagging in the context of a non-agentive A?,0,"Rivierre 1980: 62-63, 65, 180","In the context of a non-agentive argument A, ergative alignment is not observed.",
cemu1238,Cemuhî,Austronesian,GB409_16,Is there ergative alignment of flagging in the context of a topical A?,0,Rivierre 1980: 207-208,"In the context of a topical A, ergative alignment is not shown.",
cemu1238,Cemuhî,Austronesian,GB409_17,Is there ergative alignment of flagging in the context of a non-topical A?,0,"Rivierre 1980: 60, 65","In the context of a non-topical A, ergative alignment is shown.",
cemu1238,Cemuhî,Austronesian,GB409_18,Is there ergative alignment of flagging in the context of an animate A?,0,"Rivierre 1980: 175, 185",Clauses with animated A arguments do not exhibit ergative alignment.,
cemu1238,Cemuhî,Austronesian,GB409_19,Is there ergative alignment of flagging in the context of an inanimate A?,0,"Rivierre 1980: 185, 187",Clauses with non-animated A arguments do not exhibit ergative alignment.,
cemu1238,Cemuhî,Austronesian,GB409_20,Is there ergative alignment of flagging in main clauses?,0,"Rivierre 1980: 60, 65",Main clauses do not exhibit ergative alignment.,
cemu1238,Cemuhî,Austronesian,GB409_21,Is there ergative alignment of flagging in non-main clauses?,0,"Rivierre 1980: 173, 229-230",Non-main clauses do not exhibit ergative alignment.,
cemu1238,Cemuhî,Austronesian,GB409_22,Is ergative alignment of flagging conditioned by any other factor?,0,"Rivierre 1980: 60, 62-64","The ergative mark is not conditioned by any other factor,because the following alignment is nominative.",
cemu1238,Cemuhî,Austronesian,GB409_23,Are the ergative and the genitive expressed by the same marker?,0,Rivierre 1980: 60,The ergative case does not have the same marker as the genitive case.,
cemu1238,Cemuhî,Austronesian,GB409_24,Are the ergative and the instrumental/comitative expressed by the same marker?,0,"Rivierre 1980: 60, 195, 268-269",The ergative case does not have the same marker as the instrumental or comitative marker.,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
